pID,ID,L1-L2,L2-L3,L3-L4,R1-R2,R2-R3,R3-R4
,,,,,,,
p03,ANT3,934,772,512,,,
p05,ANT5,2140,2165,3208,3143,3103,4971
p09,ANT9,1647,1326,1632,5017,4732,4247
p13,ANT13,2756,2852,3003,1473,1289,1313
p14,ANT14,1651,1472,1362,2390,2011,1729
p14_followup,,702,815,883,849,993,1075
p16,ANT16,3188,3445,2531,3106,3381,2623
p18,ANT18,3705,3268,2822,3823,3238,2557
p20,ANT20,4473,3340,3167,4125,3260,3629
p21,ANT21,4755,3971,3695,4218,3361,3676
p22,ANT22,2283,1878,1419,1971,1465,973
p26,ANT26,917,943,764,1189,1246,1232
p30,ANT30,3822,3006,2312,2258,1972,2039
pthal101,ANT31,1986,1848,1272,985,1396,1300
pthal102,ANT33,1673,1706,1523,2096,1910,1520
pthal103,ANT34,1354,1203,780,1846,1682,1286
pthal104,ANT36,1713,1577,1373,1931,1577,1291
pthal106,ANT41,1367,1489,1681,2489,2094,1902
