 pID ch_name state freqPeak freqLow freqHigh pvaluesLeft pvaluesRight pvaluesBoth pvaluesMean peakBurstRate meanBurstRate meanBurstRate_wake meanBurstRate_REM meanBurstRate_NREM meanBurstRate_tonic_REM meanBurstRate_phasic_REM meanBurstRate_N2 meanBurstRate_N3 hasOverlap_REM hasOverlap_NREM hasOverlap_wake uniqueSelection crossCorrCoeff crossCorrCoeffShuffle_low crossCorrCoeffShuffle_high crossCorrCoeff_pvalue crossCorrCoeff_pvalue_neg
18 p03 R2-R3 REM 28.0 25.5 30.5 0.0 0.0 0.0 0.0 4.0 24.6530612244898 4.553658536585367 24.6530612244898 1.0879478827361564 10.239410681399631 49.42283563362609 1.1915422885572138 0.3760683760683761 True False True True 0.8389402599404397 -0.26063942576601745 0.3519766864201321 0.0 1.0
23 p03 R3-R4 REM 28.0 25.5 30.5 0.0 0.0 0.0 0.0 3.2857142857142856 20.734693877551017 4.460975609756098 20.734693877551017 0.6840390879478828 7.403314917127071 44.60476787954831 0.7288557213930348 0.376068376068376 True False True True 0.8865626757233867 -0.23863522452375416 0.36492033980247485 0.0 1.0
27 p05 L1-L2 REM 32.5 28.0 36.0 0.0 0.0 0.0 0.0 0.6270270270270271 4.572972972972973 7.129113924050632 4.572972972972973 1.291754756871036 1.541642055522741 12.577639751552796 1.2911051212938005 1.2941176470588236 True False True True 0.8743991532164112 -0.24564285839105687 0.3506720172665691 0.0 1.0
32 p05 L2-L3 REM 33.0 27.0 35.5 0.0 0.0 0.0 0.0 0.6162162162162163 5.027027027027027 10.40253164556962 5.027027027027027 2.6828752642706126 2.037802717070289 12.531055900621118 2.8301886792452837 2.1470588235294112 True False True True 0.843841182076917 -0.24512729988217094 0.35585886110912807 0.0 1.0
39 p05 R1-R2 REM 32.0 29.0 35.0 0.0 0.0 0.0 0.0 0.9513513513513514 6.7675675675675695 6.832911392405063 6.7675675675675695 1.1120507399577166 2.480803307737744 17.375776397515526 0.9838274932614556 1.5784313725490198 True False True True 0.8427938928880747 -0.24396906243058325 0.35311767392736654 0.0 1.0
44 p05 R2-R3 REM 32.0 29.5 35.0 0.0 0.0 0.0 0.0 1.0702702702702702 7.145945945945947 5.017721518987342 7.145945945945947 0.7167019027484144 1.8074424099232131 20.49689440993789 0.6415094339622641 0.9901960784313726 True False True True 0.8850110391650332 -0.23652664927881112 0.35918851778342986 0.0 1.0
49 p05 R3-R4 REM 32.0 27.5 36.0 0.0 0.0 0.0 0.0 1.0162162162162165 10.172972972972971 17.703797468354434 10.172972972972971 2.078224101479915 3.5085646780862376 26.5527950310559 1.991913746630728 2.392156862745098 True False True True 0.896401094267024 -0.24242768685845154 0.35033337280797755 0.0 1.0
52 p09 L1-L2 wake 34.5 28.0 42.0 0.0 0.0 0.0 0.0 0.2649448959145051 6.556161638650785 6.556161638650785 8.416779431664413 2.88215859030837 5.502304147465438 20.0 2.985305491105955 2.6271510516252388 True False True True 0.8370524041418249 -0.19988825078314457 0.4091408289824336 0.0 1.0
56 p09 L2-L3 REM 31.0 22.0 36.0 0.0 5e-06 5e-06 0.0 0.3193504736129905 5.510148849797022 6.165423577869309 5.510148849797022 3.886563876651983 4.265964450296248 10.058823529411766 3.805877803557618 4.086042065009561 True False True True 0.8703981423964111 -0.22528572267143393 0.3929557786585145 0.0 1.0
61 p09 R1-R2 wake 38.5 29.5 42.5 0.0 0.0 0.0 0.0 0.1656462206389847 3.3924078815540466 3.3924078815540466 3.924221921515562 3.061123348017621 2.934825543120474 7.84313725490196 2.551430781129157 4.321223709369026 True False True True 0.8064060877069856 -0.22861090802847234 0.37876624461549685 0.0 1.0
82 p14 L1-L2 wake 30.0 28.0 34.5 0.0 0.0 0.0 0.0 1.990583804143126 20.355932203389838 20.355932203389838 10.271062271062272 6.104509663564782 9.774681292617846 15.0 6.125214408233276 5.999999999999999 True False True True 0.3354326141739012 -0.28840241610017425 0.30765609309868974 0.00018 0.99982
