# peakFreq	startFreq	stopFreq	peakTimeIndx	startTimeIndx	stopTimeIndx	peakAmp	sleepScore
28.00	25.00	31.50	258	239	341	3.245	-1
27.00	22.50	31.50	467	443	486	3.637	-1
26.50	22.00	30.00	612	596	654	3.244	-1
30.50	25.50	38.50	665	642	680	4.323	-1
27.50	24.00	32.50	782	767	806	3.433	-1
26.00	22.00	31.50	1103	1081	1122	4.249	-1
25.00	20.50	30.00	1288	1253	1306	3.502	-1
27.50	22.50	32.50	1358	1334	1382	4.921	-1
26.50	18.00	31.50	1520	1492	1541	4.110	-1
29.00	25.00	34.00	1603	1540	1644	3.646	-1
26.50	21.50	31.50	1663	1629	1727	4.336	-1
26.00	20.50	30.50	1802	1757	1822	3.703	-1
18.00	15.50	20.00	1887	1854	1912	3.080	-1
28.00	24.00	37.50	2065	1898	2097	4.896	-1
28.00	23.50	36.00	2459	2421	2557	6.715	-1
29.50	26.00	34.50	2574	2556	2598	3.001	-1
28.50	25.00	34.00	2688	2649	2824	4.278	-1
26.50	23.00	30.00	3101	3081	3126	3.338	0
21.00	18.00	24.00	3303	3261	3320	3.177	0
29.50	24.00	35.00	3293	3275	3309	4.235	0
26.00	22.50	32.00	3527	3459	3553	4.582	0
27.50	23.50	34.00	3927	3904	3946	3.964	0
27.50	24.50	31.00	4012	3982	4042	3.036	0
29.50	25.50	34.00	4271	4248	4293	3.650	0
27.50	24.00	32.00	4439	4423	4482	3.204	0
27.50	23.50	33.00	4723	4680	4755	5.617	0
28.50	24.00	38.50	5033	4944	5100	6.286	0
27.50	24.00	33.50	5270	5247	5366	3.644	0
27.00	24.00	31.00	5474	5448	5500	3.336	0
27.50	20.50	34.00	5604	5560	5630	5.072	0
17.50	15.00	21.50	5771	5742	5817	3.881	0
27.00	23.50	32.50	5910	5874	5939	4.417	0
27.00	24.00	31.00	6043	5956	6065	3.350	0
27.00	24.00	31.50	6363	6338	6420	3.294	0
29.00	25.00	34.00	6442	6383	6458	3.349	0
27.50	24.00	34.50	6614	6588	6669	4.914	0
29.00	25.00	35.00	7091	7014	7184	4.979	0
29.00	25.50	36.00	7428	7406	7443	3.352	0
27.50	23.00	34.00	7613	7592	7648	4.004	0
29.50	26.00	34.00	7664	7640	7684	3.509	0
26.00	22.00	30.00	7794	7773	7812	3.662	0
27.50	20.50	34.00	8127	8054	8233	4.990	0
29.00	25.00	35.50	8292	8268	8306	3.444	0
20.50	18.00	23.50	8592	8570	8621	3.314	0
27.00	23.00	31.50	9206	9156	9230	3.644	0
27.00	24.00	31.00	9528	9504	9544	3.023	0
27.00	24.50	30.50	9615	9586	9632	3.050	0
36.00	31.00	43.50	9669	9655	9683	3.796	0
28.50	24.00	33.00	9695	9676	9717	4.068	0
30.00	26.00	35.50	9803	9734	9854	4.730	0
27.50	24.00	31.50	10023	9948	10046	3.407	0
31.50	25.50	38.50	10099	10085	10117	4.611	0
28.00	24.50	32.50	10297	10282	10349	3.056	0
29.00	25.00	35.50	10530	10492	10554	4.609	0
28.00	23.50	33.50	10818	10646	10844	4.524	0
18.50	16.00	22.00	10679	10653	10709	3.418	0
26.50	21.50	30.50	10876	10850	10907	4.761	0
27.00	22.50	33.50	10989	10966	11020	4.701	0
27.00	21.50	33.00	11216	11195	11234	4.188	0
27.50	23.00	32.50	11411	11349	11485	5.303	0
31.00	26.00	37.50	11492	11474	11541	4.986	0
27.50	24.00	32.50	11689	11644	11721	4.241	0
30.50	27.00	36.00	11814	11794	11834	3.660	0
28.00	23.00	33.50	11887	11841	12082	4.499	0
27.50	23.50	31.50	12157	12124	12176	3.402	0
29.50	26.50	35.00	12206	12180	12222	3.097	0
31.50	27.50	37.50	12272	12249	12290	3.792	0
28.00	24.00	31.50	12328	12311	12347	3.054	0
28.50	25.50	34.00	12440	12413	12518	3.452	0
30.00	26.00	34.50	12585	12568	12606	3.511	0
27.00	23.00	32.00	12699	12591	12785	4.268	0
28.50	24.50	35.50	12821	12778	12843	3.714	0
27.50	24.50	30.50	12871	12854	12924	3.077	0
26.50	23.00	31.50	12972	12944	13006	3.782	0
19.50	17.00	22.00	13009	12983	13038	3.401	0
27.00	23.50	32.00	13063	13035	13130	4.241	0
27.50	24.00	31.50	13202	13178	13243	3.518	0
30.00	26.00	36.00	13231	13211	13251	3.740	0
27.00	21.50	32.00	13315	13296	13340	3.777	0
29.00	21.50	37.00	13372	13344	13390	5.004	0
16.00	13.00	20.50	13704	13660	13734	3.823	0
27.50	23.50	31.00	13742	13711	13799	3.519	0
29.50	25.50	36.50	13827	13804	13846	3.865	0
29.00	24.50	36.00	14052	13988	14072	4.660	0
27.00	22.50	33.50	14114	14091	14137	5.068	0
28.50	23.50	37.00	14214	14191	14285	4.779	0
26.50	21.50	32.00	14308	14275	14335	4.243	0
28.00	24.00	35.00	14611	14587	14638	4.328	0
27.50	22.50	37.00	14691	14669	14707	4.133	0
26.50	21.50	31.00	15146	15086	15172	4.621	0
25.00	20.00	29.50	15274	15188	15300	4.696	0
26.50	22.50	31.50	15725	15703	15747	3.678	0
26.50	21.00	32.50	15783	15762	15807	4.667	0
27.00	23.50	30.50	16075	16060	16101	3.114	0
28.50	24.50	32.50	16183	16153	16228	4.904	0
29.50	25.00	38.00	16311	16297	16331	3.270	0
27.00	23.50	31.00	16407	16362	16541	4.757	0
29.50	24.50	40.00	16665	16638	16690	5.214	0
31.00	27.50	38.00	16712	16692	16739	3.361	0
27.00	19.00	31.00	16925	16905	16965	3.891	0
29.50	24.50	36.00	17051	16990	17077	4.678	0
28.50	23.00	34.50	17349	17099	17393	6.386	0
28.00	24.00	33.50	17444	17415	17578	4.922	0
29.50	25.50	37.00	17659	17639	17676	3.426	0
29.00	25.50	32.50	17726	17708	17752	3.182	0
28.50	24.50	34.00	17843	17790	17894	4.873	0
28.50	24.50	36.00	18032	17957	18046	3.246	0
26.50	19.50	31.00	18121	18094	18145	4.831	0
28.50	23.50	34.00	18194	18150	18227	5.014	0
28.50	23.00	36.00	18260	18241	18277	3.876	0
28.00	23.50	33.00	18414	18397	18435	3.523	0
22.50	19.50	25.00	18821	18796	18845	3.291	0
30.00	26.50	35.00	18834	18807	18857	4.133	0
18.50	15.00	21.00	18931	18895	18951	3.241	0
27.50	23.50	39.50	19032	18928	19055	4.157	0
27.50	22.50	33.00	19156	19126	19183	5.581	0
29.50	24.00	37.00	19195	19176	19216	4.561	0
27.50	23.50	32.50	19346	19223	19451	5.023	0
39.50	33.00	45.50	19283	19267	19295	3.328	0
12.50	10.00	15.00	19364	19324	19430	3.993	0
27.00	24.00	30.00	19581	19560	19629	3.130	0
25.00	19.00	29.50	19687	19663	19704	3.970	0
26.50	22.50	31.00	19733	19710	19800	3.583	0
