# peakFreq	startFreq	stopFreq	peakTimeIndx	startTimeIndx	stopTimeIndx	peakAmp	sleepScore
27.50	19.50	36.00	376209	376058	376511	6.586	6
14.00	11.50	16.00	376364	376279	376411	3.881	6
27.00	23.00	31.00	376692	376616	376719	4.548	6
28.50	24.50	36.50	376745	376719	376814	4.584	6
14.00	12.00	17.00	376935	376768	376986	5.290	6
27.00	18.50	33.00	376894	376853	376917	6.076	6
26.50	22.00	30.50	377113	377089	377134	4.250	6
27.00	23.50	31.00	377178	377163	377223	3.077	6
13.50	11.00	16.00	377236	377195	377283	3.562	6
28.50	24.50	34.50	377500	377235	377589	6.023	6
28.50	25.00	32.00	377663	377627	377683	3.027	6
30.00	27.00	35.00	377752	377689	377757	5.485	6
28.00	22.50	37.00	378190	378068	378272	5.232	6
27.50	19.00	32.50	378311	378290	378372	4.361	6
29.00	24.00	34.00	378418	378397	378437	3.768	6
26.50	21.00	34.50	378591	378528	378614	4.738	6
28.50	23.50	37.00	378782	378666	378869	5.723	6
27.50	27.00	33.00	378931	378855	378931	4.761	6
28.50	24.00	38.00	379320	379291	379385	4.353	6
29.00	24.50	35.50	379437	379409	379495	5.382	6
17.00	14.50	20.50	379467	379442	379503	3.509	6
27.00	21.50	31.50	379533	379500	379585	5.031	6
29.00	24.00	37.50	379628	379602	379658	4.365	6
17.50	15.00	20.50	379843	379806	379869	3.020	6
28.50	22.50	34.50	379883	379856	380022	5.464	6
29.50	25.00	41.50	380075	380043	380106	4.311	6
29.00	25.00	35.00	380235	380124	380253	4.355	6
20.50	18.00	23.50	380160	380130	380189	3.166	6
30.00	25.50	41.00	381624	381593	381644	6.141	6
17.00	11.00	21.00	382061	382018	382100	6.111	6
29.00	24.50	35.50	382124	382023	382150	5.542	6
20.00	17.50	23.50	382105	382076	382158	3.887	6
13.50	11.00	16.00	382150	382100	382185	4.553	6
21.50	14.50	25.50	382188	382132	382209	4.246	6
30.00	25.50	35.50	385070	385049	385090	3.835	6
23.00	19.00	27.00	385121	385073	385151	4.440	6
17.00	14.50	20.00	385171	385094	385187	3.324	6
27.00	23.50	33.00	385213	385157	385222	6.676	6
20.50	18.00	24.00	385860	385837	385889	3.157	6
30.50	26.50	37.50	385940	385910	385954	3.741	6
40.50	33.00	47.50	385949	385936	385962	4.083	6
30.00	26.00	35.50	386104	386081	386125	4.381	6
11.50	8.50	15.00	386185	386147	386247	3.440	6
19.00	16.50	22.50	386247	386185	386275	3.737	6
29.50	25.00	36.00	386252	386227	386271	5.087	6
24.50	21.00	29.00	386289	386256	386307	3.782	6
27.50	21.00	32.00	386376	386315	386428	5.741	6
14.50	11.50	20.50	386527	386463	386603	17.585	6
26.50	21.00	34.50	386587	386552	386618	6.612	6
39.00	34.00	45.00	386616	386598	386631	3.694	6
28.00	24.00	33.50	386700	386683	386721	4.560	6
14.50	12.00	19.00	386807	386719	386847	5.718	6
27.00	22.00	33.00	386820	386792	386851	6.683	6
28.00	21.50	33.00	387055	386865	387133	6.761	6
13.00	11.00	16.00	386903	386870	386949	4.001	6
29.00	23.00	37.00	387769	387755	387795	4.684	6
28.00	22.00	36.50	388358	388287	388432	4.943	6
18.00	12.50	21.50	388421	388371	388504	4.534	6
28.50	22.00	35.50	388531	388477	388596	5.214	6
33.00	29.00	37.50	388741	388721	388774	3.694	6
29.00	24.50	33.50	388767	388750	388802	4.107	6
34.00	29.50	40.00	388811	388783	388831	4.587	6
20.00	16.50	23.50	388893	388860	388925	3.795	6
27.00	23.00	31.00	388888	388860	388908	3.943	6
28.50	24.00	34.50	388960	388900	389009	5.873	6
10.50	9.00	13.00	388976	388917	389024	3.684	6
27.50	23.00	32.00	389105	388990	389134	5.434	6
28.00	24.50	32.00	389512	389486	389541	3.898	6
27.50	22.00	33.00	389897	389870	389952	6.008	6
13.00	11.00	15.50	390035	389973	390077	4.348	0
28.00	24.00	34.50	390258	390153	390311	5.556	0
30.00	25.50	37.00	390325	390304	390366	5.782	0
28.50	23.50	34.00	390391	390370	390421	5.189	0
30.00	26.50	35.00	390432	390413	390457	3.478	0
40.00	35.00	45.00	390463	390449	390475	3.159	0
28.00	23.50	32.50	390503	390481	390524	4.281	0
30.00	26.00	38.00	390529	390485	390553	4.214	0
28.50	23.00	34.50	390696	390632	390854	5.984	0
27.50	23.00	34.50	390896	390869	390964	4.270	0
41.00	35.50	46.50	390919	390906	390932	3.404	0
27.50	21.50	31.50	390994	390975	391012	3.477	0
29.00	25.50	34.00	391022	391005	391042	3.399	0
27.50	23.00	33.00	391072	391042	391113	4.657	0
17.00	14.00	22.00	391181	391131	391203	3.934	0
28.00	21.50	33.50	391333	391145	391364	4.759	0
20.50	17.50	23.00	391290	391265	391319	3.850	0
20.50	17.00	24.50	391421	391345	391440	3.917	0
29.50	25.50	38.50	391373	391359	391394	3.608	0
29.00	24.50	36.50	391454	391408	391471	3.957	0
28.00	25.00	32.00	391516	391489	391538	3.573	0
23.50	19.50	27.00	391551	391525	391571	4.139	0
29.00	24.50	36.50	391668	391551	391786	5.880	0
20.50	17.50	24.00	391673	391650	391702	3.352	0
16.50	13.50	19.00	391922	391880	391972	4.157	0
27.00	23.00	31.50	391911	391895	391936	3.565	0
20.00	17.00	24.00	391968	391932	392039	5.260	0
30.50	26.50	36.50	391988	391948	392019	4.536	0
29.00	24.50	38.00	392044	391994	392077	5.274	0
28.50	24.50	34.50	392420	392390	392461	6.367	0
29.00	24.00	34.00	392513	392472	392630	5.856	0
28.50	23.50	37.50	393335	393274	393494	6.025	0
19.50	16.00	23.50	393360	393325	393386	3.392	0
28.50	24.00	35.50	394586	394553	394708	5.133	0
20.50	18.00	26.00	394624	394591	394661	5.198	0
12.00	10.00	15.00	394741	394687	394833	12.955	0
18.00	14.50	23.00	394731	394691	394780	12.824	0
26.50	23.50	40.50	394736	394710	394754	9.535	0
29.50	23.50	35.00	394777	394757	394804	6.284	0
28.00	22.50	33.50	394827	394801	394861	5.705	0
15.00	11.00	18.50	394847	394809	394948	6.562	0
12.50	10.50	14.50	394999	394959	395065	5.500	0
27.50	21.00	32.50	395020	394995	395110	5.133	0
15.50	13.50	17.00	395115	395086	395168	3.202	0
28.00	21.00	32.50	395191	395125	395212	5.962	0
28.00	20.00	33.00	395601	395560	395630	5.692	0
30.50	26.00	35.00	395655	395627	395700	5.127	0
28.50	22.50	36.50	395778	395737	395798	4.806	0
26.00	18.50	31.50	395824	395794	395901	6.173	0
29.50	20.00	34.50	395923	395871	395991	4.504	0
27.50	22.50	32.50	396022	395988	396042	5.219	0
20.00	14.00	25.00	396165	396130	396263	6.491	0
29.00	24.00	33.50	396188	396152	396242	5.848	0
14.00	11.00	17.00	396326	396231	396374	5.527	0
27.50	21.00	32.00	396270	396244	396395	6.154	0
30.50	26.00	39.00	396402	396384	396417	4.375	0
29.00	25.50	34.50	396446	396423	396502	4.036	0
26.50	20.50	30.00	396521	396509	396555	3.027	0
29.00	23.50	35.50	396688	396585	396950	6.145	0
18.50	16.00	21.00	396655	396626	396714	3.730	0
15.50	13.00	18.50	396854	396814	396886	3.803	0
27.00	20.00	32.50	397174	397024	397198	5.606	0
19.50	17.00	22.00	397231	397203	397303	3.628	0
28.50	21.50	34.50	397324	397222	397391	5.827	0
27.00	22.50	32.50	397410	397385	397440	5.463	0
28.00	22.50	34.50	397485	397440	397508	5.812	0
13.50	12.00	16.00	397486	397446	397572	3.602	0
23.50	18.00	34.00	397679	397659	397724	4.075	0
28.50	24.50	33.50	397739	397698	397836	4.883	0
24.00	19.50	28.00	397900	397839	397925	4.623	0
14.50	10.50	18.00	397925	397875	397948	3.243	0
29.50	25.00	36.00	397936	397916	397988	5.845	0
31.00	25.50	37.50	398002	397986	398042	5.123	0
28.50	23.50	34.50	398284	398087	398309	5.810	0
21.00	18.00	25.00	398332	398296	398360	4.026	0
28.00	23.50	32.50	398403	398322	398565	5.936	0
28.00	19.50	34.50	398684	398586	399260	6.579	0
29.00	24.00	37.50	399364	399261	399399	6.651	0
27.50	21.00	32.00	399476	399430	399545	6.752	0
14.50	11.00	20.00	399507	399462	399596	4.806	0
22.00	18.00	26.00	399645	399614	399811	4.183	0
14.50	11.50	18.00	399766	399729	399804	4.106	0
30.00	25.50	34.50	399834	399806	399854	4.165	0
20.50	17.50	26.00	399878	399855	399904	3.521	0
27.50	23.00	33.50	399956	399880	400105	7.243	0
30.00	25.50	41.50	400153	400120	400174	4.618	0
16.00	13.00	19.50	400169	400132	400215	4.382	0
28.00	23.00	32.50	400267	400185	400297	4.785	0
27.50	22.50	32.50	400332	400310	400369	4.846	0
29.00	24.50	33.00	400397	400345	400422	4.537	0
27.50	22.50	35.50	400475	400426	400577	6.129	0
28.00	24.00	34.00	400731	400619	400960	5.073	0
15.00	12.50	19.00	400746	400698	400841	3.280	0
17.00	13.00	21.50	400938	400843	400969	4.883	0
26.50	22.50	36.50	400994	400973	401086	4.445	0
20.50	17.50	23.50	401053	401016	401082	4.250	0
29.50	25.50	36.00	401092	401069	401112	4.641	0
28.50	18.50	33.50	401151	401131	401191	4.661	0
21.00	18.50	24.50	401204	401142	401225	4.002	0
15.50	11.00	18.50	401201	401153	401314	5.919	0
33.50	29.00	41.50	401204	401188	401224	3.466	0
29.00	21.50	35.50	401251	401232	401307	5.511	0
21.00	17.00	28.00	401307	401248	401339	4.081	0
29.50	25.50	35.00	401418	401391	401438	4.299	0
17.00	15.00	21.50	401427	401398	401527	3.079	0
28.50	22.00	35.00	401493	401467	401513	4.546	0
29.50	25.00	36.00	401661	401597	401685	6.059	0
24.00	20.00	28.00	401639	401613	401656	3.958	0
10.00	8.50	13.00	401730	401654	401819	7.289	0
17.50	13.50	21.50	401709	401676	401750	4.954	0
26.50	21.00	31.50	401738	401704	401782	7.495	0
24.50	19.50	32.00	401809	401787	401830	5.065	0
27.00	22.00	34.00	401887	401844	401917	6.092	0
31.00	26.00	39.00	401958	401910	401977	4.705	0
27.50	23.50	33.50	402036	401992	402073	6.790	0
17.00	14.00	19.50	402062	402029	402096	3.187	0
30.00	25.50	34.00	402103	402087	402178	3.678	0
21.50	19.00	24.00	402169	402118	402197	3.084	0
28.00	22.50	35.50	402208	402181	402255	5.105	0
33.00	27.50	38.00	402276	402250	402289	3.266	0
28.50	27.00	34.00	402672	402668	402710	5.464	0
21.50	19.50	25.50	402719	402696	402772	3.166	0
28.50	24.50	35.50	402823	402750	402897	6.515	0
15.00	13.00	18.50	402787	402755	402839	3.203	0
28.00	23.00	33.00	403834	403646	403859	6.127	0
29.50	25.00	36.00	403867	403859	403935	4.590	0
28.00	23.50	32.00	403961	403939	403982	3.998	0
29.00	23.50	34.50	404009	403994	404075	4.682	0
27.50	22.50	37.50	404421	404027	404445	5.733	0
