# peakFreq	startFreq	stopFreq	peakTimeIndx	startTimeIndx	stopTimeIndx	peakAmp	sleepScore
39.00	30.00	47.00	205101	205075	205112	3.478	6
15.50	13.00	18.00	314748	314701	314779	3.378	6
31.00	23.50	41.50	382546	382527	382569	4.564	6
29.00	24.00	34.00	382641	382598	382659	5.552	6
28.50	28.00	38.50	384714	384672	384714	6.411	6
29.50	23.50	34.00	385764	385752	385904	5.339	6
15.50	13.00	18.00	385940	385890	385972	3.565	6
28.00	24.50	34.00	386007	385977	386025	3.104	6
15.00	13.00	17.50	386050	386023	386094	3.132	6
27.50	18.00	34.00	386157	386061	386185	7.911	6
16.50	13.00	21.00	386133	386094	386167	4.934	6
29.00	22.00	34.50	386203	386185	386220	5.354	6
29.00	24.00	33.50	386678	386655	386718	4.455	6
30.50	26.00	36.50	386752	386731	386773	4.610	6
29.00	25.00	35.00	386805	386779	386831	4.364	6
20.50	18.50	23.50	386828	386785	386849	3.168	6
24.50	20.00	35.50	386919	386892	386953	5.275	6
28.00	23.00	32.50	386998	386957	387019	3.696	6
29.00	25.00	33.50	387080	387065	387101	3.090	6
29.50	24.00	36.00	387158	387132	387179	5.869	6
14.50	12.50	17.00	387224	387193	387274	3.279	6
23.50	18.50	26.50	387256	387235	387279	3.471	6
21.50	18.00	26.00	387343	387305	387368	4.641	6
18.00	15.00	20.00	387381	387334	387402	3.077	6
28.50	24.00	33.00	387477	387460	387510	3.642	6
34.50	27.00	41.00	387519	387499	387533	5.184	6
30.00	24.00	38.00	387578	387539	387715	6.212	6
13.50	11.00	15.00	387686	387656	387847	3.287	6
22.50	19.50	24.50	387779	387718	387805	3.384	6
29.50	24.00	34.50	387835	387730	387862	6.517	6
19.00	15.50	21.50	387869	387823	387893	3.544	6
27.50	23.50	39.00	387895	387858	387940	6.093	6
26.50	23.00	30.50	387975	387956	388003	3.995	6
18.50	15.50	25.00	388031	387970	388051	9.323	6
29.00	25.50	33.00	388006	387983	388027	4.024	6
33.00	29.50	40.50	388061	388041	388084	3.029	6
