# peakFreq	startFreq	stopFreq	peakTimeIndx	startTimeIndx	stopTimeIndx	peakAmp	sleepScore
38.50	32.50	44.00	1847	1830	1863	3.563	-1
33.50	28.00	39.00	1904	1877	1922	4.032	-1
24.00	20.00	28.00	1982	1928	1998	3.754	-1
33.50	28.00	45.00	1985	1959	2007	4.911	-1
6.50	5.00	8.00	2097	2001	2158	3.063	-1
34.00	28.00	40.00	2163	2134	2183	4.085	-1
5.00	4.50	7.00	3978	2177	4198	5.714	0
32.50	27.50	39.00	2216	2188	2241	4.653	-1
34.50	29.50	40.00	2288	2267	2315	4.605	-1
31.50	27.50	37.00	2337	2303	2366	4.252	-1
31.00	26.00	38.00	2428	2406	2462	5.167	-1
36.00	31.50	41.50	2509	2497	2525	3.055	-1
31.00	25.00	42.00	2585	2536	2599	3.674	-1
20.00	15.50	26.50	2572	2550	2702	4.341	-1
18.00	14.00	21.00	2636	2606	2681	4.577	-1
33.50	26.00	45.00	2702	2656	2746	5.224	-1
34.00	29.00	40.50	2785	2762	2808	5.844	-1
20.00	16.50	26.00	2817	2775	2838	4.229	-1
20.00	16.50	24.50	3032	2947	3060	4.348	0
22.50	19.00	26.00	3187	3167	3213	3.437	0
31.00	26.50	36.00	3191	3172	3214	3.686	0
24.50	19.50	28.50	3308	3285	3329	4.190	0
33.50	28.50	40.50	3319	3299	3342	3.532	0
37.00	31.50	45.50	3360	3345	3385	4.000	0
35.00	28.50	46.50	3433	3415	3454	4.147	0
15.00	12.50	17.50	3470	3444	3524	3.429	0
28.00	23.50	35.00	3555	3497	3583	5.378	0
23.50	19.50	29.50	3673	3645	3700	5.361	0
32.50	27.00	38.00	3731	3715	3759	3.739	0
28.50	24.50	32.00	3771	3753	3790	3.229	0
8.00	6.50	10.00	4111	3928	4161	3.451	0
17.00	11.50	22.50	4002	3981	4079	3.618	0
34.50	30.00	43.50	4222	4171	4247	4.112	0
33.50	27.00	39.50	4319	4303	4335	4.444	0
18.00	15.50	21.00	4494	4454	4526	4.507	0
32.50	29.00	36.50	4513	4485	4537	3.510	0
26.00	22.00	29.00	4581	4564	4648	3.043	0
32.00	28.50	37.00	4583	4572	4620	3.244	0
17.50	15.50	20.50	4656	4609	4694	3.404	0
27.00	23.00	30.50	4754	4734	4778	4.076	0
17.50	15.00	23.00	4797	4766	4827	3.897	0
37.00	31.00	44.00	4816	4796	4826	3.119	0
23.50	21.00	26.00	4964	4929	5006	3.093	0
32.00	27.00	37.50	4994	4976	5013	4.225	0
32.00	25.50	38.50	5164	5142	5176	3.980	0
16.50	14.00	19.50	5259	5232	5457	4.002	0
28.50	24.50	33.50	5367	5335	5384	3.580	0
8.00	6.50	10.00	5559	5374	5619	3.681	0
37.00	32.50	44.00	5409	5392	5429	3.655	0
34.00	29.50	39.00	5540	5501	5574	4.208	0
21.50	17.50	25.00	5584	5532	5608	3.355	0
23.50	18.00	27.50	5651	5631	5697	3.360	0
7.00	5.50	10.50	5899	5763	6106	5.190	0
31.50	28.00	35.00	5802	5784	5824	3.027	0
14.50	12.50	17.50	6126	6094	6166	3.375	0
38.00	33.50	44.50	6115	6097	6129	3.506	0
9.50	7.50	11.00	6199	6104	6238	3.022	0
23.00	19.50	34.00	6279	6250	6300	3.798	0
31.50	26.50	36.00	6321	6274	6337	3.737	0
17.00	11.50	19.50	6355	6305	6384	4.779	0
13.00	10.50	15.50	6390	6345	6431	5.506	0
10.50	8.50	12.00	6442	6357	6497	4.153	0
28.50	24.00	35.50	6397	6376	6414	3.283	0
33.50	29.00	37.00	6509	6491	6523	3.129	0
15.50	12.50	18.50	6526	6495	6561	3.761	0
25.00	21.00	33.00	6571	6554	6601	4.056	0
