,freqs,gc_R3-R4->Fp1,gctr_R3-R4->Fp1,gc_Fp1->R3-R4,gctr_Fp1->R3-R4,gc_R3-R4->Fp2,gctr_R3-R4->Fp2,gc_Fp2->R3-R4,gctr_Fp2->R3-R4,gc_R3-R4->F7,gctr_R3-R4->F7,gc_F7->R3-R4,gctr_F7->R3-R4,gc_R3-R4->F8,gctr_R3-R4->F8,gc_F8->R3-R4,gctr_F8->R3-R4,gc_R3-R4->T7,gctr_R3-R4->T7,gc_T7->R3-R4,gctr_T7->R3-R4,gc_R3-R4->P7,gctr_R3-R4->P7,gc_P7->R3-R4,gctr_P7->R3-R4,gc_R3-R4->T8,gctr_R3-R4->T8,gc_T8->R3-R4,gctr_T8->R3-R4,gc_R3-R4->P8,gctr_R3-R4->P8,gc_P8->R3-R4,gctr_P8->R3-R4,gc_R3-R4->O1,gctr_R3-R4->O1,gc_O1->R3-R4,gctr_O1->R3-R4,gc_R3-R4->O2,gctr_R3-R4->O2,gc_O2->R3-R4,gctr_O2->R3-R4
0,8.0,0.020205988211943877,0.01960447927334112,0.021564807407381027,0.02093295012822418,0.020414575204893273,0.020108917091296127,0.022150462698213892,0.020414009083697966,0.019772813799784038,0.021039017817372732,0.022396992092017804,0.02264114987797562,0.01944831483808152,0.02183846671622333,0.024771131284512693,0.02070379814001874,0.0202228421303882,0.020195696471655086,0.021839627237665443,0.022530177282662007,0.023207979926118966,0.02430429990149222,0.025819561064524037,0.028770855362802734,0.021318003076440405,0.02188605088995873,0.023681954236539904,0.02404603770968235,0.02280913602281287,0.02338648294849115,0.027292456463385333,0.027532207335444345,0.02438380766931134,0.022262782567563144,0.025001627209481573,0.027078298750917877,0.022565275403142376,0.025538880208577235,0.02956095217326157,0.02891128780253019
1,9.0,0.021088019060633362,0.02009231754925143,0.022790204671423835,0.022944252271516738,0.020636712927924687,0.020876222036606752,0.022824657849972632,0.02210329781480126,0.02109576032101821,0.020733874895231083,0.023251266087186744,0.024111214921441557,0.020238562049042386,0.02164321259116073,0.023798628281033934,0.02209844274421307,0.0217676336470729,0.02047101407770296,0.020363273014208427,0.02206701973960031,0.020964843343718023,0.020082544299299888,0.025231838166662517,0.02847914049118109,0.02095637742123203,0.02201279715442705,0.026631105364370897,0.026130217393799362,0.020833822917743244,0.021678120997783067,0.03130402147132909,0.03257065144601276,0.0207199302514601,0.02028002927715433,0.02709367878444038,0.03133065260405635,0.021766635244793123,0.021767271414621904,0.02978558208795982,0.032236983744453114
2,10.0,0.02123425585382005,0.020347743860931074,0.024237853690255787,0.024299004793924953,0.02089193904713425,0.021024593565486707,0.023912981094998766,0.02352759176165975,0.020917980446627803,0.02040068041388417,0.024178095534516202,0.02451843572110595,0.01990015968171861,0.020494308686743887,0.022406463941854894,0.021959125139936968,0.021687542453187263,0.02036088047169497,0.019987777464122558,0.021176231932450204,0.019878162300557774,0.018956019845260165,0.022442233677601404,0.024803407526243708,0.01992791296978846,0.02059008679924112,0.02191451257116777,0.021452065550818925,0.01962308520727054,0.019869246945692677,0.025373241683690182,0.026168176420719093,0.019892756397526863,0.018805197341090395,0.022838227840133375,0.026147443371068526,0.020965925055490428,0.019816567266022395,0.024593269235973138,0.027220451020454946
3,11.0,0.019694412704949562,0.018815085618443254,0.021790442088419938,0.021717926761879853,0.019504042768688053,0.019263183036136725,0.02114875507473879,0.02141336629500317,0.019304922408304125,0.01883644550931226,0.021385384975257295,0.02127371857248262,0.01846481544959768,0.018828485464359127,0.019688311633200783,0.019493736516281012,0.01921514669734927,0.01813825939753926,0.017003662806625963,0.017879583775969845,0.018343048756934,0.01739097372839897,0.018239859822345668,0.01945343327968361,0.018355569480179676,0.01801831095677588,0.017675081811598978,0.01771787029191087,0.017590042282989788,0.01740183811241245,0.020242773388284736,0.021295037343504256,0.017995953186022248,0.017438627909115465,0.01835389871415483,0.020293451306102214,0.01823612730499475,0.017723139701001412,0.02013929528437768,0.021522108804463664
4,12.0,0.01878127428542982,0.01761715797359962,0.020173994863902738,0.020624300516203817,0.018907429988860688,0.01805864807799371,0.01953130219616333,0.02057583889672025,0.018563815751226617,0.018106748896765203,0.01995546871393463,0.019982851095631894,0.01793744739738528,0.01794340334869289,0.01826283179511401,0.018719880432918955,0.01787530220800711,0.017299281467911515,0.016121894605007,0.016775267298267452,0.017968426304874052,0.01703877231113688,0.016934825909788048,0.01828960852278088,0.01751157277651066,0.01748031767312951,0.016050780880813444,0.015984037060600604,0.017269619030593982,0.016962709913631684,0.017838974648078758,0.018413723645305052,0.01738315872148041,0.01701221113007412,0.017037116909746092,0.018506889442000587,0.017429703788122516,0.01725737873261279,0.018410833423990466,0.018994518517546015
5,13.0,0.016649040038780146,0.01559466138007794,0.016928757921613725,0.01735748955565819,0.016761116765701172,0.015840956462579946,0.016320126207751088,0.017374358455365845,0.016596210343742278,0.01605791904169864,0.0169296395204631,0.017324020464917413,0.01590170454808675,0.015709504023471727,0.01556148904356858,0.016251054321100616,0.01562158679879674,0.015184130713495022,0.01483841497838607,0.01544582737045826,0.01614704378462203,0.015274122618623343,0.015588384771623573,0.017154586785447803,0.015256288310592449,0.015414987163405797,0.01451842750484902,0.014409408599244073,0.015800802528313902,0.01562925525873886,0.016642850405633635,0.016662073144908068,0.015277977933308259,0.015214851163307357,0.01591789683567937,0.016718331262880786,0.015509342851207376,0.01571426696618215,0.01739456958133709,0.017076621084835663
6,14.0,0.01581636770267318,0.01465751825299267,0.015064984557786614,0.015524063001058339,0.015797107005637162,0.014790773978647746,0.014457350060058482,0.015465658536023937,0.015739167638187522,0.015081012921852628,0.015483596118072818,0.016102680584062307,0.014891625822709807,0.014436371006612311,0.013955376728185418,0.014673697773945157,0.014434286460736922,0.013888256078683582,0.014333253909906167,0.014891355232047137,0.015230537114117086,0.014281501033623403,0.014969147004834895,0.01694092777997945,0.014060600143735946,0.01422259373599578,0.013746001915873102,0.013828986967864975,0.014792021387507528,0.014834668498816705,0.01572981484192013,0.015780180221546994,0.014258441314659353,0.01419295899388981,0.015139848937143882,0.01605102165152068,0.014623903008636615,0.01453377608335061,0.016440984478811455,0.016347394926592738
7,15.0,0.014373433239985179,0.013205315481862366,0.013089259654301497,0.013530548850342657,0.01417709662765627,0.013432045432193684,0.012612777197712007,0.013452561567579149,0.014449217405085913,0.013673732814073499,0.013784675676145127,0.014478669658939479,0.013312289035044559,0.013172026203564445,0.012610780926781489,0.01308840535977373,0.013151370255186324,0.012395108223831731,0.01325325333403196,0.014007815111369419,0.013987020813651321,0.01307861942574792,0.013949783132064885,0.015815627399475268,0.012713020442078782,0.012762173115998166,0.012857201095176306,0.013125683229103392,0.013484521614193319,0.013404515191215771,0.014433256026395207,0.01491781268837557,0.013170681834972973,0.013102537234104636,0.014010256226412781,0.015050927302846184,0.013530293889466761,0.013076539292825984,0.014998501591918005,0.015538325499552327
8,16.0,0.013249421408343297,0.012142891304286989,0.012122540272853501,0.012607837295120744,0.012890481181917638,0.012349352186137749,0.011843665299652827,0.012519818538714773,0.013287590137465518,0.0126753591637435,0.012866513756245992,0.013406040560795059,0.012309898534325103,0.012345891345948283,0.012204373198687425,0.012464619375775917,0.012094668640271033,0.011529523797093674,0.012614649326661195,0.013380712630239301,0.013206829585265707,0.01218486506663102,0.013112257365298042,0.014955609492928653,0.011940108794457659,0.011746275408885959,0.012304599571952896,0.012771681296152646,0.012802560555559292,0.012353485430785564,0.013307883826165443,0.014224813504644806,0.012713805147950938,0.012428879639064546,0.013201022175589185,0.014426233232262933,0.01309747959523994,0.012245756800121601,0.013843873282814806,0.01495349921530325
9,17.0,0.011838896840306222,0.010918768026399588,0.011123520874760852,0.011551971393143363,0.011411565722020933,0.011042844670586615,0.011028359331809484,0.011472573883459304,0.012044652214853369,0.01147116770738248,0.011779019744693076,0.012337446455164583,0.011054335855603573,0.011172173095514312,0.01152854909816841,0.011589128519972416,0.010861187961096003,0.010431522976808473,0.011663606101768495,0.012389386385878122,0.01205935196295362,0.011118281049512799,0.011980272754601801,0.013637411836868348,0.010870506888656551,0.010513593290999235,0.011540950211504825,0.012045200623127604,0.011870573070687953,0.011287565319656459,0.012362203716055922,0.013467962551004211,0.011794457025362418,0.011543591989021516,0.01225439540830416,0.01332041814205033,0.012321086876133093,0.011355378141315198,0.012730951300648708,0.013996921839497505
