C3,C4,O1,O2,F3,F4,F7,F8,Fz,Fp1,Fp2,P3,P4,Pz,T7,T8,P7,P8,Cpz
-1.7105566712416476e-05,6.340027994156117e-06,-4.038851329823956e-06,1.9738899936783127e-06,-9.919563808580278e-06,2.0395941774609128e-05,-1.730451185721904e-05,2.201084134867415e-05,8.324991540575866e-06,-1.2620294000953436e-06,2.5958941478165798e-05,-1.0810098956426373e-05,2.7542943712433043e-06,-1.917226541081618e-06,-2.1608849579024536e-05,9.690105514437164e-06,-1.6376072380808182e-05,6.433313956222264e-06,-3.5395786426306586e-06
-1.3086887520330492e-05,6.351173396978993e-06,8.800052910373779e-06,1.0750452929642051e-05,-2.9783132958982605e-05,1.468364007450873e-05,-6.52488088235259e-05,8.016596621018834e-05,-5.97169014326937e-06,-5.1959177653770894e-05,1.5067221283970866e-05,-7.324208127101883e-06,2.57583633356262e-06,-2.8104095690650865e-06,-1.3280055100040045e-05,3.3243143661820795e-05,9.507366485195234e-07,2.004274574574083e-05,-3.1666022550780326e-06
-1.55664802150568e-05,1.7428073988412507e-06,-2.486915036570281e-06,6.368625065533706e-06,-1.5029691439849557e-05,2.0847648556809872e-05,-4.0640954466653056e-05,4.743037061416544e-05,1.4613115126849152e-06,-5.501984560396522e-06,4.703080685430905e-05,-1.569832966197282e-05,1.5575743645968032e-06,-5.9805560397308e-06,-1.9749019884329755e-05,6.8771275891776895e-06,-9.735713319969364e-06,5.581330242421245e-06,-8.50795987616948e-06
-7.83028144724085e-06,7.987388016772456e-06,-1.1587454082473414e-05,-6.5857348090503365e-06,-4.24637397600236e-06,2.0643782136176014e-05,-2.9835384339094162e-05,3.7761597013741266e-05,1.3764940604232834e-05,-1.0848802048712969e-05,1.741886808304116e-05,-8.290969162771944e-06,5.149722710484639e-07,-2.1090745576657355e-06,-1.6708168914192356e-05,1.1009483387169894e-05,-1.3949267213320127e-05,5.873772380482478e-06,-2.98328905046219e-06
3.852388090308523e-06,8.548733603674918e-06,-1.109973709390033e-06,-4.100240403204225e-06,-6.776519057893893e-06,1.3230562899479992e-05,-3.048440339625813e-05,1.9918836187571287e-05,3.349856797285611e-06,-2.3035161575535312e-05,-3.0055334718781523e-06,6.099600796005689e-06,6.630776624660939e-06,6.8965791797381826e-06,-7.615402410010574e-06,7.278579005287611e-06,-6.717987616866594e-06,1.5208245258691022e-06,5.51847597307642e-06
-6.497266411997771e-06,-2.0457900973269716e-07,-1.075195541488938e-07,3.0910791792848613e-06,-9.149868105851056e-06,3.975553681812016e-06,-8.186505510821007e-06,1.649388468649704e-05,-3.837550025309611e-06,-5.550855576075264e-06,9.600135399523424e-06,-4.059106686327141e-06,8.824272299534641e-07,-3.5320407647532193e-06,-2.907196176238358e-06,1.0977355316299509e-05,-1.66491463460261e-06,4.565544486467843e-06,-3.888576884492068e-06
-3.2476125397806754e-06,9.560601142766245e-06,9.052309906110168e-07,3.973146817770612e-06,-1.2756759929288819e-05,9.363982826471329e-06,-4.251098857821489e-05,3.4468594094505534e-05,1.11765416477283e-06,-2.8783239031326957e-05,3.4743843571050093e-06,-2.1419111817522207e-08,5.3191563438304e-06,3.6004422554469784e-06,-1.3206179971803067e-05,1.5556500329694245e-05,-3.3487942232568457e-06,1.22490116609697e-05,4.286287548893597e-06
-8.41691894493124e-06,1.0081471600642544e-05,1.0392183412477607e-05,2.1534066036110744e-05,-1.828760150601738e-05,4.304580215830356e-06,-2.830413768606377e-05,3.2961943361442536e-06,-3.2003047181206057e-06,-2.4409216166532133e-05,-6.846799806226045e-06,1.10531937025371e-06,1.3989402305014664e-05,1.1646181064861594e-05,-1.809501463867491e-05,8.474317382933805e-06,-3.458656919974601e-06,1.638579414020569e-05,9.809140465222299e-06
-1.2761875041178428e-05,-1.5621922102582175e-06,9.038177267939318e-06,6.580033755199111e-06,-3.21671245728794e-05,9.191981007461436e-06,-3.9691598431090824e-05,3.261966230638791e-05,-1.1890127552760532e-05,1.3040827980148606e-05,3.485449269646779e-05,-5.278626304061618e-06,1.1177455689903582e-06,-3.6123117865827226e-06,-2.0089013560209423e-05,2.2733966943633277e-05,-1.4366038158186711e-05,1.6072570133474073e-05,-3.830553396255709e-06
-2.2601374439545907e-05,6.054941422917182e-06,8.079082363110501e-07,2.6239929411531193e-06,-2.7218031050324498e-05,2.205361386131699e-05,-7.761399683658965e-05,7.595306146868097e-05,7.471669505321188e-07,-7.562325663457159e-06,6.925199249963043e-05,-1.0087467899211333e-05,3.03590650219121e-06,-6.581190177712415e-06,-3.475366065686103e-05,2.027972186624538e-05,-1.8206412278232165e-05,9.96714697976131e-06,-6.150996341602877e-06
-1.4733670013811206e-05,-2.6303259801352397e-06,2.185761445616663e-06,3.1276484264708415e-06,-2.2864076072437456e-05,1.0231290843876195e-05,-4.0456113310938235e-05,6.0045369536965154e-05,-1.2668738690990722e-05,-1.2780470115103526e-05,4.288312447897624e-05,-8.224545354096335e-06,-3.976610628342314e-06,-9.49811465034145e-06,-7.851877782627525e-06,1.745248891893425e-05,-1.1870721436935128e-06,1.074980286830396e-05,-9.803874036151683e-06
