Fp1,F7,T7,P7,O1,F3,C3,P3,Fp2,F8,T8,P8,O2,F4,C4,P4,Cpz
1.4817844203207642e-05,-5.891817954761791e-05,-6.840121204731986e-05,-5.0628876124392264e-05,-2.0487565961957444e-05,-2.897350259445375e-05,-3.7475280805665534e-05,-2.769952880044002e-05,8.795942630968057e-05,6.883457444928354e-05,6.454330650740303e-05,1.4884502888889983e-05,-3.075687345699407e-06,2.9978893508086912e-05,2.1237377950455993e-05,5.041565600549802e-06,-1.1637649038220843e-05
2.0185026642138837e-05,-3.165120961057255e-05,-7.242585525091272e-06,-7.673474101466127e-06,-6.863650924060494e-06,-4.933352101943456e-06,-8.486506885674316e-06,-1.111878964366042e-05,4.167110364505788e-05,3.342807531225844e-05,5.6306103033421095e-06,-3.856568582705222e-06,-6.0413822211558e-06,7.817860932846088e-06,-5.283270638756221e-06,-5.236610377323814e-06,-1.0345278951717773e-05
1.1553416698006913e-05,-2.7088668048236286e-05,-1.722305330531526e-05,-1.16132250695955e-05,-3.56135205947794e-06,-9.646227226767223e-06,-9.051217659816757e-06,-2.0972220227122307e-06,3.905148878402542e-05,2.4457921426801477e-05,3.157207629556069e-06,-2.484202923369594e-07,-2.0396146283019334e-06,5.7684414969116915e-06,-6.511754691018723e-08,2.882852641050704e-07,-1.6426438378402963e-06
7.586187712149695e-05,-5.403488830779679e-05,-3.501092942315154e-05,-4.223749601806048e-05,-4.176178390480345e-05,-7.769088824716164e-06,-1.8927086784970015e-05,-2.4773435143288225e-05,0.00015493356477236375,8.739898839849047e-05,5.306305979502213e-06,-3.063807844227995e-05,-3.685704814415658e-05,2.0946607037330978e-05,-9.481444749326329e-06,-2.2308613552013412e-05,-2.0647450583055615e-05
6.042186714694253e-05,-7.290042867680313e-05,-4.511864244705066e-05,-3.930883849534439e-05,-3.7884846733504673e-05,-1.2616286312550073e-05,-1.9282402220710537e-05,-2.6151990596190444e-05,0.00015471704136871267,0.00010475288036104757,5.220941375227994e-06,-2.236154045931471e-05,-3.1963505534804426e-05,2.7857643544848543e-05,-4.34021217188274e-06,-1.9959699216087756e-05,-2.108198020778218e-05
1.3080076143978658e-05,-4.898291808785871e-05,-2.7273394152871333e-05,-2.1531538550334517e-05,-1.3893346704207943e-05,-1.1988243386440445e-05,-1.5686167444073362e-05,-1.156303721927543e-05,7.179044177973992e-05,5.241805502009811e-05,9.176859293802409e-06,-2.8936976832483197e-06,-6.578474085472408e-06,1.527298013570544e-05,4.656606733988156e-06,-1.8233185983262956e-06,-4.180880296189571e-06
1.118620639317669e-05,-6.03391836193623e-05,-2.7036392566515133e-05,-1.3682569260708988e-05,-4.834966603084467e-06,-1.4844110864942195e-05,-1.3361463061301038e-05,-6.614684025407769e-06,5.467701339512132e-05,3.717934987435001e-05,1.415547012584284e-05,8.239389899244998e-06,1.1950296538998373e-06,1.142231781159353e-05,2.2825483938504476e-06,3.4617146411619615e-06,-3.085669959546067e-06
-8.05281160864979e-07,-4.8773503749544034e-05,-1.5514833648921922e-05,-2.7955538826063275e-06,1.6231660993071273e-06,-6.474127530964324e-06,-4.913961674901657e-06,2.441212927806191e-06,2.6405599783174694e-05,1.145725036622025e-05,1.7198381101479754e-06,3.6170004023006186e-06,3.984623617725447e-06,9.594648531674466e-06,6.675359145447146e-06,6.207316801010165e-06,5.551244612433948e-06
2.438482169964118e-05,-1.9492742012516828e-05,-8.14745354915658e-06,-5.033460411141277e-06,-5.7323777582496405e-06,-6.494683020719094e-06,-9.3707463975079e-06,-8.546557296540414e-06,4.709110362455249e-05,2.9382359571172856e-05,2.0278616830182727e-06,-6.85877358819198e-06,-7.74167301642592e-06,3.515560820233077e-08,-6.525245055399864e-06,-7.914124353192165e-06,-1.1063465990446275e-05
-2.784942989819683e-05,-7.063243720040191e-05,-2.000638005483779e-05,-6.375155464866111e-06,4.726368615592946e-06,-2.3696437892795075e-05,-8.523619158040674e-06,4.172087955112147e-07,4.199691647954751e-05,5.4858783187228255e-05,1.2246671531102038e-05,7.65522770507232e-06,6.7644277805811726e-06,1.312663243879797e-05,8.392762083531125e-06,5.168729245497161e-06,1.7297297745244578e-06
-2.277873136335984e-05,-6.287408086791402e-05,-1.9161022009939188e-05,-8.671074283483904e-06,-2.397675416432321e-06,-1.9416347868173034e-05,-8.996790938908816e-06,-4.62876340634466e-06,4.3108513636980206e-05,6.306602699623909e-05,1.1326741514494643e-05,3.350697170390049e-06,1.7013617252814583e-06,1.4500386441795854e-05,6.937692887731828e-06,4.1024516121979104e-06,8.306169547722675e-07
1.343562689726241e-05,-4.021562199341133e-05,-1.8319387891096994e-05,-1.1840215847769286e-05,-1.1508877832966391e-05,-6.334580803013523e-06,-8.240879651566502e-06,-9.528297368888161e-06,6.866030707897153e-05,4.6474970076815225e-05,1.567817889736034e-06,-8.416152155632517e-06,-1.1060763199566281e-05,1.250737159352866e-05,7.602830010000616e-08,-9.156261562281998e-06,-8.10108349469374e-06
-8.68905772222206e-06,-3.4158363632741384e-05,-1.246460851689335e-05,-7.002514394116588e-06,-2.4662604118930176e-06,-6.917204700584989e-06,-4.426018676895183e-06,-2.6946163416141644e-06,2.1501000446733087e-05,2.305912130395882e-05,5.115903832120239e-06,3.5126986404065974e-06,6.244472388061695e-07,1.0732392979662109e-05,6.2937372149463044e-06,4.679229732573731e-06,3.3001120982589782e-06
7.957264642755035e-06,-0.0001097803478842252,-5.431509453046601e-05,-3.8075670090620406e-05,-2.035366424024687e-05,-3.319432380521903e-05,-3.287841423116333e-05,-2.2159928903420223e-05,0.0001371010739603662,0.00013654574468091596,2.2286345938482555e-05,-7.173578069341602e-07,-9.038723945309357e-06,3.3674989481369266e-05,4.453692554307054e-06,-6.230439225873852e-06,-1.5275144505721983e-05
1.8085167539538816e-05,-5.630144914903212e-05,-2.676093026821036e-05,-1.7941086952077967e-05,-8.445649655186571e-06,-1.3587739886133932e-05,-1.4146232615530607e-05,-9.522511845716508e-06,6.815894494138774e-05,5.928260361542925e-05,3.6649794310505968e-06,-5.544141458813101e-06,-6.0787938309658784e-06,1.6576309462834615e-05,1.5609213050993276e-06,-4.0263696519105e-06,-4.974014814251859e-06
-5.440947279566899e-05,-5.9234557738818694e-05,-1.83113879757002e-05,-4.775945853907615e-06,1.0089097486343235e-05,-2.314840321560041e-05,-3.955939973820932e-06,4.509307473199442e-06,-3.366578312125057e-06,5.235616481513716e-05,2.111221537148822e-05,1.6822964425955433e-05,1.4500747056445107e-05,8.674313903611619e-06,1.4409381719815428e-05,1.4529638974636327e-05,1.01984487628215e-05
-2.3171283828560263e-05,-1.6136307294800645e-05,-9.555787983117625e-07,1.2273030733922496e-06,1.6821122699184343e-06,-9.497592600382632e-06,-1.8221480786451139e-06,2.322996806469746e-06,-9.533716365695e-06,1.531814723421121e-05,8.148323104251176e-06,5.555427378567401e-06,4.563315087580122e-06,5.845657483405375e-06,6.165606009744806e-06,5.103605872136541e-06,5.1841334425262176e-06
-5.1347349653951824e-05,-7.360226300079376e-05,-1.5932443375277217e-05,-1.1530831869777103e-05,-1.586039078560475e-05,-1.5640819128748262e-05,-9.329472050012555e-06,-7.94024072092725e-06,2.9862860174034722e-05,0.00010226250378764234,3.0434485552177648e-05,-9.694122127257288e-08,-8.887070634955307e-06,3.5841300814354327e-05,1.4612297491112258e-05,9.611467248760164e-07,-3.8067810237407684e-06
-3.716898208949715e-05,-5.2522133046295494e-05,-1.6718017832317855e-05,-8.744483807276993e-06,-1.7533137679492938e-06,-1.6281020407404867e-05,-5.2003000519107445e-06,6.419199394258612e-07,1.5168102663665195e-05,5.748032981500728e-05,1.6580032024648972e-05,5.359102942747995e-06,3.99299233322381e-06,1.846739814936882e-05,1.0148517958441516e-05,6.939426384633407e-06,3.610425210354151e-06
-6.717848009429872e-06,-0.00011082842866017018,-4.2376397459520376e-05,-2.4559696157666622e-05,-6.698956440231996e-06,-3.636622022895608e-05,-2.7845409476867644e-05,-1.0287320264978916e-05,0.0001068329693225678,0.00011085914229624905,2.1896723410463892e-05,2.5145209292531945e-06,-4.493496135182795e-07,2.4338989533134736e-05,5.063143362349365e-06,2.515071173547767e-07,-5.627372502203798e-06
-3.162438213166752e-05,-3.324562021589372e-05,-4.646937668439932e-06,1.3246080925455317e-06,-3.954603471356677e-06,-5.82935308557353e-06,1.0515750545891933e-06,1.5182686752268637e-06,-1.6767935449024662e-06,2.2966729375184514e-05,1.136617208885582e-05,8.224052940875026e-06,2.1956282125756843e-06,1.2226271906001784e-05,1.075373529602075e-05,6.705742322310471e-06,2.6449051802046597e-06
-6.998663184276666e-05,-4.9829674026113935e-05,-6.925839045379689e-06,1.4314396139525343e-06,1.8816899860496505e-05,-1.805814349609136e-05,-3.368884790688753e-06,7.80979735282017e-06,-2.2029762476449832e-05,3.802769606409129e-05,1.8553734321358206e-05,2.187229398487034e-05,2.3577821764320106e-05,5.541143309528707e-06,1.000945349005633e-05,1.3598187933894224e-05,1.0960466624965193e-05
1.3698238944925833e-05,-8.787969818513375e-05,-3.842250998786767e-05,-2.7743612008634955e-05,-1.7071999991458142e-05,-2.0833225789829157e-05,-1.7033750054906704e-05,-6.644503969255311e-06,0.00010909113552770577,9.193872574542183e-05,6.041058441041969e-06,-1.2167544809926767e-05,-1.2468031854950823e-05,2.1286229639372323e-05,3.8003101181516286e-06,-3.220528867586836e-06,-2.3702937141933944e-06
-9.210664416059444e-06,-3.059756272705272e-05,-8.760689524933696e-06,-3.52751521859318e-06,-4.750175321532879e-06,-5.534011506824754e-06,-2.891927579184994e-06,-3.65835330740083e-06,1.889874693006277e-05,3.0317423806991428e-05,6.272527571127284e-06,2.8268326985880776e-06,3.190284587617498e-07,9.108182894124184e-06,3.782270596275339e-06,-2.9683519642276224e-07,-2.2972799342824146e-06
1.5156932931859046e-05,-5.1229726523160934e-05,-2.184887881639952e-05,-1.1847263976960676e-05,-4.1640350900706835e-06,-1.239095854543848e-05,-1.2293315705846908e-05,-5.463807610794902e-06,5.417289139586501e-05,3.642329420472379e-05,8.223311965593894e-06,-2.2586400518775918e-06,-1.768772563082166e-06,1.049209504344617e-05,1.7869579096441157e-06,5.190604497329332e-07,-3.5091416066279635e-06
3.991331141151022e-06,-2.634484917507507e-05,-9.846193279372528e-06,-4.500754585023969e-06,-5.909067008147417e-06,-8.764879567024764e-06,-7.418614586640615e-06,-1.9059530131926294e-06,2.604020482976921e-05,2.059272264887113e-05,4.298792646295624e-06,1.2576756489579566e-06,3.322243173897732e-07,4.827921202377183e-06,8.67295511852717e-07,2.1222745658633357e-06,3.5986840885016136e-07
1.511973277956713e-05,-5.031205319028231e-05,-2.35531465477834e-05,-1.900217853290087e-05,-1.543578235896348e-05,-6.332190650937264e-06,-9.857451004791074e-06,-1.061007094449451e-05,6.701104712192318e-05,5.875405349797802e-05,2.688556605789927e-06,-1.1077107345158765e-05,-1.0075517593577388e-05,1.7118005416705273e-05,3.3350220292049926e-06,-3.889520257871482e-06,-3.8813996070530266e-06
