Fp1,F7,T7,P7,O1,F3,C3,P3,FT9,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,TP9,TP10,Cpz
-6.253115861909464e-05,-5.123815390106756e-05,-6.149219643702963e-06,1.4630131772719324e-08,4.7187359086819924e-06,-2.0262606540200068e-05,-4.908362598143867e-06,-4.0178349536290625e-07,-2.046133420208207e-05,-2.3205362595035695e-05,2.5247993107768707e-05,3.30830425809836e-05,2.2713488988301833e-05,6.898514584463555e-06,2.028149538091384e-06,1.0205002411112218e-05,7.3066422956458155e-06,4.313928502597264e-05,4.931775947625283e-06,2.968040314499376e-05,-8.096817509795073e-07
6.408014087355696e-06,-2.22249900616589e-05,-2.4206939087889623e-05,-1.871167887657066e-05,-1.5946920939313713e-05,3.319228198961355e-07,-1.4694023775518872e-07,-2.7792174819296633e-06,-4.104797585569031e-05,4.212005023873644e-05,4.8407322537968867e-05,1.1698698472173419e-06,1.712109224172309e-06,-4.462989181774901e-06,3.028356150025502e-05,1.2771644378517522e-05,5.473443252412835e-06,5.736021194024943e-06,-2.313486038474366e-05,-9.699828297016211e-06,7.948379447952902e-06
-2.8054074107330962e-05,-3.15555626002606e-05,-1.4688239616589271e-05,-1.0722606020863168e-05,3.946991455450188e-06,-1.5227162293740548e-05,-1.0149095942324493e-05,-9.180180768453283e-06,-1.8668735947358073e-05,3.501144419715274e-06,3.8823486647743266e-05,2.385280595262884e-05,1.5194654224615078e-05,-2.338300419069128e-06,1.0261708666803315e-05,7.632269813484527e-06,4.740718395623844e-07,3.233580900996458e-05,-6.2675044318893924e-06,1.7182823796701996e-05,-6.354300694511039e-06
-1.994248668779619e-05,-3.2680967706255615e-05,-9.92864715954056e-06,-1.7391625988238957e-06,1.5518471627729014e-06,-3.5218796710978495e-05,-3.122760335827479e-05,-1.8090540152115864e-05,-9.781771950656548e-06,9.457014243707818e-06,4.252798635207e-05,3.5685736293089576e-05,2.824714556481922e-05,2.4458729290799397e-05,-1.9324445020174608e-05,-2.5208118131558876e-05,-1.3262856555229519e-06,5.3890704293735325e-05,6.6950858581549255e-06,3.632573861978017e-05,-3.4371158108115196e-05
-2.383218517820751e-05,-2.599157960503362e-05,-5.869659389645676e-07,1.07684707018052e-05,5.806238505101646e-06,-6.022224624757655e-06,2.576545739430003e-06,6.897317234688671e-06,-8.160865945683327e-06,-8.360653282579733e-06,1.1673659173538908e-05,-6.065981779102003e-06,-4.6365728394448524e-06,8.036378403630806e-06,1.5051862760628865e-06,3.3826870549091836e-06,2.130420398316346e-06,1.2101836546207778e-05,1.0601456210679316e-05,2.9854669563178504e-06,5.1913671086367685e-06
-2.5883427042572293e-05,-6.919625275259023e-05,-2.3447700186807197e-05,-1.4221046512830071e-05,1.9579701984184794e-06,-1.3140718465365353e-05,-5.179984336578514e-06,2.7225610210734885e-07,-2.934708390966989e-05,1.185787505164626e-05,4.4748360096491524e-05,3.8577902159886435e-05,8.572085846481059e-06,8.573501730779753e-06,3.22530740959337e-05,2.288639433345452e-05,4.066182100359583e-06,1.701794008113211e-05,-2.0066588149347808e-05,6.0061211115680635e-06,3.693139063898343e-06
3.4930008041555993e-06,-2.529625635361299e-05,-1.968861715795356e-05,-1.2294350199226756e-05,-7.959562481119065e-06,-3.6774767977476586e-06,-7.218491191451903e-07,-8.115871423797216e-07,-2.594404577394016e-05,3.9756067963026e-05,3.877038398059085e-05,-1.5857970083743567e-06,-6.744577149220277e-06,4.373976480565034e-06,1.4520419426844455e-05,4.789098028368244e-06,5.044170279688842e-06,1.2315162166487426e-05,-1.5869825062964082e-05,-4.593459379975684e-06,2.125122591678519e-06
3.956218279199675e-06,-2.018147824855987e-05,-1.8242389160150196e-05,-1.339583423032309e-05,-8.041867431529681e-06,-4.088814193892176e-06,-3.66188558587055e-06,-4.497513828027877e-06,-2.816211690515047e-05,3.758330331038451e-05,4.419186006998643e-05,4.6910024877888645e-06,-2.160722829103179e-06,-6.045537929821876e-06,1.5163042917265557e-05,4.27516761192237e-06,-1.415723147601966e-06,1.4394127902050968e-05,-1.3769629276794149e-05,1.394513901686878e-06,-1.9857216102536768e-06
-4.492930429478292e-06,-3.134847247565631e-05,-1.545447457829141e-05,-1.305741739088262e-05,-7.935672329040244e-06,2.551588295318652e-06,-1.7954605766590248e-06,-7.935216331134143e-06,-3.349987582623726e-05,3.221504721295787e-05,5.641980033033178e-05,1.3738070492763654e-05,-6.113782092143083e-06,-1.3680773122359824e-05,2.5512309548503254e-05,5.027666702517308e-06,-8.080136012722505e-06,2.168714081562939e-05,-1.4933494014712778e-05,-1.9234526007494424e-06,3.099535206274595e-06
1.5836536476854235e-05,-4.006423114333302e-05,-2.8123808078817092e-05,-2.159778841814841e-05,-1.835037323871802e-05,-1.1664905287034344e-05,-1.412327037542127e-05,-1.8003832451540802e-05,-4.260661626176443e-05,7.740144218360001e-05,8.677111691213213e-05,2.6840852115128655e-05,-5.817717010359047e-06,-1.3510350981960073e-05,2.5919762265402824e-05,4.616196747520007e-06,-7.216593985504005e-06,2.4631925953144673e-05,-2.4609623324067798e-05,-7.040074706310406e-06,-9.288655292039039e-06
