C3,C4,F3,F4,F7,F8,Fp1,Fp2,FT10,FT9,O1,O2,P3,P4,P7,P8,Pz,T7,T8,Cpz
-2.6046850962302415e-05,3.317869868624257e-05,-2.3427189717040164e-05,2.3766575395711698e-05,-3.049039423785871e-05,3.1070896511664614e-05,-1.2844891841723438e-05,2.078018951578997e-06,2.722507451835554e-05,-3.273630500189029e-05,-9.066807251656428e-06,3.3692631404846907e-06,-1.710161814116873e-05,1.6799310174064885e-05,-2.397753269178793e-05,2.644644791871542e-05,-3.019982614205219e-06,-4.044399884151062e-05,5.0879323680419475e-05,4.341958174336469e-06
-1.8948760953207966e-05,5.159736247151159e-07,-2.5806534722505603e-06,3.701625155372312e-05,-3.3630727557465434e-05,8.73730441526277e-05,2.3143397356761852e-05,6.48663190077059e-05,4.258301851223223e-05,-4.183303644822445e-05,-2.1923847270954866e-05,-1.9210620848753024e-05,-2.4814311068155348e-05,-1.6801898254925618e-05,-2.6116570552403573e-05,-9.864358418099073e-06,-1.9333278032718226e-05,-3.000269589392701e-05,2.402826589786855e-05,-1.4465517779171932e-05
-1.4536174887780362e-05,1.867487162598991e-05,-1.1080134299845668e-05,2.3427358996741532e-05,-4.5468161260942e-05,3.902873231709236e-05,7.133805411285721e-06,3.166311216773465e-05,1.6341073660441907e-05,-5.38533968210686e-05,-6.441309778892901e-06,2.7142732506035827e-06,-7.932377229735721e-06,1.450428470661791e-05,-2.4300272798427613e-05,9.703120213089278e-06,7.908858606242575e-06,-4.3783207729575224e-05,2.3962000568644726e-05,1.2333543281783932e-05
-9.026023690239526e-06,-1.411007042406709e-05,-1.925565993587952e-05,2.15277850657003e-06,-3.2219158129009884e-05,3.72789427274256e-05,-1.555473863845691e-05,6.683319952571765e-06,3.241157446609577e-05,-1.0065915375889745e-05,1.1785862625401933e-05,2.0844781829509884e-06,4.630001058103517e-06,-7.614988135173917e-06,1.5733507552795345e-05,-4.516768967732787e-07,-7.036868737486657e-06,4.130421075387858e-06,1.0133499927178491e-05,-1.1689294296957087e-05
-1.1043309370961651e-05,4.205905327125947e-06,-9.555706128594466e-06,7.299799335669377e-06,-1.3560511433752254e-05,2.6632503363543947e-05,-2.965789462905377e-07,1.2840094314015005e-05,1.7520456822239794e-05,-1.067814076805007e-05,-1.742990207276307e-06,-3.4887307265307754e-07,-9.250172752217622e-06,-1.5050768524815794e-06,-5.038623385189567e-06,5.114585746923694e-06,-7.442111382260919e-06,-1.1284292668278795e-05,1.1687240203173133e-05,-3.554201384758926e-06
1.80896222445881e-06,-1.3932722140452825e-06,2.1936511984677054e-06,6.8477037302727695e-06,-1.3719025446334854e-05,2.6903702519120998e-05,4.3274849303998053e-07,1.41573732435063e-05,1.3002193554711994e-05,-1.305350588154397e-05,-9.872468581306748e-06,-9.444076368936294e-06,-3.989063941389759e-07,-3.6212893519405043e-06,-2.122962996509159e-06,-7.2668880193305085e-06,-1.3760441106569488e-06,-1.7806078176363371e-06,-1.8711480151978321e-06,5.73860006625182e-07
-3.030375955859199e-05,3.831248341157334e-05,-3.395352086954517e-05,1.0932343400327227e-05,-3.425433681059076e-05,3.850952998618595e-05,-2.5989762661993154e-05,-4.688663238994195e-06,5.161915123608196e-05,-2.0979365672246786e-05,-2.2713342332281172e-05,-7.841949809517246e-06,-2.679036697372794e-05,8.759703177929623e-06,-2.013428115787974e-05,3.81166037186631e-05,-1.7978729488277168e-05,-1.716709630272817e-05,8.177782001439482e-05,-5.232460807746975e-06
-7.673858590351301e-06,2.9859376809326932e-05,-6.959165148145985e-06,2.4632720396766672e-05,-2.704510984585795e-05,2.8714050131384283e-05,-7.372044933617872e-06,7.000583082117373e-06,3.585956847018679e-05,-3.2696716516511515e-05,-1.8826161067408975e-05,-8.211565727833658e-06,-2.1555390048888512e-05,1.1284030733804684e-05,-3.9867651139502414e-05,1.72047139130882e-05,-8.061233529588208e-07,-4.4886939136290493e-05,5.0412610107741784e-05,1.0933074463537196e-05
-1.684797098278068e-06,7.643444519089826e-06,6.067573622203781e-06,2.0001171094463643e-05,-1.87729742862075e-05,2.4186898372136056e-05,1.2222921213833615e-05,2.6907603569270577e-05,-1.9246663214289583e-06,-2.7873089948116103e-05,-5.219673312240047e-06,-4.5728702389169484e-06,-4.398071268951753e-06,-1.3506555660569575e-06,-6.8026367898710305e-06,-6.750891770934686e-06,-3.4668810258153826e-06,-1.7225538158527343e-05,1.519645593361929e-06,1.493490799475694e-06
-4.295353164707194e-06,9.83244626695523e-06,-9.7361441078192e-06,2.0899555693176808e-05,-3.9859116441220976e-05,3.9105276300688274e-05,-3.390201982256258e-06,2.483511434547836e-05,1.6796774843896856e-05,-4.019016023448785e-05,-3.2775386671346496e-06,3.1843219403526746e-06,-6.371682275130297e-06,8.42182089400012e-06,-1.5284804703696864e-05,5.344490290326576e-06,3.1132416324908263e-06,-2.8775205464626197e-05,1.5156104382185731e-05,4.49106136102273e-06
-1.545039947359328e-05,1.590173951626639e-05,-2.1827883301739348e-05,3.0523721761710476e-05,-5.373811654862948e-05,8.674980199430138e-05,-2.0864004909526557e-05,2.912320360337617e-05,5.723043796024285e-05,-4.5408879486785736e-05,-2.0071248854947044e-05,-9.311378335041809e-06,-1.604060071258573e-05,2.109426418428484e-06,-2.6596437237458304e-05,1.1022081253031502e-05,-9.277888466385775e-06,-3.088987068622373e-05,3.8033773762435885e-05,-1.21747115144899e-06
-1.9350054230926617e-05,2.5435683255636832e-05,-1.9671110749186482e-05,6.446478982979897e-05,-5.489720479090465e-05,0.00013569432849180885,-2.858742755051935e-05,3.887955335812876e-05,0.00011341481149429455,-4.635734831026639e-05,-6.123610182839911e-05,-4.3948606617050245e-05,-3.812109298451105e-05,-2.0750669136759825e-05,-4.768193502968643e-05,5.66167727811262e-06,-3.189363451383542e-05,-4.14725207065203e-05,8.455566694465233e-05,-1.4138805454422254e-05
-2.1717239633289864e-05,5.8052301028510556e-06,-1.7029577520588646e-05,-1.4461588762060273e-06,-2.031789540524187e-05,1.8522528080211487e-05,-1.1209182048332877e-05,3.355261696924572e-06,3.0716728815605165e-05,-1.3373537967709126e-05,-3.0816704565950204e-07,1.4569790891982848e-05,-1.1468180446172482e-05,1.1654859690679586e-05,-1.3531243666875525e-05,2.716760195653478e-05,-3.390062715880049e-06,-2.7346900878910674e-05,3.346668188441981e-05,-4.1205346974493295e-06
-2.5925958198058652e-05,4.8093444092955906e-05,-1.0204622753917647e-05,3.923241320080706e-05,-3.794553686020663e-05,4.361296396382386e-05,-1.0097202789438597e-05,1.8022611584456172e-05,4.162283130426658e-05,-4.499633359955624e-05,-2.640098182382644e-05,-4.8635602070135064e-06,-2.7860972977578058e-05,1.687688836682355e-05,-4.484563305595657e-05,2.307501131326717e-05,-4.256815373082645e-06,-6.196081267262343e-05,5.786512474514893e-05,1.0957136737488327e-05
