C3,F3,F4,F7,F8,Fp1,Fp2,O1,O2,P4,P7,P8,T7,T8,Cpz
-5.374587999540381e-06,-1.3423763448372483e-05,-5.866277206223458e-06,-2.356869663344696e-05,4.199020622763783e-06,-3.355762601131573e-05,-3.092946280958131e-05,9.196803148370236e-06,2.3142290956457146e-05,1.560189775773324e-05,8.965103916125372e-06,2.3525829419668298e-05,2.4347027647309005e-06,1.671605105002527e-05,8.938711289374623e-06
-6.63195714878384e-06,-1.914373569888994e-05,1.6030970073188655e-05,-3.6904646549373865e-05,4.637231177184731e-05,-2.219524139945861e-05,4.869536496698856e-06,-2.0260213204892352e-06,7.750568329356611e-07,4.577194886223879e-06,-1.4745015505468473e-05,6.884682534291642e-06,-1.326165147474967e-05,2.313003278686665e-05,1.2268485079403035e-05
-2.800152401505329e-06,-1.31864885588584e-05,6.454126832977636e-06,-4.073546006111428e-05,3.868604380841134e-05,1.4679515970783541e-05,3.98911397496704e-05,-8.2468295659055e-06,-2.0813606624869863e-06,-4.4445596358855255e-07,-1.515895564807579e-05,2.069412801120052e-06,-2.2469620489573572e-05,6.451892659242731e-06,-3.1088086416275473e-06
-2.2735775928595103e-05,-1.0498239134903997e-05,2.02941982934135e-05,-7.245334307981466e-05,4.729466536446125e-05,4.598591431204113e-05,9.208028495777398e-05,-7.750657459837385e-06,-1.4144633951218566e-05,-5.072906787972897e-07,-1.2178826864328585e-05,-1.0920682143478189e-05,-3.880251097143628e-05,-6.687931090709753e-06,-8.975176712056054e-06
8.330584023497067e-06,-7.604798156535253e-06,3.468019622232532e-05,-5.687123484676704e-05,9.124003190663643e-05,-6.926796640982502e-05,-1.0533243766985834e-05,-2.8608537832042202e-06,-3.2522223136766115e-06,1.5319967644700228e-05,-1.1948715155085665e-05,-7.576054485980421e-07,-2.451635737088509e-05,2.2656777218799107e-05,1.5385438018711284e-05
-5.690319312634529e-06,-1.1369527783244848e-05,8.583293720221263e-06,-2.9145731787139084e-05,1.5573466498608468e-05,8.735209462429339e-06,1.2375998494462692e-05,-5.108451659907587e-06,-1.444642293790821e-06,1.2781304548070693e-05,-4.996211941943329e-06,1.392244485032279e-06,-1.9410999811952934e-05,1.0318871773051796e-05,7.405496944556944e-06
1.196973244077526e-06,-2.8094291337765753e-07,7.763856956444215e-06,-1.909061484184349e-05,1.053259325090039e-05,1.1646628991002217e-05,3.16259956889553e-05,-6.305213901214302e-06,-9.811246854951605e-07,5.773879820480943e-06,-1.8568265318208432e-05,-5.3242674766806886e-06,-1.378723322886799e-05,-7.660487199245836e-06,3.4582237731228815e-06
-5.539388439501636e-06,-6.1566970543935895e-06,2.3812989638827275e-05,-4.131498462811578e-05,4.638241989596281e-05,2.9456984520948026e-05,6.256102278712206e-05,-1.8784861367748817e-05,-1.9421411295184043e-05,-2.5275129246438155e-05,-9.241328825737583e-06,-1.1586724212975241e-05,-1.9076303715337417e-05,-2.2992098820395768e-06,-3.5173807191313244e-06
-7.955280580063118e-06,-1.633276951906737e-05,5.867806748938165e-06,-3.6341409213491715e-05,2.0768065951415338e-05,-1.7449316146667115e-05,4.30050931754522e-06,3.0069422791711986e-06,5.778504601039458e-06,8.168201020453125e-06,6.110148319748987e-06,6.050509000488091e-06,-9.684787983132992e-06,1.2233776175207822e-05,1.547910369481542e-05
-2.8783679681509966e-05,-2.667265016498277e-05,2.1669351440323226e-05,-6.710533216391923e-05,9.919421154336305e-05,-1.1973653187169475e-05,2.86097424577747e-05,-6.704358384013176e-07,-1.0508011598631128e-06,-6.685514563287143e-06,-1.0086371503348346e-05,6.166652383399196e-06,-2.3364024855254684e-05,2.9533658789659967e-05,-8.781156338955043e-06
-1.0215549082204234e-05,-5.417595275503118e-06,1.032272575685056e-05,-1.171615622297395e-05,2.809501347655896e-05,3.175218580508954e-06,1.7923860241353395e-05,-4.549640834738966e-06,1.9655508367577568e-06,-4.686662123276619e-06,-1.8066863049170934e-05,-2.960603524115868e-06,-6.821268797807534e-06,7.367618707121437e-06,-4.4156495278002694e-06
-2.184217009926215e-06,-3.9682508941041306e-06,2.347994268347975e-06,-2.0448434952413663e-05,1.1240390449529514e-05,2.949091140180826e-07,7.133305189199746e-06,4.535902462521335e-06,5.294203219818883e-06,-4.853636710322462e-07,3.413809963603853e-07,4.806765673492919e-06,-1.299500490858918e-05,2.041771040239837e-06,2.044651409960352e-06
-3.290224412921816e-06,-9.14496195036918e-06,3.894304427376483e-06,-1.1291333066765219e-05,3.360221307957545e-05,-1.1232528777327389e-05,2.7534661057870835e-06,-5.911031166760949e-06,-8.951797099143732e-06,1.625093773327535e-06,7.300568540813401e-07,3.4550248528830707e-06,-5.8343612181488425e-06,1.2962736946064979e-05,-3.3666528906906024e-06
-7.823282487606775e-06,-4.827519933314761e-05,2.2853098471387057e-05,-0.0001290646214329172,0.00010600871246424504,-0.00012178307588328607,-3.7547401916526724e-05,3.3821852412074804e-05,4.64098066004226e-05,3.140736862405902e-05,1.7441178897570353e-05,4.562194044410717e-05,-3.479363476799335e-05,5.3154127272136975e-05,2.25691287596419e-05
-7.5741354521596804e-06,7.70317370779594e-06,9.662180673331022e-06,-8.420094673056155e-06,3.2534924685023725e-05,8.382466489820217e-06,2.1131996618350968e-05,-1.62652185444756e-05,-6.754659466423618e-06,-4.8091684732298745e-06,-2.4548201508878265e-05,-1.4098513929639012e-06,-1.5130399333429523e-05,9.867320841294713e-06,-4.37033759226324e-06
9.390751358751004e-07,-1.9058118596149143e-05,-2.4490987016179133e-07,-6.632420263485983e-05,3.30399516315083e-05,-7.681582064833492e-05,-3.326404475956224e-05,1.4585737972083734e-05,2.3166734081314644e-05,1.8571055534266634e-05,2.2157776129461126e-05,2.543919163144892e-05,-5.340143616194837e-06,3.8652156945317984e-05,2.4495558136550244e-05
-6.387117537087761e-07,-4.792614163307007e-06,1.7034731172316242e-05,-2.293933448527241e-05,3.688732977025211e-05,-1.1206554518139455e-05,6.714893515891163e-06,-4.160785465501249e-06,-3.555114858500019e-06,-2.3489337763749063e-06,-7.95808773546014e-07,-6.283403308771085e-07,-1.7923556811183516e-05,8.039791055125534e-06,3.1300828595703933e-07
-7.865919769756147e-06,-1.676341526035685e-05,1.4109282346908003e-06,-2.731666927502374e-05,1.9641800008685095e-05,-2.6100467948708683e-05,-3.6991875731473556e-06,1.1722512397227547e-05,1.3765001085630502e-05,8.916504157241434e-07,4.831097612623125e-06,1.4618865861848462e-05,3.571158231352456e-07,1.5522972489634412e-05,-1.0162848411710002e-06
-7.532130439358298e-06,-3.322192628729681e-05,-6.73418071528431e-07,-4.5713333747698925e-05,2.8213678888278082e-05,-4.237493683945104e-05,-2.0208470232319087e-05,1.9749339571717428e-05,1.4933197235222906e-05,9.368584301228111e-06,1.668662270049026e-05,2.5563413146301173e-05,5.175543265067972e-06,2.832718655554345e-05,1.7066547570721013e-06
-2.8424347192412824e-05,-1.7948558706848416e-05,1.4048791854293086e-05,-5.182994937058538e-05,4.742033706861548e-05,1.6172487903531874e-05,3.722869951161556e-05,-3.110718353127595e-06,4.286502644390566e-06,2.742344804573804e-07,-1.6996535123325884e-05,9.91745253031695e-06,-2.6101177354576066e-05,2.0056705125170993e-05,-4.993931270291796e-06
-1.5992454791557975e-06,7.973712854436599e-07,1.4171549725716659e-05,-2.623476757435128e-05,1.4757911685592262e-05,-1.8524075585446553e-05,2.284445145050995e-06,2.601935193524696e-06,-1.467814627176267e-06,3.6647418255597586e-06,-2.8198905965837184e-06,7.0360063659791194e-06,-1.0607573472043441e-05,8.065579805816014e-06,7.873827144067036e-06
-9.35497064347146e-06,-1.6888448499230435e-05,-4.869738859270001e-06,-1.4675410056952387e-05,1.2588040817718138e-05,-8.102362016870757e-07,2.595695534068909e-06,8.534954758943059e-06,2.6179823180427775e-06,-8.921861081034876e-07,1.4527265477681794e-05,8.378230063499359e-06,-4.701200623458135e-06,7.3850642365869135e-06,-4.4350431380735245e-06
-2.9676266422029585e-07,-9.504710760666057e-06,6.099855795582698e-06,-3.3083419111790136e-05,6.59372381051071e-06,-3.4599186619743705e-05,-1.560168766445713e-05,1.4224784990801709e-05,1.2590021469804924e-05,5.5200537190103205e-06,1.4016772865943494e-05,1.6682703062542714e-05,2.3539278117823415e-06,1.27035855257418e-05,2.3003424303169595e-06
4.262463548343476e-06,3.22014295761619e-06,1.4132629075902514e-05,-1.6184291325771483e-05,2.144897462130757e-05,-2.8440344976843335e-06,1.0609788660076447e-05,-5.294193215377163e-06,-7.931194431876065e-06,-4.8464690394212084e-06,-4.710679604613688e-06,-2.5397011995664798e-06,-1.2379485042401939e-05,1.8339960661251098e-07,2.8726502705467283e-06
-1.2654278066293045e-05,-2.3836089894757606e-05,1.212894358104677e-05,-5.025067730457522e-05,5.832368515257258e-05,-2.6272125523973955e-05,1.192945978800708e-05,3.826788997685071e-06,1.2042603884765413e-05,6.736019258823944e-06,-4.481883934204234e-06,4.595873178914189e-06,-1.3860671742804698e-05,1.3101864624331938e-05,8.670486778328268e-06
8.100136255961843e-06,1.2974598348591826e-05,3.0147459256113507e-05,-3.248528003041429e-05,2.941827142421971e-05,-2.8361140721244738e-05,1.7693473637336865e-06,-1.804336125132977e-05,-1.734228862915188e-05,5.320948275766568e-06,-1.761044313752791e-05,-2.334460077690892e-06,-1.2041982245136751e-05,1.9282321773061994e-05,2.1205872144491877e-05
-6.236531476133678e-06,-7.878507176428684e-06,2.912759555329103e-06,-2.9075061320327222e-05,2.1047813788754866e-05,7.774128562232363e-06,1.9569744836189784e-05,2.6185198294115253e-06,9.370114639750682e-08,4.390552476252196e-06,-6.05775676376652e-06,2.4924253381186645e-06,-1.2787015293724835e-05,4.2378451325930655e-07,7.11440861778101e-07
-6.611296100800246e-06,-1.196082121168729e-05,-7.470297873624077e-06,-2.2646249362878734e-05,1.6599753962509567e-05,2.175271083615371e-05,3.183053377142642e-05,1.3905669220548589e-06,-7.1786401107942766e-06,5.850408797414275e-06,4.618741513695568e-07,-3.203401774953818e-06,-1.1556500851384044e-05,-9.829889904722222e-06,2.571245659055421e-06
-1.0531906355026877e-05,-6.616578502871562e-06,5.788030875919503e-06,-1.2877659173682332e-05,2.57814481301466e-05,1.7819493677961873e-05,2.8276786679271027e-05,-5.717819476558361e-06,-6.525310936922324e-06,-1.0253540040139342e-05,4.854591679759324e-07,-3.1856070563662797e-06,-1.0890070825553266e-05,-1.5820914995856583e-06,-9.970633072953206e-06
6.044333531463053e-06,-2.2716150851920247e-05,3.141671186313033e-06,-6.456064033955045e-05,2.151204171241261e-05,-5.617156693915604e-05,-4.715475643024547e-05,2.7656880774884485e-05,2.175366034862236e-05,1.73753610397398e-05,3.1750522339279996e-05,1.7586691228643758e-05,4.030704076285474e-06,2.3575437154477186e-05,1.6175813925656257e-05
-2.2284372107606032e-05,-1.437709215679206e-05,1.988211852221866e-05,-5.463127035909565e-05,5.847926126989478e-05,6.432398004108109e-05,8.517886089975946e-05,-2.3721636353002395e-05,-1.4791444300499279e-05,-1.6876389508979628e-05,-2.383323453614139e-05,-7.491460564779118e-06,-3.6206754884915426e-05,4.560786692309193e-06,-1.821134992496809e-05
