Fp1,F7,T7,P7,O1,F3,C3,P3,FT9,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,Cpz
-3.252010083087953e-05,-7.25057179806754e-05,-3.222345549147576e-05,1.2906957636005245e-07,1.2745723779516993e-05,-3.696295925692539e-05,-2.9704085591220064e-05,-6.498110792563239e-06,-5.686302756657824e-05,1.4823626770521514e-05,5.369355312723201e-05,5.40296096005477e-05,2.9763082579847833e-05,1.48817416629754e-05,3.981258487328887e-06,6.028454208717449e-06,1.3623177437693812e-05,5.857401447428856e-05,5.0041487611451885e-06
-2.5013078698066238e-05,-3.9205997381941415e-05,-3.191817586412071e-05,-1.1260362953180447e-07,2.8740141715388745e-06,-1.827261075959541e-05,-3.7352292565628886e-06,-3.971221303800121e-06,-2.8465798550314503e-05,5.988690645608585e-06,3.327000013086945e-05,2.1835885490872897e-05,1.7014344848576002e-05,5.541947757592425e-06,1.572691530782322e-05,1.3010182556172367e-05,7.76809702074388e-06,2.994400892930571e-05,-2.2793697098677512e-06
-5.799632435810054e-05,-7.202724009403028e-05,1.2123999567847932e-05,1.6153282103914535e-05,-1.7414285366612603e-05,-2.144531117664883e-05,5.227928340900689e-06,5.265280378807802e-06,3.7871504900977015e-06,7.14749398866843e-06,6.831829523434862e-05,2.33509517784114e-05,1.2745072581310524e-05,-7.730794095550664e-06,-5.614283963950584e-06,-1.11137260319083e-05,-1.257223698303278e-05,6.430933535739314e-05,-1.2514589798229281e-05
-6.758400559192523e-05,-0.00012767345469910651,-4.893957839158247e-05,-1.0859485882974695e-05,7.783338332956191e-06,-3.6815099520026706e-05,-1.64564032729686e-05,-4.206694029562641e-06,-8.229099421441788e-05,1.5824205547687598e-05,8.151875863404712e-05,5.3072979682156074e-05,4.462589822651353e-05,2.548943377433943e-05,3.074098003708059e-05,3.1801079558135825e-05,2.3832466467865743e-05,7.131654092518147e-05,8.820024788747105e-06
-3.445945185376331e-05,-9.814364238991402e-05,-5.6494056480005383e-05,-2.537382124501164e-05,-2.8013746486976743e-06,-2.081495393468913e-05,-1.7004056871883222e-05,-1.355651829726412e-05,-8.219758092309348e-05,4.689206434704829e-05,8.314294245792553e-05,3.122231919405749e-05,1.5814799553481862e-05,1.4957238136048545e-05,4.1011470329976873e-05,3.0536869417119306e-05,2.1199218281253707e-05,5.543138468055986e-05,1.0637151262926636e-05
-1.2569767477543792e-05,-4.502161482378142e-05,-2.0790660528291482e-05,-1.3545748743126751e-05,-1.5142806205403758e-05,3.551003828761168e-07,6.237939942366211e-08,-4.820313506570528e-06,-3.9098258397984864e-05,2.182938169426052e-05,4.736670234706253e-05,2.528940240154043e-05,-2.623936325107934e-06,-1.3485878298524767e-05,2.1391915652202442e-05,1.9015501493413467e-05,3.3487131076981314e-06,3.750045470951591e-05,-9.060568118002266e-06
-1.7067253565983265e-06,-8.15570840586588e-05,-3.913012477596567e-05,-1.323860851698555e-05,-8.197027455025818e-06,-9.129728368861834e-06,5.734314072469715e-06,5.257103111944161e-06,-7.697488535995944e-05,6.375044631568016e-05,6.920322721271077e-05,1.5607135992468102e-05,-2.6356067792221438e-05,-2.861363009287743e-05,4.023917982465264e-05,4.1136646359518636e-05,9.99756730379886e-06,3.580037719075335e-05,-1.822122271732951e-06
-3.247578433729359e-05,-5.705965668312274e-05,-9.523466133032343e-06,2.6608504413161427e-06,-3.690524863486644e-06,-1.2010885257041082e-05,5.767214190655068e-07,5.171991688257549e-06,-3.0422665417972894e-05,2.4015711460378952e-05,4.4941314627067186e-05,1.9490673182076534e-05,-7.773589459247887e-06,-1.0002176622947445e-05,1.8250896800964256e-05,8.512664635418332e-06,-1.1256806828896515e-06,4.287603223929182e-05,-2.4124256015056744e-06
-0.0001818451601138804,-0.000176138133610948,-4.296626502764411e-05,1.3178300150684663e-05,3.246735650463961e-05,-5.180627726986131e-05,-5.55505368993181e-06,1.552032654217328e-05,-7.236166675284039e-05,-7.926330908958334e-05,0.00011431293432906386,6.081617721065413e-05,5.041296026320197e-05,4.8704439905122854e-05,2.8659377449002932e-05,3.5553855923353694e-05,4.1984921153925825e-05,0.00011862386872962816,4.9701358307174814e-05
-3.3062508919101674e-05,-0.00033243642064917367,-0.00038290026714093983,-2.2586666958090973e-05,1.3647426385432482e-05,-0.0004143624992138939,-0.00045387216891867865,-0.0001795556272554677,-0.0001339761492999969,0.00010832739644683897,0.00026511174291954376,7.975526750669815e-05,0.0005832346832903568,-1.007804530672729e-05,3.081777367697214e-05,4.281636802261346e-05,5.920668502312765e-05,9.19693338801153e-05,0.0006879436914459802
