F7,T7,P7,O1,F3,C3,P3,FT9,Fz,Cz,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,PO7,PO8,Cpz
-7.48229977034498e-05,-3.5972989280708134e-05,-8.611198438757128e-06,2.773932749278174e-06,-3.2439949791296385e-05,-2.6588917535264045e-05,-1.3625254723592661e-05,-4.3899415686610155e-05,-8.18938002566938e-06,-8.101682624328532e-06,1.4783527149120346e-05,9.160800982499495e-05,4.92843464598991e-05,1.6683087324054213e-05,2.552144328760164e-06,2.422296347504016e-05,4.042087596189958e-06,1.2450285566956154e-06,7.248582551255822e-05,-1.1278315241725068e-05,-8.183967111108359e-06,-7.966887324073468e-06
-3.8731655877199955e-05,-4.5118095385987544e-05,-1.1440776006566011e-05,6.519472435684293e-06,-1.6544007849006448e-05,-1.4881082336160034e-05,-7.283368063326634e-06,-3.821360280653607e-05,8.684025942784501e-06,2.491325403752853e-06,9.984280382013822e-06,2.672926984814694e-05,2.0114002325044567e-05,9.321678135165712e-06,8.763304776948644e-06,1.4687460407003528e-05,2.4048260456766002e-05,5.972265171294566e-07,2.4568043954786845e-05,7.981784165167483e-06,5.3924602525512455e-06,2.3299974145629676e-06
-2.2642756448476575e-05,-2.9115916277078213e-05,-1.6264954865619075e-05,-7.900544233052642e-06,-9.398105248692445e-06,-1.2424257889165347e-05,-5.033688921685098e-06,-2.2984617316978984e-05,2.9338457352423575e-07,7.166772775235586e-08,5.477074921600433e-06,2.2576052742806496e-05,1.856628296081908e-05,1.4451982906393823e-05,7.024191745585995e-06,8.346038384843268e-06,1.0766786999738542e-05,1.4801677480136277e-05,1.7982303347707784e-05,1.673531869528233e-06,1.1067476179960067e-06,2.627118419695762e-06
-2.3210037852550158e-05,-2.4720011424506083e-06,4.844690636218729e-06,8.153141152433818e-06,-1.2975499885214958e-05,-1.0566022794478158e-05,-5.699583539353625e-06,-5.422666959020717e-06,-1.2313050319789909e-05,-1.0009030575020006e-05,3.2607457569611142e-06,3.418578535274719e-05,1.8136398011847632e-05,1.2331894367889618e-05,7.124482408471522e-06,4.871860198818467e-06,-5.743481779063586e-08,1.5265767956407217e-06,2.620409577502869e-05,-1.1183850801899098e-05,-1.113322718993004e-05,-1.559726479172241e-05
-4.285979139240226e-05,-1.3436567826374812e-05,1.6951094039541204e-06,3.3575067845958984e-06,-1.0835537182174448e-05,-1.2827008504245896e-06,3.429676553423633e-06,-2.2441534838435473e-05,2.784413069889524e-06,-1.95262060742607e-07,-8.28342331260501e-06,3.077282995178621e-05,1.2806459608327714e-05,5.855406016053166e-06,4.210509587210254e-06,7.82226180717771e-06,5.479493438542704e-06,1.9612398034496437e-06,1.983627271329169e-05,4.7385913148900727e-07,-1.3415972262009745e-06,1.91378148883814e-07
-0.00013925259372626897,-5.041957865614677e-05,-1.7062665847333847e-05,-2.652698640304152e-06,-4.334998698141135e-05,-2.1717802383136586e-05,-1.2811737633455778e-05,-8.692001392773818e-05,-3.946131982957013e-06,-1.0068742994917557e-07,2.3398934899887536e-05,0.00014836291484243702,5.220741149969399e-05,1.533020713395672e-05,3.5005373320018407e-06,4.456869010027731e-05,2.0693882106570527e-05,1.2987597983737942e-06,8.319313383253757e-05,-4.136806637689006e-06,-3.7506761145778e-06,-6.433086355173145e-06
-4.4701362639898434e-05,-1.1116959285573103e-05,-1.947085365827661e-06,5.198922508498072e-06,-1.5940098819555715e-05,-7.5507077781367116e-06,-3.826202856771488e-06,-2.2153046302264556e-05,6.54718292025791e-07,3.7986008010193473e-06,-8.441186764684971e-06,3.524810745147988e-05,1.9264438378741033e-05,6.373054930008948e-06,3.214024218323175e-06,1.026805693982169e-05,5.966502612864133e-06,-1.0354760888731107e-06,2.7667309041135013e-05,6.803138603572734e-07,2.027965251727437e-06,-3.6498837516774074e-06
-0.00015622224600519985,-6.0346413192746695e-05,3.4646263884496875e-06,1.9524765775713604e-05,-5.696845164493425e-05,-2.33435648624436e-05,5.426182724477258e-06,-8.511499345331686e-05,-6.246319571800996e-06,-1.1126222148050147e-05,-1.8683786038309336e-05,0.00012038130716973683,5.6523671446484514e-05,3.469917737675132e-05,2.783480340440292e-05,2.958684842724324e-05,1.799010613012797e-05,2.2881097265781136e-05,9.03438740351703e-05,-5.287887574922934e-06,-6.318087258705418e-06,1.0015187399403658e-06
-8.618994979769923e-05,-3.062534142372897e-05,-8.995812322609709e-06,8.722065558686154e-07,-2.7363228582544252e-05,-1.2887899629276944e-05,-2.725236072365078e-07,-5.437072832137346e-05,-2.318724227734492e-06,-8.392615882257815e-07,8.32676118989184e-06,7.53830790927168e-05,3.078827649005689e-05,1.704001897451235e-05,8.821877031550684e-06,1.8443085537001025e-05,1.0429040557369262e-05,1.3672030036104843e-05,4.473300032259431e-05,-5.4401320994657e-06,-2.492333806003444e-07,1.0434600881126244e-06
-2.9732247639913112e-05,-1.0969795766868629e-05,-2.518236215109937e-07,3.746738457266474e-06,-1.6251607576123206e-05,-6.752182656555306e-06,1.571190750837559e-07,-1.9000337488250807e-05,-4.70345025860297e-06,-2.438252977299271e-06,6.922413888332812e-06,2.757863694569096e-05,1.4035651929589221e-05,7.978922212714679e-06,6.838744297965604e-06,9.968697668227833e-06,3.4226150091853924e-06,4.434592483448796e-06,2.082570154016139e-05,-8.0904312653729e-06,-6.317523002508096e-06,-1.4021793504070956e-06
