Fp1,F7,T7,P7,O1,C3,Fp2,F8,T8,P8,O2,C4,P4,Cpz
-4.553719918476418e-06,-1.4061412912269589e-05,-9.868630513665266e-06,-4.83430380882055e-06,-3.902991934978672e-06,-7.101998221514805e-06,3.710900273290463e-06,1.7946502339327708e-05,1.0629131338646403e-05,5.002778834750643e-06,3.132456470211764e-06,3.528107271222325e-06,1.9406193132454064e-06,-1.5674392557230021e-06
2.596415129119123e-06,-8.957810860010795e-05,-4.055634963151533e-05,-1.5399269614135846e-05,-8.01333430899831e-06,-2.69534766630386e-05,3.9538363125757314e-05,0.00010536154877627268,3.3105661714216694e-05,4.1913754103006795e-06,-5.028975010645809e-06,1.2762431140345143e-05,-6.64694653096376e-07,-1.1361590622982476e-05
3.764481516554952e-05,-9.256595512852073e-05,-5.895960748603102e-05,-3.740222291526152e-05,-2.3552644620394858e-05,-3.2082703910418786e-05,6.476972566815675e-05,0.0001258657721336931,3.705397671183164e-05,-9.100869647227228e-06,-1.885706910798035e-05,2.278544161526952e-05,-6.003020416756044e-06,-9.595638402970508e-06
2.0216467419231776e-05,-6.631257383560296e-05,-4.069559872732498e-05,-2.3270641122508096e-05,-8.631310834061878e-06,-2.1069804972739803e-05,4.0079124801195576e-05,6.840524656581692e-05,2.283742378494935e-05,5.288185889185115e-06,-2.8524573281174526e-07,8.439366638413048e-06,4.995342806068948e-07,-5.5001733016979415e-06
3.566444263469748e-06,-9.47631565395568e-06,-1.436740990357066e-05,-1.630181725431612e-05,-1.0924036359938327e-05,-2.8686581572401337e-06,7.992945256773965e-06,1.5517793883645936e-05,1.4542907592840493e-05,8.031282845877286e-06,-1.7848614106696914e-06,8.570719273848226e-06,-1.6075210851340671e-06,-8.914719273889204e-07
2.8415978704288136e-05,-8.451228131889366e-05,-2.845161725417711e-05,-1.872018037829548e-05,3.933146217605099e-07,-1.5585254118377634e-05,3.3267043818341335e-05,3.4718595088634174e-05,1.5390972293971572e-05,6.162259523989633e-06,1.4705598914588336e-05,4.358934347692411e-06,5.438084372144658e-06,4.418544449436013e-06
7.949287578412623e-06,-3.7507045817619655e-05,-3.0211783268896397e-05,-1.8473237560101552e-05,-8.922094593799557e-06,-1.3766592473984929e-05,2.6298098873667186e-05,6.019565807946492e-05,1.7610744635021547e-05,-8.930164767662063e-07,-5.2471896196948364e-06,8.175746643246384e-06,-8.405562397229005e-07,-4.368020427136798e-06
-8.13171936897561e-06,-1.481755589338718e-05,-7.704023119003978e-06,-1.0099430255650077e-05,-7.2219836511067115e-06,-4.6543937060050666e-07,3.764234861591831e-07,3.0943818273954093e-05,1.0718051271396689e-05,-3.104865868408524e-06,-7.93944082033704e-06,1.187154168746929e-05,1.0130302143807057e-06,4.561594323604368e-06
-3.765933797694743e-05,-6.005913564877119e-05,-3.0132304345897865e-05,-2.177286114601884e-05,-3.834731160168303e-06,-1.5253137917170534e-05,-1.1926966635655845e-05,9.252880590793211e-05,3.867338227792061e-05,1.0688289762583736e-05,3.0342205263877986e-06,2.2465342453870107e-05,9.403109061167925e-06,3.845324727080879e-06
3.229099183954531e-05,-9.089213563129306e-06,-1.930577855091542e-05,-2.1018873439970776e-05,-1.2146361825671192e-05,-8.56184669828508e-06,3.598237071855692e-05,4.395083669805899e-05,6.686896085739136e-07,-1.2486464584071655e-05,-1.3335794960767089e-05,1.6228464119194541e-06,-1.1248879445702187e-05,-7.322523288166849e-06
-9.330046850664075e-06,-2.344779932172969e-05,-1.7449435290473048e-05,-1.5042387971675453e-05,-6.937156058484106e-06,-7.169619038904784e-06,6.086873838739848e-06,4.5129956561140716e-05,1.079983303498011e-05,3.4787001368385972e-06,-2.4248779482149985e-06,1.1215728591196239e-05,4.343675186646578e-06,7.46560431252874e-07
-1.0790041415020823e-05,-5.7610384828876704e-05,-2.5572585400368553e-05,-5.8885868838842725e-06,4.402938429848291e-06,-1.049180809786776e-05,5.239377060206607e-06,5.044630597694777e-05,2.0823055820073932e-05,6.258436769712716e-06,2.232123733847402e-06,1.3415973626251798e-05,5.5426935432478786e-06,1.992505531234201e-06
4.37346161561436e-05,-7.172885352701996e-05,-4.6809989271423547e-05,-2.5534723079090327e-05,-2.2847440050099976e-05,-2.583655259513762e-05,7.000936147960601e-05,0.00011054584683733992,1.8543908936408116e-05,-1.350340130557015e-05,-1.8408924006507732e-05,7.606008466609637e-06,-1.0523754497171467e-05,-1.5246105249389075e-05
-5.011481334804557e-06,-2.0694617717254005e-05,-2.1712980924348813e-05,-1.1719640497176442e-05,2.6503608410166635e-06,-9.153538940154249e-06,-3.2339039535145275e-07,1.2253597105882363e-05,1.4534927231579786e-05,1.5581535535602598e-05,6.419222700060345e-06,6.322150170490204e-06,9.185884437101777e-06,1.6679706789091142e-06
3.015373522430309e-06,-9.880546713247895e-06,-1.7527638192404993e-05,-1.9501291717460845e-05,-8.819224376566126e-06,-6.69535359065776e-06,6.374704753397964e-06,1.4288030797615647e-05,1.3028912462687003e-05,7.686379234428387e-06,-1.0378244041930884e-08,9.415286058356287e-06,5.2719681207236135e-06,3.3537764920765767e-06
-2.374384928316431e-05,-3.92401284443622e-05,-2.2537909899256192e-05,-2.4002026748348726e-05,-3.5967500480182935e-06,-9.776257684279699e-06,-1.1802888820966473e-05,4.8286261517205276e-05,4.307510607759468e-05,1.1275544238742441e-05,5.529662303160876e-06,1.558241456223186e-05,1.211994094774127e-05,-1.1691190593410283e-06
-9.376004527439363e-06,-4.581043549478636e-05,-1.6727615275158314e-05,7.932035259727854e-07,9.346232445750502e-06,6.795660283387406e-07,-1.349259946437087e-06,3.706579150275502e-06,-1.8662990441953298e-06,3.505565246086917e-06,1.0912017614828073e-05,1.3225361271906877e-05,1.0577060265859473e-05,2.238402896637126e-05
-7.615199137944728e-09,-1.4016746035849792e-05,-1.2536660506157205e-05,-1.2543172090317967e-05,-5.243799819254491e-06,-4.768724167547589e-06,2.2831977730675135e-06,1.2712592706520809e-05,1.491002240072703e-05,8.489751735396567e-06,1.4493894013867248e-06,4.9506102222096615e-06,2.199225718868547e-06,2.1219279915385414e-06
8.490585742038093e-06,-1.7547788957017474e-05,-9.60211605161021e-06,-8.116964295368234e-06,-5.313385855743036e-06,-5.863946626050165e-06,1.2665450867643813e-05,2.6047215214930475e-05,4.7610556066501886e-06,-2.2844388354315015e-06,-3.5960970308224205e-06,4.441791247700166e-06,-1.0389810540800681e-06,-3.042379191242617e-06
-4.384543615287839e-06,-2.445571226417087e-05,-1.3438386304187588e-05,-4.9703858167049475e-06,1.1621805242612027e-06,-9.179606649922789e-06,1.4798079064348713e-06,2.5216284484486096e-05,1.1657719369395636e-05,6.208029731169518e-06,3.6978383377572754e-06,3.3826217986643314e-06,4.9141851832246175e-06,-1.290035243073362e-06
-7.604963229823625e-06,-2.202321593358647e-05,-6.053902325220406e-06,1.4822035154793411e-08,2.4683428136995644e-06,2.6618572519510053e-06,-1.9854633137583733e-06,9.4219358288683e-06,-1.987723408092279e-07,-1.1863776308018714e-06,2.2949163849261822e-06,7.724742317805067e-06,4.6053688151914685e-06,9.86070949693385e-06
3.1242748832482903e-06,-7.768176146782935e-06,-6.987102096900344e-06,-6.7873870079893095e-06,-1.8557050225354033e-06,-5.732147656090092e-06,7.304736300284276e-06,1.1523814464453608e-05,4.327921942604007e-06,2.3644755628993153e-06,1.3755545751337195e-06,1.1995457498414908e-06,1.4740098919219236e-06,-3.563815127449743e-06
-1.2284176591492724e-06,-2.1967470274830703e-05,-1.0450558875163551e-05,-3.441970875428524e-06,-2.188901817135047e-06,-9.151779522653669e-06,9.5186342150555e-06,2.7159935598319862e-05,7.873037930039573e-06,5.055828296463005e-06,-1.1276352722688898e-06,3.099428340647137e-06,4.737021299661137e-07,-3.623831162258284e-06
1.647408316785004e-05,-2.1357444893510547e-05,-1.814852976167458e-05,-2.0201092411298305e-05,-1.7197379634126264e-05,-1.106167792386259e-05,3.0227856541387155e-05,5.332525233825436e-05,1.9723325749509968e-05,-3.4204767871415243e-06,-1.3459954516292783e-05,5.496360699908109e-06,-9.695678500065696e-06,-1.0704642818382126e-05
1.1804815585492179e-05,-2.0995583099647774e-05,-1.4565549008693779e-05,-1.473537486162968e-05,-1.1173177881573793e-05,-1.3760366982751293e-05,2.423136083962163e-05,5.26222720509395e-05,1.5276988960977178e-05,-6.078551678001531e-06,-8.784207693679491e-06,2.9079044452373637e-06,-5.991166545982196e-06,-1.0759367114587803e-05
1.8039101064459828e-05,-1.0427027973491931e-05,-1.1169468507432612e-05,-1.031236638482369e-05,-8.605575658293674e-06,-3.943004259099325e-06,1.8740769576197636e-05,1.9729691757675027e-05,2.6072448235936463e-06,-4.430768626662029e-06,-8.524702252543648e-06,2.7197688723390456e-06,-4.2611559365468565e-06,-1.625057848286815e-07
-1.9457654843790806e-05,-2.7666808364301687e-05,-1.6956495073827682e-05,-9.648690138419624e-06,-1.359465386485681e-06,-6.541153084071993e-06,-3.756499609153252e-06,3.548987388057867e-05,1.4899476809659973e-05,8.981435428268014e-06,1.8576153024696396e-06,1.3943423709861236e-05,7.406968393297575e-06,2.8079778573442127e-06
4.3233353608229663e-07,-1.722336128295865e-05,-1.2493733265728224e-05,-7.019169515842805e-06,6.557426104336628e-07,-4.1652402273939515e-06,2.5120370992226526e-06,1.4808374544372782e-05,5.0847179409174714e-06,1.6430399227829184e-06,1.3581411621998996e-06,6.51717277833086e-06,3.800583158408699e-06,4.0893592654356326e-06
-1.9069420886808075e-07,-1.1597967386478558e-05,-7.340428055613302e-06,-1.3167600343422237e-06,-3.505745780785219e-06,-3.907572761363554e-06,3.031418827958987e-06,2.0692978068836965e-05,5.6282813147845445e-06,1.955946345333359e-06,-3.0032183531147894e-06,1.820220859372057e-06,-7.636713235115167e-07,-1.5027887911855942e-06
2.775637858576374e-05,-2.6640006126399385e-05,-2.4154548100341344e-05,-1.8109394659404643e-05,-1.4061125511943828e-05,-1.4952276615076698e-05,4.3801486754091457e-05,4.9193786253454164e-05,8.407063205595477e-06,-8.755115914027556e-06,-1.2428357422322733e-05,4.5952358220802125e-06,-6.225266076853586e-06,-8.427858801951515e-06
-5.831298949487973e-06,-3.2272032754576685e-05,-2.0660688505813596e-05,-9.934966911373522e-06,1.1050848911509092e-06,-9.598314477443637e-06,6.2818369883643754e-06,4.1952033399184074e-05,7.640051535418024e-06,8.227785656345077e-06,3.0418467531490023e-06,6.494286594715959e-06,4.26977663892103e-06,-7.153985279728658e-07
-1.7678431660783644e-05,-2.208423529737047e-05,-1.4707352988807543e-05,-4.41946070850463e-06,2.6185502974840347e-06,-8.584133013300743e-06,-6.9886855271761306e-06,3.411285570109612e-05,1.3125551049597561e-05,9.071011845662724e-06,6.048314389772713e-06,6.534302883665077e-06,3.932444542442681e-06,-9.807331480260473e-07
