Fp1,F7,T7,P7,O1,F3,C3,P3,Fp2,F8,T8,P8,O2,F4,P4,Cpz
-5.5680644436506554e-05,-0.00010414375356049277,-4.937231460644398e-05,8.576358823120245e-07,1.9076642274740152e-05,-2.396688978478778e-05,-1.1080549995767797e-05,1.210026221087901e-05,-1.0684845051400771e-05,4.370309216028545e-05,3.184644447173923e-05,3.3164014894282445e-05,3.0568054171453696e-05,2.3734445676382165e-05,3.068901060032658e-05,2.9189388442318887e-05
-2.0729867287627712e-05,-4.411440568219405e-05,-1.8186231159234012e-05,-2.989246922879829e-06,4.223456471663667e-06,-3.4319346013944596e-06,4.129078661208041e-07,5.495711889125232e-06,-4.162498470350329e-06,2.2319283743854612e-05,1.104697093978757e-05,9.24793448575656e-06,9.708864126878325e-06,1.4276299225457478e-05,1.1465609190963733e-05,5.417141892394284e-06
-2.069064657916897e-05,-5.9057515500171576e-05,-2.9963561246404424e-05,8.41271503304597e-06,2.465152556396788e-05,-2.556847994128475e-05,-2.3261834030563477e-05,-3.873141849908279e-06,3.382191607670393e-06,2.9667900889762677e-05,2.003795361815719e-05,1.9020528952751192e-05,2.0207355987622577e-05,9.493045581621118e-06,7.086020843871665e-06,2.0455941466934746e-05
-1.1602365702856332e-05,-4.1199024963134434e-05,-2.818183702402166e-05,-6.183734512887895e-06,1.6371614037780091e-06,-4.4377866288414225e-06,-6.859137641868074e-06,-4.605528374668211e-06,-3.6927413020748645e-06,3.396031024749391e-05,2.2785358112287213e-05,1.3155024134903215e-05,5.56179293198511e-06,1.7410734471923206e-05,7.65830191085115e-06,4.593473931890912e-06
1.1010150046786293e-05,-3.598226766143853e-05,-2.760144434432732e-05,-1.2541280412392553e-05,-6.48572404315928e-06,-2.77575372820138e-06,-1.0437471246405039e-05,-7.066216312523466e-06,3.0432284802373033e-05,3.1087815841601696e-05,9.926407074090093e-06,5.016220143261307e-06,1.0422188552183798e-06,1.429624541060548e-05,2.2132808226160705e-06,-2.1344665128708584e-06
-0.0001838484349718783,-9.550863978802226e-05,1.7742614545568358e-05,4.347262438386679e-05,4.493093365454115e-05,-4.0859041291696485e-05,1.2411897387210047e-05,3.089664141953108e-05,-0.0001296134214499034,5.1745199016295373e-05,5.5611113566556014e-05,5.1277193051646464e-05,4.357806119514862e-05,2.2544631519849645e-05,3.743567140190862e-05,3.818295499513624e-05
-9.62906051427126e-06,-3.360243351835379e-05,-2.5800036382861435e-06,3.546289008227177e-06,-1.7940192265086807e-06,-3.873147761623841e-06,-5.069659891887568e-07,7.475731763406657e-06,-3.189896233379841e-06,1.4040638234291691e-05,9.290931757277576e-06,4.223163159622345e-06,-5.229376256465912e-07,8.493589575664373e-06,9.532025160297053e-06,-9.039022188517265e-07
-1.4300830571301049e-05,-3.2495872801519e-05,-2.688022732399986e-05,-7.432296342813061e-06,1.0670432857295964e-06,-1.1229262554479646e-05,-8.766736755205784e-06,-3.3276708109042374e-06,4.893520326731959e-06,3.0156149477988947e-05,2.374346104261349e-05,1.1552174328244291e-05,4.318048922868911e-06,1.8312729821445828e-05,7.425744115607813e-06,2.964024133689236e-06
-4.2161512283200864e-05,-2.999549724336248e-05,-6.462812962126918e-06,3.705004019138869e-06,1.1000235531355429e-05,-9.542266070639016e-06,5.169958967599086e-07,4.689906745625194e-06,-3.5285807825857773e-05,1.3399864371876902e-05,1.928817209773115e-05,2.0628289348678663e-05,1.4403845625565737e-05,9.979385595215717e-06,1.216279338223103e-05,1.3673402804670332e-05
-8.793218967184657e-06,-1.998919469770044e-05,-1.172143743133347e-05,-9.41780427865524e-07,1.718984776744037e-06,-8.35980017654947e-06,-7.875505843912833e-06,-2.8866738830402028e-06,1.8958580767503008e-06,1.7233902099178522e-05,1.46721461078414e-05,8.090323206033645e-06,3.0734121878595033e-06,9.739392339724873e-06,3.3319580552415573e-06,8.116334129226743e-07
