F7,T7,P7,O1,TP9,Fz,Cz,Fp2,F8,T8,P8,O2,TP10,Pz,Cpz
-3.510731767164543e-05,-4.8148995119845495e-06,2.520108182579861e-06,5.94928394548333e-06,5.493120625033043e-08,-1.2001673610484431e-05,-1.3183003375161206e-05,9.762298759596888e-06,3.6483932490227744e-05,1.0011471090365376e-05,3.1410800147568807e-06,2.0777438294317108e-06,6.566642809957557e-06,-4.572074544739735e-06,-6.88852378516458e-06
-6.136662273092952e-05,-1.2907751170132542e-05,-6.678322847619711e-06,-1.193178252378857e-05,-1.0927787116088439e-05,5.8703988088382175e-06,1.4513082362554997e-05,-3.6932588045601733e-06,5.806266926811077e-05,-4.084211980170949e-06,9.722926733957138e-06,-8.544661795895081e-07,7.90224282809504e-06,4.384353360364912e-06,1.1988531696260907e-05
-2.5348004328407114e-05,-2.2800234546593856e-05,-6.233605745364912e-06,6.555353820658638e-06,-1.1665880379041482e-05,-6.392561317625223e-06,3.626682882895693e-07,-2.9466673368006013e-06,2.4110478079819586e-05,3.940735950891394e-05,1.902594704006333e-07,-4.51434925707872e-06,2.623759428388439e-06,4.227906117648672e-06,2.423516207272769e-06
-7.802633263054304e-05,-2.4081977244350128e-05,5.000121149123515e-06,2.0591845895978622e-05,6.814591415604809e-06,-2.8841110406574444e-05,-1.9605376564868493e-05,-2.7429327928985003e-05,5.517956924450118e-05,2.6981766950484598e-05,1.7878945413940528e-05,2.8443957787338547e-05,2.5245347956115438e-05,4.093678711569737e-07,-8.561389222450089e-06
-4.018608433398185e-05,-4.739562518807361e-05,-2.5860338610073086e-05,-9.018935543281259e-06,-4.2506611862336285e-05,3.116165171945795e-05,-3.0795578140896396e-06,0.00010866363572858972,0.00010753421520348638,-3.406280848139431e-05,-1.5721212093922077e-05,-6.355498953780625e-06,-1.6344230743925436e-05,-3.4960796142513573e-06,-3.3325150070595555e-06
-2.3213149688672274e-05,4.366693246993236e-07,-3.2488038641531602e-06,-3.178677957293985e-06,-8.940361340137315e-07,1.0170885161642218e-05,-4.978952347300947e-06,2.154728622372204e-05,3.611010561144212e-05,-1.1659472875180654e-05,-7.1160388870339375e-06,-9.350849268230377e-07,-2.07683024200378e-06,-4.8545307578251595e-06,-6.109367276962985e-06
-5.6688080803724006e-05,-2.564643909863662e-05,-1.3574613490163756e-05,-5.494254310178803e-06,-1.674141276453156e-05,-1.0770763765322044e-06,-6.140205982774205e-06,2.093939519909327e-05,5.629120823869016e-05,1.4061592310099513e-05,9.95637995515608e-06,1.2786424122168683e-05,1.4320280797619489e-05,1.0989560905727558e-07,-3.103091444245365e-06
-0.00012564695134642534,-9.958092050510459e-06,-7.165415809140541e-06,-7.442471883223334e-07,-5.336786671250593e-06,-6.6827997216023505e-06,-6.329492407530779e-06,-8.126703960442683e-06,0.00010217401541012805,2.722619319683872e-05,1.8205005744675873e-05,3.487506546662189e-06,2.2313461158773862e-05,-3.959221430704929e-07,-3.0197733167369734e-06
-0.00014677968283649534,-3.3284946766798384e-05,-1.0413677955511957e-06,6.452997013184358e-06,-4.163370022070012e-06,-1.1913969501620159e-05,-7.066396619848092e-06,7.3178368893422885e-06,0.00013354211841942742,3.9185872083180584e-05,1.0083989081977052e-05,2.996333250848693e-06,1.7216317473867093e-05,-5.0017777084576664e-06,-7.5439593274495564e-06
-6.600232700293418e-05,-4.394956386022386e-05,-1.0592850230750628e-05,4.814964995603077e-06,-2.6542732484813314e-05,9.336336916021537e-06,1.5697004073444987e-05,1.843890640884638e-05,3.623016891651787e-05,3.6249234653951135e-06,8.6970812844811e-06,1.0343279654989601e-05,-3.7390918805613182e-06,2.2504746084450744e-05,2.1139140244486043e-05
-7.100101743162668e-05,-6.0173212659719866e-05,-5.330872045306023e-05,-3.350409815539024e-05,-4.8229376261588186e-05,-1.810747926356271e-05,-8.298134503093024e-06,6.05705668021983e-06,4.440636075742077e-05,6.445421968237497e-05,6.587899588339496e-05,3.4789510664268164e-05,7.411089518427616e-05,1.8563939079285774e-06,1.0685980669222772e-06
-6.156932158773998e-05,-2.939401747426018e-05,-1.2336528016021475e-05,-2.4130144993250724e-06,-1.4806993249294464e-05,5.66966946280445e-06,-8.36329900266719e-06,3.6276685023040045e-05,6.551219848915935e-05,1.7096962665164028e-05,5.756322934757918e-06,-1.3956764632894192e-06,1.12714835722727e-05,-5.846104386364459e-06,-5.458364285004791e-06
-3.3792493923101574e-05,-3.874495178024517e-06,1.2124875411245739e-05,8.546219760319218e-06,1.2159496236563427e-05,-6.864976057840977e-06,8.747708989176317e-06,-1.4608075616706628e-05,2.037429658230394e-05,-2.1525834199564997e-05,3.0201249501260463e-06,1.8717480543273268e-07,2.919476173701696e-06,3.3141186577267945e-06,9.272384886571672e-06
-9.917832358041778e-05,-1.8807425021805102e-05,-2.5483222998445854e-07,7.275108828252996e-06,-1.1055658433178905e-06,-6.703260396534461e-06,6.4624950937286485e-06,-1.9190907551092096e-05,6.741148899891414e-05,2.763718021014938e-05,8.540322369299247e-06,4.580454458391614e-06,1.6417919596278807e-05,9.555160431773402e-07,5.95983237872133e-06
-0.00011479874228825793,-3.167037448292831e-05,-1.1363347539372626e-05,-4.3369875015741854e-06,-1.3434579408055924e-05,-6.8535905484168325e-06,2.660613461102912e-06,1.6158539324351295e-06,8.429575245827436e-05,4.868791620538104e-05,9.526309213470086e-06,2.3432503439835273e-06,2.1836303858435713e-05,7.081805961206555e-06,4.4098181888330146e-06
-2.6589683329802938e-05,-1.8389448996458668e-05,-2.3491857064072974e-06,-1.4975232716096798e-06,-4.23245592173771e-06,7.357111826422624e-07,-9.24382834455173e-06,2.5272211132687517e-05,3.926892168237828e-05,1.203284193707077e-05,9.84842358775495e-07,-8.811873158265371e-06,6.149200771687902e-06,-6.8336198637553025e-06,-6.496108426290448e-06
-7.808627651684219e-05,-3.478161056591489e-05,-8.232009975017718e-06,-1.1824336628940557e-05,-1.4747691523098183e-05,1.9654737116070464e-05,9.438689630769659e-06,3.287635263404809e-05,9.038172265718458e-05,1.715613962005591e-05,-6.977933594498609e-06,-1.6256855360552436e-05,-7.477581220882712e-06,2.544102244428359e-07,8.62224078446161e-06
-3.326331125208526e-05,-1.5456786286449642e-05,-7.670135708792714e-06,-2.090225962092518e-06,-7.714389994362136e-06,1.0773822396004107e-05,-1.7724780718708644e-06,3.6338940844871104e-05,5.249808054941241e-05,-8.930021976993885e-06,-2.238792149000801e-06,-6.09641574556008e-06,-9.688878890301567e-06,-2.192083229601849e-06,-2.4973260224214755e-06
-6.421593570848927e-05,-2.9458408107529976e-05,-8.53898791319807e-06,-5.590700311586261e-07,-1.5200792859104695e-05,9.275430102206883e-06,9.164559742202982e-07,3.63658182322979e-05,8.53833466294418e-05,-8.31314355309587e-06,-2.9678374176000943e-06,-3.1670315365772694e-06,3.144845095448545e-07,-7.899279808043502e-07,9.555942597216927e-07
