Fp1,F7,T7,P7,O1,Fp2,F8,T8,P8,O2,Cpz
-8.2231497799512e-05,-6.370249229803449e-05,7.232556527014822e-07,1.6685873561073095e-05,3.308571831439622e-05,-6.2657438320457e-05,1.3294414202391636e-05,3.0951459052630526e-05,3.734722827175574e-05,4.3136639760632534e-05,3.336684767418774e-05
-2.6501329557504505e-06,-4.575890488922596e-05,-3.108270220764098e-05,-1.3630782177642686e-05,-5.628297458315501e-06,2.400799530732911e-05,6.031474367773626e-05,1.5951155546645168e-05,2.9814825666107936e-06,4.8422680265503e-06,-9.34682634579076e-06
-8.885275383363478e-05,-0.00011944756988668814,-1.7395826944266446e-05,2.102048392771394e-05,4.206056837574579e-05,-5.149241769686341e-05,3.874160893246881e-05,3.951259895984549e-05,3.892552922479808e-05,6.181027856655419e-05,3.5117506172355206e-05
-4.4072257878724486e-06,-2.205921191489324e-05,-2.454052992106881e-05,-3.037418264284497e-05,-1.7697413568384945e-05,1.9162042917741928e-05,6.333213423204143e-05,2.462322936480632e-05,2.041606876446167e-06,7.0918899197636165e-06,-1.7172335901705083e-05
-1.674891791481059e-05,-2.8865756576124113e-05,-9.404915545019321e-06,-2.7679543563863263e-06,-9.004752428154461e-07,2.835440682247281e-08,2.660205791471526e-05,8.132521998049924e-06,6.721224963257555e-06,5.963199328107294e-06,1.1240656476729782e-05
1.0486034511814069e-05,-2.7740478799387347e-05,-1.9452424567134585e-05,-3.093092982453527e-05,-3.0736647204321343e-05,4.174365494691301e-05,6.77730276947841e-05,2.3689328372711316e-05,-6.303987674982636e-06,-1.7648246739554452e-05,-1.0879329863655585e-05
-1.007128958008252e-05,-7.23809839655587e-05,-4.03728483888699e-05,-1.5365052149718395e-05,-8.801969670457765e-06,4.0763619836070575e-05,8.861910828272812e-05,3.0237626560847275e-05,4.990985871700104e-06,1.3521857908926904e-06,-1.89713759937149e-05
-7.092138912412338e-05,-9.55392815740197e-05,-1.351253069969971e-05,7.894053965173953e-06,3.1195419978757855e-05,-3.413265949347988e-05,2.8939474304934265e-05,3.7732519558630884e-05,3.5882478186977096e-05,6.298967127804644e-05,9.472237707086606e-06
-1.9428958694334142e-05,-3.959373316320125e-05,-1.3094954283587867e-05,2.243098151666345e-06,3.8741181924706325e-06,5.41683220944833e-07,3.696573094202904e-05,1.0593612387310714e-05,5.540525307878852e-06,1.968870492419228e-06,1.0390010629635071e-05
-5.6045503697532695e-05,-6.968934030737728e-05,-1.6942907222983195e-05,7.4112631409661844e-06,1.8654901680292824e-05,-2.5894230930134654e-05,2.1967168379433133e-05,2.9050881039438536e-05,3.002022663167736e-05,3.5071225283900276e-05,2.6396313842269592e-05
-1.1653297406155616e-05,-3.3549522413522936e-05,-1.224000152433291e-05,-7.652692147530615e-06,-8.89333023224026e-07,6.220445357030258e-06,2.6975968467013445e-05,7.566973181383219e-06,7.23279663361609e-06,3.4708296539065486e-06,1.4517832823912613e-05
-8.387416528421454e-06,-4.518919342899608e-05,-2.524653700675117e-05,-4.5157993326938595e-06,-1.3337845985006425e-05,8.097269414975017e-06,5.116998727316968e-05,3.398559192646644e-05,1.1532503776834346e-05,-1.2756518117384985e-05,4.647954483516514e-06
1.0915515076703741e-05,-1.476332522543089e-05,-2.9862148494430585e-05,-1.4312125813376042e-05,-1.3523222150979564e-05,1.7456909517932218e-05,2.514962397981435e-05,2.3608853553014342e-05,1.000261249828327e-05,-7.44537516084165e-07,-1.3928155340181547e-05
1.9967481819094246e-06,-1.652128514706419e-05,-1.247428872375167e-05,-3.984288696301519e-06,-1.0013527571572922e-06,2.3199942006613128e-05,3.451976408541668e-05,6.228885922610061e-07,-5.68607390505349e-06,-5.429182692751056e-06,-1.5242872450471623e-05
-8.998167231766274e-06,-4.663306572183501e-05,-1.1790269127232023e-05,-4.84414522361476e-06,-1.205207809107378e-07,1.1149031706736423e-05,3.08933958876878e-05,1.3495756036263629e-05,7.450851398971281e-06,4.484119756398286e-06,4.9130176194012165e-06
-1.1946400263695978e-05,-4.487108799366979e-05,-2.2419658080252702e-05,-1.6898241938179126e-05,-9.331322416983312e-06,1.529944347566925e-05,6.268803372222465e-05,2.319458826605114e-05,7.90265403338708e-06,-1.2990349205210805e-06,-2.318969677617133e-06
-2.9476541158146574e-05,-6.05027762503596e-05,-3.029652543773409e-05,-1.923048591834231e-05,-1.0447122349432902e-05,1.5617105361798167e-05,5.9749159845523536e-05,3.611062584241154e-05,2.1076734583402867e-05,8.370898285647854e-06,9.028924978338182e-06
-1.4576386092812754e-05,-3.707188443513587e-05,-2.0821438937446146e-05,-1.1195817933185026e-05,-6.220089744601864e-06,8.299091632579803e-06,4.614185672835447e-05,1.7930443391378503e-05,9.459851639803674e-06,4.603900805477679e-06,3.450476484090359e-06
-3.232589469348568e-05,-5.213601434661541e-05,-1.5291100680769887e-05,5.412821110439836e-06,7.035875910332834e-06,-6.360554834827781e-06,5.23932212672662e-05,2.578845275280628e-05,1.2663893357967027e-05,1.0417967359899194e-05,-7.5986685033058166e-06
-7.214242941699922e-06,-5.195024823478889e-05,-1.938219384101103e-05,-1.2468198292481247e-05,-7.789650794620684e-06,2.708642296056496e-05,5.7431554296272225e-05,1.694291586318286e-05,3.5014363675145432e-06,-6.449572538258508e-07,-5.5128421081462875e-06
-8.086839443421923e-06,-8.04118171799928e-05,-3.633534288383089e-05,-1.0144682164536789e-05,-7.5967492421114e-06,4.584419912134763e-05,7.823220221325755e-05,2.8157637643744238e-05,9.265042535844259e-06,2.0973711798433214e-06,-2.1021019165345933e-05
-1.7081320947909262e-05,-6.321691580524202e-05,-2.6712029011832783e-05,-3.6669398468802683e-06,-1.4356191968545318e-07,2.679079125300632e-05,3.819635787749576e-05,2.065218814095715e-05,6.895022124808747e-06,2.7052174118580297e-06,1.558119356559473e-05
2.0519726604106836e-05,-2.3134190996643156e-05,-3.961652964790119e-05,-2.905374458350707e-05,-2.4914166601774923e-05,4.880500091530848e-05,7.736461884633172e-05,6.870838660688605e-06,-9.571153213983052e-06,-1.4925680602573266e-05,-1.234471756106359e-05
-2.4931796360760927e-07,-5.106209937366657e-05,-2.6695889914662985e-05,-2.31989524763776e-05,-1.619627641957777e-05,3.3428112146793865e-05,6.502085207671371e-05,2.5153191927529406e-05,1.858832092693774e-06,-6.387345820257906e-06,-1.6711114767531399e-06
-2.3658717509533744e-06,-3.574127094907453e-05,-1.1394620287319412e-05,-5.65566506338655e-06,-9.493778634350747e-07,2.053852449535043e-05,3.825434578175191e-05,9.31179147301009e-06,2.777944700937951e-07,-8.755955605010968e-07,-1.1400054745536181e-05
0.0001059837595676072,-1.0800491509144194e-05,-5.5051139497663826e-05,-5.769692961621331e-05,-5.479472201841418e-05,0.00014383394955075346,9.1124337814108e-05,-1.508612149336841e-05,-4.0693719711271115e-05,-4.712022200692445e-05,-5.9698699033106095e-05
6.770742402295582e-06,-3.702963726937014e-05,-2.5172008463414386e-05,-1.3276877098178375e-05,-9.595150913810357e-06,3.105028281424893e-05,4.0820479625836015e-05,1.1086926519965346e-05,1.7417399362784636e-06,-3.326643877699098e-06,-3.0698558930453146e-06
