Cz,F7,F8,Fp1,Fp2,O1,O2,P7,P8,T7,T8,Cpz
-1.6054846128099598e-06,-3.701136120071169e-05,3.936512348445831e-05,5.677604633547162e-06,3.49059018844855e-05,-7.66207028846111e-06,-8.563429219066165e-06,-6.415461939468514e-06,8.25736606202554e-07,-2.0456053334783064e-05,1.4292280638983357e-05,-1.3352787391340826e-05
4.821113179787062e-07,-9.29244197322987e-05,5.964846786810085e-05,-4.8993715608958155e-05,4.225963493809104e-06,1.9657809389173053e-05,2.9353630452533253e-05,8.87304122443311e-06,3.64471297871205e-05,-2.7181853511137888e-05,3.186121846709966e-05,-2.144938025594456e-05
7.273702067323029e-06,-0.00010756598567240871,0.00010235361696686596,-6.221466264832998e-05,2.4244782252935693e-06,1.5985077510549672e-05,1.2395225667205523e-05,6.7585524448077194e-06,1.663879459101736e-05,-1.9452833839750383e-05,3.8609845432802103e-05,-1.3205818731876207e-05
-1.888419774331851e-05,-5.654584674630314e-05,6.567502350662835e-05,-6.010504876030609e-06,3.634304812294431e-05,-1.954226263478631e-06,8.361719665117562e-06,-6.690701638945029e-06,1.039782819134416e-05,-2.528913682908751e-05,1.949091711139772e-05,-2.489390863047447e-05
3.883092858814052e-06,-8.122480721795e-05,7.548077155661304e-05,-2.817153057321775e-05,2.5555422780598747e-05,4.883292831436847e-06,1.1856723631353816e-05,-9.778267099136428e-06,1.6950617919064825e-05,-3.586652110243449e-05,2.9446755434037186e-05,-1.3015547665418126e-05
4.124067345401272e-07,-2.378502904321067e-05,2.0903613403788768e-05,-8.080397492449265e-06,9.700968803372234e-06,6.494528292932955e-07,1.2018959068882396e-05,-9.842530744208489e-06,1.7540751144906608e-05,-1.8794657535181614e-05,1.806310547181056e-05,-1.878664102150651e-05
5.530441057999269e-06,-2.5137549528153613e-05,3.859307980746962e-05,8.159925528161693e-06,2.9649574855739047e-05,-1.0924770549536333e-05,-7.70530192539809e-06,-1.8212528630101588e-05,-3.376103450136725e-06,-2.539397064538207e-05,1.3956077054899652e-05,-5.138876531418646e-06
8.198376349355385e-06,-3.4726639569271356e-05,4.477781476452947e-05,1.5239202639349969e-05,3.893520261044614e-05,-1.4681152379125706e-05,-1.0848030115084839e-05,-2.0185633047731244e-05,-3.0772140462431707e-06,-2.7629214713442707e-05,1.2448230087613865e-05,-8.450941777482512e-06
1.2786144225174212e-05,-3.387985816516448e-05,5.139703080203617e-05,3.456776812527096e-05,7.01105127518531e-05,-2.185583252867218e-05,-1.2025510386592941e-05,-3.4304494874959346e-05,-1.3050912457401864e-05,-3.872685101669049e-05,-5.328151928551961e-07,-1.4485183783108369e-05
6.445063263527118e-06,-9.37830118346028e-05,9.767505980562419e-05,-3.88632088288432e-05,2.9421873477986082e-05,-2.557471773911857e-06,1.637901095818961e-05,-1.606203477422241e-05,2.1072144477329857e-05,-3.755968464247417e-05,3.489262053335551e-05,-1.7060352547559887e-05
6.72335636409116e-06,-5.991066063870676e-05,5.90267991356086e-05,-4.6628040763607714e-05,6.213304004631937e-08,7.782353009133658e-06,9.695886774352402e-06,2.713791218411643e-06,1.5660586086596595e-05,-1.3156276509107556e-05,2.5659583570813993e-05,-7.629514954032857e-06
