Fp1,F7,T7,P7,O1,F3,C3,P3,FT9,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,TP9,TP10,Cpz
-4.6070235839579254e-05,-4.3490752432262525e-05,6.57420969218947e-07,9.397816938871983e-06,1.352476567717531e-05,-1.9135811271553393e-05,5.911576863582013e-07,8.523681913175096e-06,-2.410071283520665e-05,-2.106253896272392e-05,1.0379383525105368e-05,2.0004899056402792e-05,1.715422604320338e-05,9.806992011363036e-06,-3.7482249126696843e-07,6.190244675963186e-06,1.1124413731522509e-05,1.3771599242318189e-05,4.089831520559528e-06,1.608482079973328e-05,1.2933616744703613e-05
-5.307331412041094e-05,-5.057616908743512e-05,1.8964001355925575e-06,8.704353547273058e-06,1.3172744729672559e-05,-1.7584618490218418e-05,4.150386871515366e-06,1.010226833386696e-05,-2.7430734007793944e-05,-1.749842158460524e-05,2.1048917915322818e-05,8.868374152370961e-06,9.842460485742777e-06,1.176860405394109e-05,7.734456971775217e-06,1.0651945103745675e-05,1.1405644727346953e-05,1.691371062406688e-05,2.4413864139205543e-06,1.160769090802205e-05,1.58539087351528e-05
-3.2240263408311876e-05,-2.7595278879744e-05,1.055158099916298e-05,7.556775585726427e-06,6.436020839828416e-06,-1.1450318424977013e-05,9.086804908520207e-07,1.5662744488054159e-06,-1.6023573152779136e-06,-1.5351838783317362e-05,1.4817921055509942e-05,9.013271764501951e-07,3.425337013140961e-06,4.507377411755442e-06,8.720931958805522e-07,5.125330062583089e-07,1.6731446521589532e-06,1.787783810414112e-05,9.388870239490643e-06,8.519594530298491e-06,-1.2753116607200354e-06
-1.3177006167097716e-05,-2.5899906177073717e-05,-2.800647052936256e-06,-5.629544830298983e-07,-1.375246029056143e-06,-5.698984068658319e-06,2.3703087208559737e-06,4.308313691581134e-06,-2.0840546312683728e-05,1.5609375623171218e-06,1.904217924675322e-05,7.67238566368178e-06,2.1518135611131584e-06,6.950905117264483e-06,1.2957782928424422e-05,9.00145869309199e-06,2.4117275643220637e-06,3.5659058994497173e-06,-8.185363412849256e-06,4.6707873480045237e-07,6.0798552112828474e-06
-1.0908272088272497e-05,-1.2474787126848241e-05,-1.6298607988574076e-05,-1.2882814644399332e-05,-1.1083952546897535e-05,-1.1621550356721855e-05,-1.0062110504804878e-05,-1.1857077993226994e-05,-1.0174622730119154e-05,-1.8396408449916635e-06,2.8131771614425816e-05,3.875372749462258e-05,1.0797876711876597e-05,-2.377701093791984e-06,7.976164056344714e-06,9.983426934923045e-06,1.1661231837933883e-06,1.8155677935283165e-05,-8.552153644814098e-06,8.717720788808947e-06,-3.5491952985466924e-06
-1.531146745037404e-05,-3.423702764848713e-05,-5.780329956905916e-06,-3.194711325704702e-06,-4.697011490861769e-06,-7.62736067372316e-06,6.594107162527507e-07,1.5093132788024377e-07,-3.055330853385385e-05,6.08087202635943e-06,2.1909104361839127e-05,1.980126080525224e-05,4.14250226299373e-06,8.159477147273719e-07,1.370793779642554e-05,9.636344657337759e-06,6.916153452607432e-06,1.6146363577718148e-05,-7.694437044847291e-06,5.838349807163468e-06,3.2904741829042905e-06
-9.893570677377284e-06,-4.620345862349495e-05,-8.672827789268922e-06,-9.223595043295063e-07,2.6353845044013724e-06,-1.2286715445952723e-05,-5.252386017673416e-06,-2.9609332727886795e-06,-3.27534444295452e-05,8.517927085449628e-06,3.83299047825858e-05,1.5050954971229658e-05,8.906818493414903e-06,6.99280963090132e-06,8.008314125618199e-06,1.4452020877797622e-06,2.695687726372853e-07,2.0998894797230605e-05,-3.80553149170737e-06,9.685604709375184e-06,1.9098424672847614e-06
-1.0274326996295713e-05,-4.5861108674216666e-05,-2.0720709926536074e-05,-8.220313929996337e-06,-1.1476088843664911e-06,-1.4536188018610119e-05,-8.063912218858604e-06,-5.652464153627079e-06,-3.20617300531012e-05,1.049179263645783e-05,4.0915772387961624e-05,2.013633093156386e-05,1.0273527891513368e-05,7.3839486915971975e-06,1.475251428928459e-05,7.980128884810256e-06,6.239221193027333e-06,2.581477110652486e-05,-9.224254888806627e-06,1.1639257650131185e-05,1.3535304788092617e-07
-1.0849536920432001e-05,-2.923338433902245e-05,6.886800747452071e-06,1.7702459444990382e-06,-2.0534844225039706e-06,-1.231454916705843e-05,-8.152661621352308e-06,-5.559767487284262e-06,-5.24276947544422e-06,1.5934995190036716e-05,2.9907174393883906e-05,1.2831110325350892e-06,1.4431980162044056e-06,-3.763925633393228e-07,1.7056117940228432e-06,-6.1285134052013746e-06,-5.1699707910302095e-06,2.3045407033350784e-05,2.650292003636423e-06,6.022753041179385e-06,-5.568558663071599e-06
2.677707016118802e-07,-3.762179312616354e-05,-1.713141261916462e-05,-2.6240533088639495e-06,9.776320666787797e-06,-3.82513144359109e-06,1.5490750229218975e-06,2.198193783442548e-06,-3.291440887664976e-05,1.9984396203653887e-05,1.6708007365195954e-05,2.851066255971091e-06,2.1814344108861405e-07,5.92546712141484e-06,1.5342804999818327e-05,6.978951660130406e-06,5.891597993468167e-06,8.811045745460433e-06,-8.520398068867507e-06,1.303506905969698e-06,4.830846592085436e-06
