# ts,saccadeRate
2.504765569795765145e+02,4.000000000000000222e-01
2.554765569795765145e+02,1.000000000000000000e+00
2.604765569795765145e+02,1.600000000000000089e+00
2.654765569795765145e+02,2.000000000000000111e-01
2.704765569795765145e+02,1.000000000000000000e+00
2.754765569795765145e+02,1.199999999999999956e+00
2.804765569795765145e+02,1.600000000000000089e+00
2.854765569795765145e+02,1.600000000000000089e+00
2.904765569795765145e+02,2.000000000000000000e+00
2.954765569795765145e+02,6.000000000000000888e-01
3.004765569795765145e+02,1.399999999999999911e+00
3.054765569795765145e+02,6.000000000000000888e-01
3.104765569795765145e+02,4.000000000000000222e-01
3.154765569795765145e+02,1.000000000000000000e+00
3.204765569795765145e+02,2.000000000000000000e+00
3.254765569795765145e+02,2.000000000000000000e+00
3.304765569795765145e+02,2.200000000000000178e+00
3.354765569795765145e+02,2.200000000000000178e+00
3.404765569795765145e+02,1.199999999999999956e+00
3.454765569795765145e+02,4.000000000000000222e-01
3.504765569795765145e+02,1.000000000000000000e+00
3.554765569795765145e+02,1.000000000000000000e+00
3.604765569795765145e+02,1.399999999999999911e+00
3.654765569795765145e+02,6.000000000000000888e-01
3.704765569795765145e+02,1.600000000000000089e+00
3.754765569795765145e+02,6.000000000000000888e-01
3.804765569795765145e+02,1.800000000000000044e+00
3.854765569795765145e+02,1.800000000000000044e+00
3.904765569795765145e+02,2.200000000000000178e+00
3.954765569795765145e+02,1.600000000000000089e+00
4.004765569795765145e+02,3.400000000000000355e+00
4.054765569795765145e+02,2.000000000000000000e+00
4.104765569795765145e+02,1.199999999999999956e+00
4.154765569795765145e+02,1.000000000000000000e+00
4.204765569795765145e+02,1.399999999999999911e+00
4.254765569795765145e+02,6.000000000000000888e-01
4.304765569795765145e+02,1.000000000000000000e+00
4.354765569795765145e+02,6.000000000000000888e-01
4.404765569795765145e+02,2.000000000000000000e+00
4.454765569795765145e+02,2.000000000000000111e-01
4.504765569795765145e+02,1.399999999999999911e+00
4.554765569795765145e+02,1.600000000000000089e+00
4.604765569795765145e+02,2.000000000000000000e+00
4.654765569795765145e+02,1.799999999999999822e+00
4.704765569795765145e+02,2.599999999999999645e+00
4.754765569795765145e+02,2.400000000000000355e+00
4.804765569795765145e+02,2.200000000000000178e+00
4.854765569795765145e+02,1.399999999999999911e+00
4.904765569795765145e+02,2.200000000000000178e+00
4.954765569795765145e+02,3.200000000000000178e+00
5.004765569795765145e+02,1.199999999999999956e+00
5.054765569795765145e+02,2.000000000000000000e+00
5.104765569795765714e+02,2.400000000000000355e+00
5.154765569795765714e+02,3.000000000000000000e+00
5.204765569795765714e+02,3.200000000000000178e+00
5.254765569795765714e+02,2.200000000000000178e+00
5.304765569795765714e+02,3.000000000000000000e+00
5.354765569795765714e+02,2.200000000000000178e+00
5.404765569795765714e+02,2.600000000000000089e+00
5.454765569795765714e+02,1.799999999999999822e+00
5.504765569795765714e+02,4.400000000000000355e+00
5.554765569795765714e+02,1.799999999999999822e+00
5.604765569795765714e+02,2.000000000000000000e+00
5.654765569795765714e+02,4.000000000000000000e+00
5.704765569795765714e+02,2.599999999999999645e+00
5.754765569795765714e+02,3.400000000000000355e+00
5.804765569795765714e+02,1.800000000000000044e+00
5.854765569795765714e+02,4.200000000000000178e+00
5.904765569795765714e+02,1.399999999999999911e+00
5.954765569795765714e+02,3.000000000000000000e+00
6.004765569795765714e+02,2.000000000000000000e+00
6.054765569795765714e+02,1.399999999999999911e+00
6.104765569795765714e+02,3.799999999999999822e+00
6.154765569795765714e+02,3.399999999999999911e+00
6.204765569795765714e+02,2.200000000000000178e+00
6.254765569795765714e+02,2.799999999999999822e+00
6.304765569795765714e+02,3.600000000000000089e+00
6.354765569795765714e+02,3.000000000000000000e+00
6.404765569795765714e+02,1.399999999999999911e+00
6.454765569795765714e+02,3.200000000000000178e+00
6.504765569795765714e+02,3.600000000000000089e+00
6.554765569795765714e+02,2.000000000000000000e+00
6.604765569795765714e+02,4.400000000000000355e+00
6.654765569795765714e+02,3.799999999999999822e+00
6.704765569795765714e+02,2.799999999999999822e+00
6.754765569795765714e+02,1.600000000000000089e+00
6.804765569795765714e+02,2.599999999999999645e+00
6.854765569795765714e+02,1.600000000000000089e+00
6.904765569795765714e+02,2.399999999999999911e+00
6.954765569795765714e+02,1.399999999999999911e+00
7.004765569795765714e+02,2.399999999999999911e+00
7.054765569795765714e+02,2.200000000000000178e+00
7.104765569795765714e+02,2.599999999999999645e+00
7.154765569795765714e+02,1.799999999999999822e+00
7.204765569795765714e+02,2.600000000000000089e+00
7.254765569795765714e+02,1.600000000000000089e+00
7.304765569795765714e+02,3.399999999999999911e+00
7.354765569795765714e+02,2.399999999999999911e+00
7.404765569795765714e+02,2.399999999999999911e+00
7.454765569795765714e+02,1.399999999999999911e+00
7.504765569795765714e+02,2.200000000000000178e+00
7.554765569795765714e+02,5.400000000000000355e+00
7.604765569795765714e+02,3.600000000000000089e+00
7.654765569795765714e+02,3.600000000000000089e+00
7.704765569795765714e+02,2.800000000000000266e+00
7.754765569795765714e+02,2.000000000000000111e-01
7.804765569795765714e+02,2.200000000000000178e+00
7.854765569795765714e+02,2.599999999999999645e+00
7.904765569795765714e+02,3.200000000000000178e+00
7.954765569795765714e+02,3.800000000000000266e+00
8.004765569795765714e+02,3.000000000000000000e+00
8.054765569795765714e+02,2.400000000000000355e+00
8.104765569795765714e+02,2.200000000000000178e+00
8.154765569795765714e+02,2.600000000000000089e+00
8.204765569795765714e+02,2.799999999999999822e+00
8.254765569795765714e+02,2.200000000000000178e+00
8.304765569795765714e+02,2.000000000000000000e+00
8.354765569795765714e+02,1.800000000000000044e+00
8.404765569795765714e+02,3.000000000000000000e+00
8.454765569795765714e+02,3.000000000000000000e+00
8.504765569795765714e+02,2.799999999999999822e+00
8.554765569795765714e+02,2.799999999999999822e+00
8.604765569795765714e+02,3.599999999999999645e+00
8.654765569795765714e+02,3.200000000000000178e+00
8.704765569795765714e+02,3.399999999999999911e+00
8.754765569795765714e+02,3.400000000000000355e+00
8.804765569795765714e+02,1.200000000000000178e+00
8.854765569795765714e+02,2.600000000000000089e+00
8.904765569795765714e+02,3.000000000000000000e+00
8.954765569795765714e+02,2.000000000000000000e+00
9.004765569795765714e+02,2.000000000000000000e+00
9.054765569795765714e+02,1.399999999999999911e+00
9.104765569795765714e+02,1.199999999999999956e+00
9.154765569795765714e+02,4.000000000000000222e-01
9.204765569795765714e+02,4.000000000000000222e-01
9.254765569795765714e+02,4.000000000000000222e-01
9.304765569795765714e+02,0.000000000000000000e+00
9.354765569795765714e+02,1.000000000000000000e+00
9.404765569795765714e+02,8.000000000000000444e-01
9.454765569795765714e+02,8.000000000000000444e-01
9.504765569795765714e+02,2.599999999999999645e+00
9.554765569795765714e+02,1.600000000000000089e+00
9.604765569795765714e+02,2.600000000000000089e+00
9.654765569795765714e+02,2.400000000000000355e+00
9.704765569795765714e+02,2.399999999999999911e+00
9.754765569795765714e+02,2.599999999999999645e+00
9.804765569795765714e+02,2.599999999999999645e+00
9.854765569795765714e+02,1.799999999999999822e+00
9.904765569795765714e+02,5.999999999999999778e-01
9.954765569795765714e+02,2.000000000000000000e+00
1.000476556979576571e+03,1.600000000000000089e+00
1.005476556979576571e+03,1.600000000000000089e+00
1.010476556979576571e+03,8.000000000000000444e-01
1.015476556979576571e+03,1.399999999999999911e+00
1.020476556979576571e+03,2.000000000000000000e+00
1.025476556979576571e+03,8.000000000000000444e-01
1.030476556979576571e+03,2.600000000000000089e+00
1.035476556979576571e+03,4.200000000000000178e+00
1.040476556979576571e+03,2.200000000000000178e+00
1.045476556979576571e+03,2.200000000000000178e+00
1.050476556979576571e+03,1.399999999999999911e+00
1.055476556979576571e+03,1.799999999999999822e+00
