# ts,pupil
2.504765569795765145e+02,3.326225263505748764e+00
2.554765569795765145e+02,3.428713526636023801e+00
2.604765569795765145e+02,3.423456690059963226e+00
2.654765569795765145e+02,3.462399565095044984e+00
2.704765569795765145e+02,3.412139841698311749e+00
2.754765569795765145e+02,3.573707465345402401e+00
2.804765569795765145e+02,3.488305397293911536e+00
2.854765569795765145e+02,3.900366268412497117e+00
2.904765569795765145e+02,3.584283011241633954e+00
2.954765569795765145e+02,3.498264418672347276e+00
3.004765569795765145e+02,3.373015126778084127e+00
3.054765569795765145e+02,3.515900068137302270e+00
3.104765569795765145e+02,3.492829820989072687e+00
3.154765569795765145e+02,3.496667405513521842e+00
3.204765569795765145e+02,3.521188205679812722e+00
3.254765569795765145e+02,3.354737244340681546e+00
3.304765569795765145e+02,3.510170663484620590e+00
3.354765569795765145e+02,3.323340211953748735e+00
3.404765569795765145e+02,3.331212632214715974e+00
3.454765569795765145e+02,3.347886525132735880e+00
3.504765569795765145e+02,3.501031099774076782e+00
3.554765569795765145e+02,3.425824769446204510e+00
3.604765569795765145e+02,3.217050967945576545e+00
3.654765569795765145e+02,3.196285295445640440e+00
3.704765569795765145e+02,3.330759896667572661e+00
3.754765569795765145e+02,3.334231828886137006e+00
3.804765569795765145e+02,3.364888628638155410e+00
3.854765569795765145e+02,3.372790733662081486e+00
3.904765569795765145e+02,3.633359345518793582e+00
3.954765569795765145e+02,3.417279624327325571e+00
4.004765569795765145e+02,3.379591784729345072e+00
4.054765569795765145e+02,3.752856561677884617e+00
4.104765569795765145e+02,nan
4.154765569795765145e+02,nan
4.204765569795765145e+02,nan
4.254765569795765145e+02,nan
4.304765569795765145e+02,nan
4.354765569795765145e+02,nan
4.404765569795765145e+02,nan
4.454765569795765145e+02,3.531947663521187497e+00
4.504765569795765145e+02,3.940617915293715523e+00
4.554765569795765145e+02,4.003943195927684329e+00
4.604765569795765145e+02,nan
4.654765569795765145e+02,3.739831709658694159e+00
4.704765569795765145e+02,3.570209922637068267e+00
4.754765569795765145e+02,3.904220336230278754e+00
4.804765569795765145e+02,3.724037735516624981e+00
