# ts,pupil
1.024736179719815709e+03,2.377552969182317621e+00
1.029736179719815709e+03,2.437381100750318996e+00
1.034736179719815709e+03,2.436137236928529681e+00
1.039736179719815709e+03,2.379440106528845966e+00
1.044736179719815709e+03,2.366762654048479853e+00
1.049736179719815709e+03,2.315719783350236316e+00
1.054736179719815709e+03,2.315118051961595480e+00
1.059736179719815709e+03,2.312491150772950199e+00
1.064736179719815709e+03,2.383306247896878727e+00
1.069736179719815709e+03,2.271909507104923787e+00
1.074736179719815709e+03,2.273436388327084057e+00
1.079736179719815709e+03,2.321566497713900556e+00
1.084736179719815709e+03,2.313750436804868027e+00
1.089736179719815709e+03,2.184804179283598824e+00
1.094736179719815709e+03,2.241571377524769648e+00
1.099736179719815709e+03,2.350145805653631292e+00
1.104736179719815709e+03,2.252232247466586124e+00
1.109736179719815709e+03,2.362746229782924257e+00
1.114736179719815709e+03,2.726368749159415739e+00
1.119736179719815709e+03,2.471076978393427659e+00
1.124736179719815709e+03,2.474115712873405926e+00
1.129736179719815709e+03,2.329292358708290323e+00
1.134736179719815709e+03,2.350300625119471576e+00
1.139736179719815709e+03,2.375413581749304726e+00
1.144736179719815709e+03,2.225693181578763280e+00
1.149736179719815709e+03,2.171160425351437606e+00
1.154736179719815709e+03,2.396696574893780518e+00
1.159736179719815709e+03,2.543552022235812338e+00
1.164736179719815709e+03,2.396711583541994095e+00
1.169736179719815709e+03,2.327940699856325679e+00
1.174736179719815709e+03,2.357930239850976495e+00
1.179736179719815709e+03,2.378354716107790701e+00
1.184736179719815709e+03,2.279748220757373378e+00
1.189736179719815709e+03,2.215576531932883952e+00
1.194736179719815709e+03,2.326688701654882063e+00
1.199736179719815709e+03,2.370898455915932068e+00
1.204736179719815709e+03,2.255516232884369643e+00
1.209736179719815709e+03,2.178535595492379073e+00
1.214736179719815709e+03,2.213102497088977216e+00
1.219736179719815709e+03,2.240084897773838346e+00
1.224736179719815709e+03,2.245668395105342441e+00
1.229736179719815709e+03,2.438404279907763872e+00
1.234736179719815709e+03,2.770623906286147964e+00
1.239736179719815709e+03,2.810275164286099248e+00
1.244736179719815709e+03,2.614399126617231062e+00
1.249736179719815709e+03,2.595286051801187988e+00
1.254736179719815709e+03,2.615401476594072072e+00
1.259736179719815709e+03,2.571051118757207821e+00
1.264736179719815709e+03,2.736040928205146106e+00
1.269736179719815709e+03,2.489397422119003611e+00
1.274736179719815709e+03,2.374744218851845279e+00
1.279736179719815709e+03,2.321018088620276920e+00
1.284736179719815709e+03,2.321437092348890285e+00
1.289736179719815709e+03,2.316824596115016455e+00
1.294736179719815709e+03,2.239082124420940900e+00
1.299736179719815709e+03,2.259333582174126498e+00
1.304736179719815709e+03,2.299620196918779502e+00
1.309736179719815709e+03,2.279986851789940872e+00
1.314736179719815709e+03,2.184505405223911012e+00
1.319736179719815709e+03,2.475857624436548221e+00
1.324736179719815709e+03,2.558178387707163548e+00
1.329736179719815709e+03,2.543020374507900971e+00
1.334736179719815709e+03,2.621684502820945895e+00
1.339736179719815709e+03,2.646429222866973685e+00
1.344736179719815709e+03,2.414892483366065434e+00
1.349736179719815709e+03,2.466096290132558710e+00
1.354736179719815709e+03,2.460394698575874006e+00
1.359736179719815709e+03,2.538408168420278166e+00
1.364736179719815709e+03,2.383132933594435343e+00
1.369736179719815709e+03,2.325332285510901542e+00
1.374736179719815709e+03,2.361529087995614784e+00
1.379736179719815709e+03,2.448248243847208183e+00
1.384736179719815709e+03,2.483279796348456969e+00
1.389736179719815709e+03,2.361001513602453361e+00
1.394736179719815709e+03,2.306019387947814359e+00
1.399736179719815709e+03,2.385698551081525842e+00
1.404736179719815709e+03,2.380960673674206607e+00
1.409736179719815709e+03,2.416300589953705558e+00
1.414736179719815709e+03,nan
1.419736179719815709e+03,nan
1.424736179719815709e+03,nan
1.429736179719815709e+03,nan
1.434736179719815709e+03,2.375977851257552675e+00
1.439736179719815709e+03,2.768905079073210374e+00
1.444736179719815709e+03,nan
1.449736179719815709e+03,2.482986879022309967e+00
1.454736179719815709e+03,2.706838315018954777e+00
1.459736179719815709e+03,2.782108806508573284e+00
1.464736179719815709e+03,nan
1.469736179719815709e+03,nan
1.474736179719815709e+03,2.785821369183253626e+00
1.479736179719815709e+03,2.851971768746379254e+00
1.484736179719815709e+03,2.720518798564671936e+00
1.489736179719815709e+03,2.963678446483532181e+00
1.494736179719815709e+03,2.658527268577545843e+00
1.499736179719815709e+03,2.710944450530332617e+00
1.504736179719815709e+03,2.775311920266504639e+00
1.509736179719815709e+03,2.814393148734432692e+00
1.514736179719815709e+03,2.571544085586223272e+00
1.519736179719815709e+03,2.684938927970810241e+00
1.524736179719815709e+03,2.548415025871626494e+00
1.529736179719815709e+03,nan
1.534736179719815709e+03,2.746220622907001196e+00
1.539736179719815709e+03,2.612314533175696063e+00
1.544736179719815709e+03,2.618661716720696475e+00
1.549736179719815709e+03,2.654956670694418985e+00
1.554736179719815709e+03,2.489314531044586332e+00
1.559736179719815709e+03,nan
1.564736179719815709e+03,2.408353237110592016e+00
1.569736179719815709e+03,2.741023976435416287e+00
1.574736179719815709e+03,2.703676136956474352e+00
1.579736179719815709e+03,2.560082623170040428e+00
1.584736179719815709e+03,2.785097103538362262e+00
1.589736179719815709e+03,2.860482953217617030e+00
1.594736179719815709e+03,2.487312750562335584e+00
1.599736179719815709e+03,2.762851417120961717e+00
1.604736179719815709e+03,2.796156429463534376e+00
1.609736179719815709e+03,2.715571193568621755e+00
1.614736179719815709e+03,2.662056195463054387e+00
1.619736179719815709e+03,2.641327321953489182e+00
1.624736179719815709e+03,2.811931890191295746e+00
1.629736179719815709e+03,2.462328580799594491e+00
1.634736179719815709e+03,2.388430741636240917e+00
1.639736179719815709e+03,2.483360890086422135e+00
1.644736179719815709e+03,2.521045697613371495e+00
1.649736179719815709e+03,2.497988039735838051e+00
1.654736179719815709e+03,2.362667668322257164e+00
1.659736179719815709e+03,nan
1.664736179719815709e+03,nan
1.669736179719815709e+03,nan
1.674736179719815709e+03,2.410831926843240769e+00
1.679736179719815709e+03,2.444243916041866083e+00
1.684736179719815709e+03,2.589526588369307714e+00
1.689736179719815709e+03,2.556879664462387680e+00
1.694736179719815709e+03,2.558260978909744132e+00
1.699736179719815709e+03,2.429216487901593613e+00
1.704736179719815709e+03,2.519985325658994135e+00
1.709736179719815709e+03,2.566610070120082465e+00
1.714736179719815709e+03,2.533237578189595940e+00
1.719736179719815709e+03,2.431110334172950527e+00
1.724736179719815709e+03,2.338102550186015982e+00
1.729736179719815709e+03,2.279180368727441230e+00
1.734736179719815709e+03,2.232145050538242970e+00
1.739736179719815709e+03,2.289050991965177140e+00
1.744736179719815709e+03,2.367170601521507489e+00
1.749736179719815709e+03,2.349156686550009976e+00
1.754736179719815709e+03,2.364419123291222391e+00
1.759736179719815709e+03,2.339871531477288435e+00
1.764736179719815709e+03,2.243670990481973160e+00
1.769736179719815709e+03,2.332047843759662786e+00
1.774736179719815709e+03,2.474562681334402825e+00
1.779736179719815709e+03,2.392832002748266351e+00
1.784736179719815709e+03,2.377032173828125927e+00
1.789736179719815709e+03,2.334323804619138354e+00
1.794736179719815709e+03,2.399528886724166643e+00
1.799736179719815709e+03,2.261448473539529491e+00
1.804736179719815709e+03,2.321158295488279677e+00
1.809736179719815709e+03,2.295396262950634814e+00
1.814736179719815709e+03,2.312489156422559144e+00
1.819736179719815709e+03,2.288297759979012191e+00
1.824736179719815709e+03,2.293415110123474321e+00
1.829736179719815709e+03,2.514967694763201145e+00
1.834736179719815709e+03,2.495521300405596499e+00
1.839736179719815709e+03,2.395293892165773819e+00
1.844736179719815709e+03,2.417382140674447122e+00
1.849736179719815709e+03,2.422893305642699335e+00
1.854736179719815709e+03,2.359883961302084110e+00
1.859736179719815709e+03,2.203057252778032549e+00
1.864736179719815709e+03,2.247235339976581425e+00
1.869736179719815709e+03,2.237710844824226886e+00
1.874736179719815709e+03,2.263867818059944081e+00
1.879736179719815709e+03,2.233568866564970445e+00
1.884736179719815709e+03,2.274984882598625191e+00
1.889736179719815709e+03,2.221437826294831108e+00
1.894736179719815709e+03,2.230860318157841249e+00
1.899736179719815709e+03,2.381978974291088846e+00
1.904736179719815709e+03,2.241840018183202332e+00
1.909736179719815709e+03,2.357023377170365031e+00
1.914736179719815709e+03,2.462723787703092082e+00
1.919736179719815709e+03,2.320783131139115607e+00
