,freqs,L1-L2_wake,L1-L2_REM,L1-L2_NREM,L2-L3_wake,L2-L3_REM,L2-L3_NREM,L3-L4_wake,L3-L4_REM,L3-L4_NREM,R1-R2_wake,R1-R2_REM,R1-R2_NREM,R2-R3_wake,R2-R3_REM,R2-R3_NREM,R3-R4_wake,R3-R4_REM,R3-R4_NREM,Fp1_wake,Fp1_REM,Fp1_NREM,Fp2_wake,Fp2_REM,Fp2_NREM,F7_wake,F7_REM,F7_NREM,F8_wake,F8_REM,F8_NREM,T7_wake,T7_REM,T7_NREM,P7_wake,P7_REM,P7_NREM,T8_wake,T8_REM,T8_NREM,P8_wake,P8_REM,P8_NREM,O1_wake,O1_REM,O1_NREM,O2_wake,O2_REM,O2_NREM
0,1.2000000000000002,2.3930534880921892e-12,2.470952874355481e-12,3.722779252647614e-12,4.7710305069258245e-12,4.687906122512787e-12,8.002152903515109e-12,1.887597188719176e-12,1.513344044949155e-12,1.8963676963324752e-12,8.735087202668967e-12,6.8313297613014246e-12,1.4180563477309016e-11,1.936652038594108e-11,1.9721266129420344e-11,5.4937904774925266e-11,1.417061968415996e-11,1.268697194609959e-11,2.501473823920702e-11,3.341915203808678e-11,2.7167381961262223e-11,5.3339620068059866e-11,3.034313498291411e-11,3.550224898709632e-11,6.426751341883475e-11,4.030098579794431e-11,3.5928069298359926e-11,5.950350795468654e-11,4.5294325160198785e-11,5.976620382344564e-11,9.569923516012169e-11,2.2732108774484067e-11,3.7592194553419026e-11,3.586792507545334e-11,4.296097034382545e-12,4.9284579529422154e-12,8.251066196706143e-12,4.404777793899651e-11,7.389380250685293e-11,8.298510378284314e-11,1.536251744836146e-11,2.5478193376862756e-11,3.293591489533085e-11,6.087157384030632e-12,8.170517380202969e-12,1.4167910392047772e-11,9.216910819874402e-12,1.7752609083292842e-11,2.2631335328973926e-11
1,1.6,1.3452242463911526e-12,1.252437773782485e-12,2.02869107871482e-12,2.6286015423877973e-12,2.7654723810351474e-12,3.6154217838373886e-12,9.376741565775956e-13,8.539028751403604e-13,6.499737682215411e-13,4.844639050698486e-12,3.641798112331194e-12,5.262142795431185e-12,9.562474204368968e-12,1.1756007053114659e-11,2.6960756210193234e-11,7.95895739969268e-12,7.602709376711197e-12,1.270108646165436e-11,1.7614946616768108e-11,1.7601650046772028e-11,3.271338356299832e-11,1.790837114496774e-11,2.1555819184435574e-11,3.758218763296365e-11,2.261676617639849e-11,2.0781318913757778e-11,2.857368912413051e-11,2.5293395846613404e-11,3.239235283720782e-11,4.150963275534776e-11,1.3057289210430349e-11,1.9474261197450147e-11,2.0303405371127786e-11,3.066837378052951e-12,3.5561491604773878e-12,5.5288412807334005e-12,2.5248320030057604e-11,4.565807939644735e-11,4.1224062205178054e-11,1.0165269977902229e-11,1.7726896474781562e-11,1.8164190598444782e-11,4.064426724408317e-12,5.351107583214576e-12,8.296968571507267e-12,5.942921864158643e-12,1.0586565667127449e-11,1.2312293575721414e-11
2,2.0,8.372533506758674e-13,8.067869113262713e-13,1.3428125723655433e-12,1.3375411167233782e-12,1.278420975865729e-12,2.3296978405698377e-12,3.6377986335119476e-13,2.960490420941208e-13,2.851104776203987e-13,2.1584865921063577e-12,1.691240910296505e-12,2.8632427749409287e-12,4.703336104631277e-12,6.625859360339893e-12,1.552861789860052e-11,3.5373834964572763e-12,3.8003320151971344e-12,7.207960576885265e-12,1.1278059685683195e-11,1.2335942790505086e-11,1.988529562789413e-11,1.2274062677800393e-11,1.4345042526572657e-11,2.209371464335542e-11,9.419923157610269e-12,1.0112175095994345e-11,1.4785201237409382e-11,1.3567987569818523e-11,1.819662605817518e-11,2.0703373122180967e-11,8.454757204791672e-12,9.862551003333962e-12,1.0936112232528365e-11,2.2369036382528567e-12,2.5956250040772494e-12,3.771577595782938e-12,1.4547846861816476e-11,2.3468470233667307e-11,2.2051680817254614e-11,6.423603148775344e-12,9.804541643505056e-12,9.894594587915317e-12,3.0742051706944717e-12,4.0723768652491835e-12,5.526430431381489e-12,4.0892090827295856e-12,6.1324451556359145e-12,7.0923632929949085e-12
3,2.4000000000000004,6.337154404363036e-13,6.231100156686937e-13,1.0315347529660866e-12,1.0375884121423208e-12,1.0456073538948348e-12,1.812406571782418e-12,2.77713553761789e-13,2.394476699049427e-13,2.4871985278371927e-13,1.6059560127563057e-12,1.4794003770691795e-12,2.360010903394607e-12,3.4973823633998864e-12,4.85068869508871e-12,1.0111015918550769e-11,2.488867883989044e-12,2.8164472056990965e-12,5.229438155403433e-12,9.303485418682973e-12,9.720224281277074e-12,1.2876874837338727e-11,9.830827956716771e-12,1.0995713183661142e-11,1.442185752135359e-11,9.260077527809245e-12,9.40710696735628e-12,1.3151415135723904e-11,9.389261776072104e-12,1.2485530154170055e-11,1.4231394926095071e-11,6.250839906916185e-12,6.672217127082461e-12,7.299431632727574e-12,1.7940963090343759e-12,2.1105000833343548e-12,2.8471378498347714e-12,9.520735822275663e-12,1.4528138346712251e-11,1.4215732681885123e-11,4.316717408956871e-12,6.426108129874098e-12,6.219869221325652e-12,2.5968170890840313e-12,3.317241759131633e-12,4.091977768851874e-12,3.163562914119147e-12,4.997334420642801e-12,4.959334709407335e-12
4,2.8000000000000003,5.454816771673609e-13,5.718623598710548e-13,8.471444826687558e-13,8.895368879543265e-13,9.632632088274008e-13,1.4044602852273187e-12,2.3660819342878953e-13,1.8493904329767892e-13,1.8246848310278921e-13,1.2462448186613888e-12,1.257365850094788e-12,1.8927145483283897e-12,2.783014817464456e-12,4.0351451412214596e-12,7.23674172777804e-12,2.1121622629136956e-12,2.480294402172576e-12,4.3665288747217124e-12,7.592116317189913e-12,7.979272933549607e-12,9.04630646038206e-12,8.350879168239067e-12,9.048661367593398e-12,1.0139636658079138e-11,8.876063974953584e-12,8.219711090077813e-12,8.724674913934299e-12,8.379620195889962e-12,9.938632329703746e-12,1.0176163401229797e-11,4.790702017198503e-12,5.227969021387289e-12,5.6325455681194585e-12,1.5926245123594553e-12,1.8014465334383974e-12,2.2847220492219207e-12,7.44338522140562e-12,1.0704915740291176e-11,1.011442731777315e-11,3.4652939781426546e-12,4.711863095892768e-12,4.578142562695967e-12,2.193366573895e-12,2.6540658055257816e-12,3.2719954949973975e-12,2.6062046633109482e-12,3.662269168816112e-12,3.762797284406252e-12
5,3.2,5.05337984318134e-13,5.248544749636869e-13,7.5039151516131e-13,7.906487093786341e-13,8.587653960062461e-13,1.156314745197631e-12,1.7064934011587294e-13,1.0264726153238399e-13,1.3086515095318132e-13,9.35248114521308e-13,9.486281385346665e-13,1.6447620904423702e-12,2.2803679103451867e-12,3.421484434402398e-12,5.966126890353332e-12,1.7799729216703557e-12,2.2362353862462676e-12,3.984839153547065e-12,6.553459169148083e-12,6.9580594303424046e-12,7.092311851564734e-12,7.185027744570147e-12,7.816528951145648e-12,8.108894974879124e-12,5.842546056725589e-12,5.867463085510654e-12,6.1859136657183816e-12,7.389142511359608e-12,8.212014492767423e-12,8.345050955378737e-12,3.8323657655276755e-12,4.284079549920996e-12,4.574309061890371e-12,1.3421220531594712e-12,1.4783107256921062e-12,1.8311857214412682e-12,6.0756871732712134e-12,8.320829438478176e-12,7.89550448997408e-12,2.9612622533067877e-12,3.7705520506990814e-12,3.6197208212840974e-12,1.8332209560894895e-12,2.146772257929413e-12,2.6694548823614637e-12,2.1605035992473327e-12,2.6860245520055132e-12,3.0359854551025182e-12
6,3.6,4.622025705217808e-13,4.715756888664122e-13,7.068097610995642e-13,7.290423617330201e-13,7.868033045459076e-13,1.0612541883997434e-12,1.2495603516528857e-13,8.263130204132196e-14,1.185988934744057e-13,7.582399330483033e-13,7.802951283559712e-13,1.4316465981765887e-12,1.9055306613620134e-12,2.9192155855394935e-12,5.2113298093673916e-12,1.5446351934221192e-12,2.057243392081831e-12,3.819907882467451e-12,5.972245115111043e-12,6.054579288638332e-12,6.160982261000506e-12,6.725893240200135e-12,6.752946859789895e-12,6.978496874229639e-12,5.198778754112692e-12,5.514132294201803e-12,6.0222884690570014e-12,6.699374148851229e-12,7.104286134414242e-12,7.59713304487167e-12,3.4778737835904255e-12,3.5957201235163466e-12,3.986004046293503e-12,1.171904059332918e-12,1.2344457795911037e-12,1.574931747275805e-12,5.7113599601463165e-12,6.792735200679164e-12,6.899717414803815e-12,2.5550506147826522e-12,3.0672453939334582e-12,3.1057387572578072e-12,1.6273110704210352e-12,1.8168199094629994e-12,2.279893288507554e-12,1.8737235410277725e-12,2.2866152673844675e-12,2.5642001492245154e-12
7,4.0,4.055847147623905e-13,4.121770770443774e-13,6.139071832040317e-13,6.535048907653033e-13,6.699051043132526e-13,9.461942112993338e-13,1.0373421185517332e-13,7.133785392627823e-14,9.93340543035629e-14,6.318151404899392e-13,6.470689840178186e-13,1.1111973654569425e-12,1.5572550687592074e-12,2.303185768816295e-12,4.30028726471414e-12,1.326336223934693e-12,1.6880929442781338e-12,3.3593001185994183e-12,5.300833553952894e-12,5.315972548277086e-12,5.613657804898709e-12,6.212302710112556e-12,5.980245370275575e-12,6.296980678414135e-12,4.875899718903878e-12,4.9774704121633545e-12,5.226254068934118e-12,6.118393049183846e-12,6.229137639786651e-12,7.036096614073753e-12,3.0650304245075753e-12,2.9960377122585223e-12,3.4303089442571568e-12,1.0041641578162887e-12,9.761745106887235e-13,1.2878086599354307e-12,5.126670054433056e-12,5.741742950858705e-12,5.96692701310191e-12,2.3050188704363654e-12,2.6107946636945525e-12,2.7379400631490447e-12,1.4674969373390488e-12,1.4774591349615882e-12,1.9053251186558352e-12,1.794446650484101e-12,1.967198156631497e-12,2.2428329440703066e-12
8,4.4,3.3181054495399343e-13,3.1827744037269145e-13,4.66000909638493e-13,5.529981709288194e-13,5.287635265568191e-13,8.070011323925217e-13,8.730406460397427e-14,5.981384195456928e-14,7.66688557161567e-14,5.069143217803953e-13,5.133358544303348e-13,7.983741660621428e-13,1.2047373975373435e-12,1.6632577363743942e-12,3.2416005156340304e-12,1.0736639088385524e-12,1.2817343902373674e-12,2.6731449061124637e-12,4.923946538258982e-12,4.904221067187262e-12,4.9309752651601455e-12,5.611017814241818e-12,5.27131437818153e-12,5.6306696779533e-12,4.065347704387366e-12,4.0706610767274025e-12,4.242496652509809e-12,5.548542462643551e-12,5.2783122616622305e-12,6.2057694811966525e-12,2.578985349888148e-12,2.5425968194616484e-12,2.8484162431027584e-12,9.170036899899854e-13,8.833524860376751e-13,1.0145415403648533e-12,4.554586706514256e-12,4.762114479208267e-12,5.1728029176215336e-12,2.086860740934429e-12,2.240756666088216e-12,2.4684433859302736e-12,1.3418292265065543e-12,1.2910226518401707e-12,1.57217835461908e-12,1.6113805938179293e-12,1.621493878167801e-12,1.9896746336044044e-12
9,4.800000000000001,2.8284189049941124e-13,2.4907179193343074e-13,3.564766390916985e-13,4.948963724333098e-13,4.489973928538941e-13,7.653181826338133e-13,7.504474107747474e-14,5.226626432276063e-14,6.684218987431147e-14,4.571321913029751e-13,4.1826102375116787e-13,6.167970888213662e-13,9.650550329685397e-13,1.2386510045855118e-12,2.4106628211699475e-12,8.934448561350163e-13,1.0386668540992497e-12,2.1370176082428192e-12,5.642049948071552e-12,5.629373021473878e-12,4.742671841096587e-12,6.023090967243174e-12,5.903365275427314e-12,5.3983410625265526e-12,4.520837715390186e-12,4.547856580237809e-12,4.006018723366728e-12,5.699530263212262e-12,5.481243291105191e-12,5.6769907819348275e-12,2.676121753318691e-12,2.5946369307580715e-12,2.492538423199137e-12,1.0738436034288214e-12,1.0189485181342207e-12,8.844756566513828e-13,4.5414660968255896e-12,4.632091208730214e-12,4.656625796640548e-12,2.208628271169767e-12,2.348279567132923e-12,2.27352559994285e-12,1.5598670422868088e-12,1.45591970208821e-12,1.417078087195642e-12,1.8020145109389784e-12,1.7502334031345868e-12,1.8251457197483576e-12
