,freqs,L1-L2_wake,L1-L2_REM,L1-L2_NREM,L2-L3_wake,L2-L3_REM,L2-L3_NREM,L3-L4_wake,L3-L4_REM,L3-L4_NREM,R1-R2_wake,R1-R2_REM,R1-R2_NREM,R2-R3_wake,R2-R3_REM,R2-R3_NREM,R3-R4_wake,R3-R4_REM,R3-R4_NREM,F7_wake,F7_REM,F7_NREM,F8_wake,F8_REM,F8_NREM,T7_wake,T7_REM,T7_NREM,P7_wake,P7_REM,P7_NREM,T8_wake,T8_REM,T8_NREM,P8_wake,P8_REM,P8_NREM,O1_wake,O1_REM,O1_NREM,O2_wake,O2_REM,O2_NREM
0,1.2000000000000002,1.9471097075965187e-11,3.736605362480645e-11,6.596357791360811e-11,3.10583146414447e-11,3.850458499410308e-11,5.3591269202613944e-11,1.4134306333041697e-11,3.285164909493396e-11,3.536348796030048e-11,8.743963903650145e-12,9.772516208719446e-12,1.8485848462728185e-11,3.967044499512485e-11,4.654280723957829e-11,5.6859820025202026e-11,4.845434551028233e-11,5.98479772509436e-11,6.084391405453326e-11,4.0533198355959966e-11,2.7197540379629242e-11,8.373049553303294e-11,4.218297704034874e-11,2.1792794180676105e-11,9.345936839026497e-11,3.486721066035435e-11,2.4929694904224347e-11,8.244594127487801e-11,1.597148021990707e-11,1.4578604057598384e-11,5.308218090590801e-11,3.6360228931957636e-11,2.1064987912870087e-11,9.009144968705712e-11,2.1049256910441312e-11,1.635680957285044e-11,6.596264018095363e-11,1.458224294223459e-11,1.5098277293135114e-11,4.8833125666202646e-11,1.6070405725868268e-11,1.914499401993704e-11,5.865761811728234e-11
1,1.6,9.968391573986749e-12,1.0673319660832457e-11,2.3983147535887378e-11,1.7460762309852753e-11,1.0395972775787835e-11,2.339272856348488e-11,8.290268513392643e-12,1.0819684624576163e-11,1.5726641808820576e-11,4.7991377360425845e-12,3.0232757208904346e-12,7.53990156790849e-12,2.1520888765472654e-11,9.067624971599934e-12,1.8340965628758045e-11,2.6291660447217062e-11,1.0135489765115143e-11,2.016374874372383e-11,3.82133397678407e-11,1.685647138533439e-11,4.830115661136109e-11,3.688752266565586e-11,1.36885599527269e-11,5.5256241310637636e-11,3.55563646491321e-11,1.6503453646596633e-11,4.707828169096648e-11,1.3934265938186807e-11,1.0511858320748478e-11,3.081830544990946e-11,3.3981543050256496e-11,1.4797778384546072e-11,5.3547170735481056e-11,1.9132121966782378e-11,1.2459463028815963e-11,3.923359286621228e-11,1.1151320882364026e-11,1.1304420012778124e-11,2.835538073500021e-11,1.3460029159585196e-11,1.3969147887819108e-11,3.344276635651552e-11
2,2.0,5.601896068342571e-12,6.22299958757047e-12,1.1563438166271908e-11,9.009041900984446e-12,8.484026309234863e-12,1.2960934363960924e-11,5.264134536678233e-12,8.250900907288371e-12,8.882035365462367e-12,2.5380672492015505e-12,2.3100874188417276e-12,4.435591075529297e-12,5.278324172987754e-12,8.096482363454333e-12,8.395230209063335e-12,9.414141962958542e-12,9.58475277253051e-12,9.582947107485607e-12,2.4946891357989213e-11,1.1307631245371818e-11,2.6743730555418462e-11,2.733940699162519e-11,1.0897864145779883e-11,3.155955198925576e-11,2.410042432656518e-11,1.1782650909454882e-11,2.6176352629726837e-11,1.1089211402199143e-11,8.955340154804699e-12,1.8185443364592977e-11,2.3341366492517202e-11,1.1985509354551866e-11,3.1137960749222705e-11,1.3784979756357161e-11,1.0693416504499548e-11,2.315308470540174e-11,8.535515387169548e-12,9.445214887728043e-12,1.714087529966247e-11,1.0531242139480555e-11,1.1494828995032568e-11,1.9631674693981484e-11
3,2.4000000000000004,4.452586114813389e-12,4.029028898499896e-12,8.702789992293239e-12,8.291587492294822e-12,5.681018834726589e-12,9.992322470870446e-12,4.944381145845247e-12,5.831481957094002e-12,6.806835174622358e-12,2.1987662706042255e-12,1.6633729161365696e-12,3.4490051606021444e-12,5.151349202746845e-12,4.800453761454065e-12,7.476760788957556e-12,8.879650274303702e-12,6.351629320245805e-12,8.476863981330148e-12,1.626491766309936e-11,8.365659610346694e-12,1.8835065087016555e-11,1.9466505968522984e-11,8.948629126735801e-12,2.1707168033239295e-11,1.5831452323754963e-11,8.387236032663792e-12,1.816972292659988e-11,8.121794623139569e-12,7.304713985385228e-12,1.3329867221589816e-11,1.5712953872891894e-11,9.034600790106584e-12,2.1327804915470948e-11,1.0112539267076858e-11,8.355863889275999e-12,1.6450420338116262e-11,6.565851335202094e-12,7.799070513274353e-12,1.3008250104350594e-11,7.59819643442557e-12,8.841179681051282e-12,1.4613146514344548e-11
4,2.8000000000000003,3.689688007081269e-12,2.959806643238791e-12,6.717690320339765e-12,7.978230564359703e-12,4.372176537976691e-12,8.374495540734638e-12,4.097102752288801e-12,4.876064282734921e-12,5.664108223966482e-12,1.839294544715069e-12,1.3239761728125475e-12,2.80776132396641e-12,4.49607976753624e-12,3.072436965906863e-12,4.9850004078157514e-12,7.837245748193606e-12,4.421372909536646e-12,6.008801054018985e-12,1.2805614486652028e-11,7.487324276960656e-12,1.618851854469429e-11,1.4649498957148113e-11,8.153140884599523e-12,1.8022605271540613e-11,1.1998136725155458e-11,7.005874604710725e-12,1.5321774357428864e-11,6.310620465905043e-12,5.790655804462362e-12,1.1069291546166745e-11,1.3512294684287095e-11,7.819804382845433e-12,1.7450052681328317e-11,7.652342519375555e-12,6.798089251624205e-12,1.3542104814033283e-11,5.068700893847425e-12,6.401194754418218e-12,1.12113664625333e-11,5.958768252601241e-12,7.1824940313137476e-12,1.2397878721419998e-11
5,3.2,3.1472975437738054e-12,2.7577668089721753e-12,5.534966587740478e-12,8.140513541374005e-12,4.004423068008298e-12,7.971637871670434e-12,3.4646962111234154e-12,4.366579500254071e-12,5.3719487167785594e-12,1.6090255366946408e-12,1.2148229322884497e-12,2.392218208100041e-12,2.8430026637616264e-12,2.878082558104957e-12,3.789889851041106e-12,6.108205233273025e-12,3.974684574473283e-12,4.995316354940453e-12,9.76684366298033e-12,7.050388837157934e-12,1.4959821266525994e-11,1.0716001103504483e-11,7.926477399520267e-12,1.7060560493999675e-11,1.0634835061218215e-11,6.6235923782836354e-12,1.4054497656400883e-11,5.19785770284793e-12,4.935360847068256e-12,9.964920334642556e-12,1.0518351614459154e-11,7.515004551786383e-12,1.6254376337912736e-11,6.4285051550005335e-12,5.887076453815341e-12,1.2220369989904958e-11,3.979667874423418e-12,5.252713093411728e-12,9.95032317614765e-12,4.771097403159118e-12,5.76982888946424e-12,1.1056966508093833e-11
6,3.6,2.770873968090641e-12,2.3569963199146528e-12,4.8706279507174845e-12,9.15921744817355e-12,3.758808644546264e-12,8.588955765606873e-12,3.605181620460459e-12,4.253088592554482e-12,5.092232992506195e-12,1.5564602764601056e-12,1.0905959580578023e-12,2.125457323452806e-12,2.2380227983652744e-12,2.078565998370114e-12,3.509069333954071e-12,5.773337523445609e-12,3.2477881061154783e-12,5.110593506132533e-12,8.097460325897562e-12,6.9544259058956425e-12,1.4337340269611921e-11,9.670661472193045e-12,7.504795298394427e-12,1.609382379180565e-11,9.444456977359462e-12,6.860438844389824e-12,1.3693066371418428e-11,4.7540098909570404e-12,4.7945108538532e-12,8.874378731685719e-12,9.138411964596223e-12,7.295284205900719e-12,1.5199447535662106e-11,6.32192249283495e-12,5.4945338073127316e-12,1.1093456958860503e-11,3.7508662904959945e-12,4.6112938648278155e-12,8.586005050625512e-12,4.639961039402139e-12,5.088582111253247e-12,9.642362383145463e-12
7,4.0,2.4547448376238752e-12,2.3377346110653455e-12,4.160755065829434e-12,1.0245163142968196e-11,3.6326965087015326e-12,9.903545858716937e-12,3.948243390462978e-12,4.874721069823011e-12,5.091316340667431e-12,1.5573871522825628e-12,1.0304876451658645e-12,1.9525022668425788e-12,2.010098405164618e-12,1.7327218942861728e-12,3.1735255373144946e-12,6.165920010812624e-12,3.3030552170272325e-12,5.5564875237196065e-12,8.726311653860212e-12,6.637899007359106e-12,1.3845274232461026e-11,9.737704101634896e-12,7.446154309876416e-12,1.5268645839863404e-11,8.90596864731045e-12,6.890744271010205e-12,1.365498195829937e-11,4.923950591373905e-12,4.892271800241228e-12,8.343557995739483e-12,9.481168995636608e-12,7.648312862905675e-12,1.4299783553120538e-11,6.991121548997502e-12,5.697981060267168e-12,1.033948878276612e-11,3.918367963618832e-12,4.542551635878696e-12,7.594412476514825e-12,4.953517502040266e-12,5.011835149337978e-12,8.597393989081797e-12
8,4.4,2.3991994489876378e-12,2.307238404896211e-12,3.5319015204379757e-12,1.2245767890344393e-11,4.267247397218776e-12,1.122954267974207e-11,5.1947534615552546e-12,5.64083356714625e-12,5.6012973110607324e-12,1.681622204853494e-12,9.171878707668007e-13,1.804232349893807e-12,1.8134027355431438e-12,1.604015643398926e-12,2.9849314501284645e-12,7.127107418671446e-12,3.5119874951952334e-12,5.9620582244138815e-12,1.0965915337112797e-11,6.5403595471617365e-12,1.3289291896193635e-11,1.2881411757766362e-11,7.705507221976721e-12,1.4744591028744697e-11,1.0455890660625059e-11,7.230654266363178e-12,1.4014831250375282e-11,6.792890166598359e-12,5.046512148592626e-12,8.445521728247297e-12,1.2542330051157748e-11,8.041181385724363e-12,1.4391240729558783e-11,9.29394205946922e-12,6.250763499852315e-12,1.0398830595981687e-11,5.1473794005478366e-12,4.660979295649302e-12,7.206287277813838e-12,6.051080219640142e-12,5.31979503496986e-12,8.265809782819818e-12
9,4.800000000000001,2.7846499862870934e-12,2.0258434321525247e-12,3.1550218560617567e-12,1.35660154796401e-11,4.19163280761353e-12,1.0981326501538902e-11,5.806096224278101e-12,5.6387159621486115e-12,5.925808931974774e-12,1.8849450239016204e-12,7.443079137641374e-13,1.6059469281614242e-12,1.7433448414012621e-12,1.3810121916248664e-12,2.729164787663975e-12,7.031060886805646e-12,3.206068399808424e-12,5.684348584063262e-12,1.3481589990818657e-11,6.219576865921198e-12,1.2607763941791999e-11,1.6708762686028082e-11,7.616748717414704e-12,1.4017725505959824e-11,1.624478391067703e-11,7.340241574328708e-12,1.4137700112006332e-11,9.959099316190927e-12,5.462570795463583e-12,8.709721673039404e-12,1.805675782304838e-11,7.890550468523795e-12,1.4361575869138513e-11,1.3521543111880743e-11,6.402514600514689e-12,1.0691085553430378e-11,7.353668008950222e-12,4.648292210214449e-12,7.1700425185013095e-12,8.224491228872844e-12,5.350241970469037e-12,8.226457385982512e-12
