,freqs,L1-L2_wake,L1-L2_REM,L1-L2_NREM,L2-L3_wake,L2-L3_REM,L2-L3_NREM,L3-L4_wake,L3-L4_REM,L3-L4_NREM,R1-R2_wake,R1-R2_REM,R1-R2_NREM,R2-R3_wake,R2-R3_REM,R2-R3_NREM,R3-R4_wake,R3-R4_REM,R3-R4_NREM,Fp1_wake,Fp1_REM,Fp1_NREM,Fp2_wake,Fp2_REM,Fp2_NREM,F7_wake,F7_REM,F7_NREM,F8_wake,F8_REM,F8_NREM,T7_wake,T7_REM,T7_NREM,P7_wake,P7_REM,P7_NREM,T8_wake,T8_REM,T8_NREM,P8_wake,P8_REM,P8_NREM,O1_wake,O1_REM,O1_NREM,O2_wake,O2_REM,O2_NREM
0,1.2000000000000002,2.1091934074174843e-11,1.561072250979574e-11,7.283284741867133e-11,6.826833428567957e-12,3.117188916686565e-12,9.578803330980255e-12,4.165339664206341e-12,2.8029351082373095e-12,1.1151024117804756e-11,9.179237318798086e-11,7.299313275378016e-11,1.3611469899827565e-10,3.110852086633991e-11,2.933307397408775e-11,5.535985547149767e-11,3.870146994591181e-11,4.0771187226852085e-11,8.647272920174545e-11,1.2368091732176014e-10,5.20001276320027e-11,9.827498441202456e-11,1.1275405728921871e-10,5.3014680084372636e-11,9.42449297677006e-11,6.041204429235362e-11,3.75973941703123e-11,7.535726223045652e-11,4.156269835786865e-11,3.5780764156916104e-11,5.901247787915745e-11,2.0414643757003652e-11,1.0951158647436525e-11,3.5804884620338217e-11,5.22165710973198e-12,2.719732245612455e-12,7.356962649941292e-12,2.0256777935337515e-11,8.977060034803038e-12,3.40730655784592e-11,5.944025196323188e-12,2.8158157948102127e-12,1.2349264022416627e-11,1.6679533312171934e-12,1.064087952343686e-12,2.0829411556213343e-12,2.2935087195927652e-12,1.1172101157477333e-12,2.1946204032299388e-12
1,1.6,9.237685507325992e-12,2.020167511545584e-11,2.765933376818552e-11,3.5978847067635625e-12,3.161084689631352e-12,5.135756044206465e-12,2.2703056099710295e-12,2.1024473108527133e-12,5.5133716708636455e-12,5.792757384836795e-11,5.7648944645433607e-11,6.657633111507563e-11,1.8193940901003264e-11,2.1683764791839655e-11,2.8176504674371174e-11,2.268568523572678e-11,3.098674932037289e-11,4.2205342399618426e-11,7.684041475849748e-11,2.737058285333886e-11,4.149645845584438e-11,6.677534395149992e-11,2.761299216665619e-11,3.960274690245751e-11,3.57099474113886e-11,1.8398159558339407e-11,3.455220641681746e-11,2.1097024185755696e-11,1.85348417061322e-11,2.692545575238477e-11,1.169890029173372e-11,6.614412014953914e-12,1.873457468877578e-11,3.1144032134287816e-12,1.7597345639671361e-12,4.1152020438606086e-12,9.724210056770231e-12,5.397224463495009e-12,1.6207108639772042e-11,3.1061946013785114e-12,1.768085551173511e-12,6.0150642556704415e-12,9.08494142190698e-13,6.566036371981985e-13,1.056114409012705e-12,1.2093464210794039e-12,7.491215623440887e-13,1.106851196040258e-12
2,2.0,3.0445581477190832e-12,4.374789448359238e-12,1.0570465159348318e-11,1.257920146783698e-12,1.0577822124606873e-12,2.33327701270919e-12,7.929261708995691e-13,6.998871024064973e-13,2.292586540710864e-12,1.9105925789276346e-11,2.3523122251287294e-11,3.08763866148154e-11,7.362981737275025e-12,9.096276441272497e-12,1.5040777261050782e-11,1.0505180723859544e-11,1.6105488065770804e-11,1.9408417603416742e-11,5.2538354354188095e-11,1.6423944088599104e-11,2.2698935207824317e-11,4.450740438805353e-11,1.657332893417287e-11,2.1359896243616842e-11,2.394995476003276e-11,1.1620261019525109e-11,1.984354414363092e-11,1.3281142331544068e-11,1.058723686408563e-11,1.5282333171339646e-11,7.672446524424296e-12,4.521556113029449e-12,1.1719023066379959e-11,2.1502473032095267e-12,1.2530054509860562e-12,2.7171206734646712e-12,6.096345172724893e-12,3.447396505259867e-12,9.379944684731485e-12,1.991732526063887e-12,1.1376309288098188e-12,3.52401310255243e-12,5.945863911265039e-13,3.789972299102925e-13,6.306700318178418e-13,6.334919050863568e-13,3.700784533706537e-13,6.281589686341221e-13
3,2.4000000000000004,2.1726699739680868e-12,1.6605026949578907e-12,6.092735222999007e-12,1.042369771809338e-12,7.116307745331876e-13,1.907409859618551e-12,6.336331479245602e-13,5.188015316824255e-13,1.6571881269628417e-12,1.5109783292154965e-11,1.8105117692105455e-11,2.0904521329519736e-11,6.1873849644801176e-12,7.514342591786466e-12,1.1669683687309755e-11,7.890151675857758e-12,1.2166279815039108e-11,1.3068385345227102e-11,3.662607483810165e-11,1.1354574513750502e-11,1.4493532693741956e-11,3.129402110074514e-11,1.1256377094708249e-11,1.3643927892542112e-11,1.7349778381050977e-11,8.319281100738227e-12,1.3242260495891963e-11,8.947736910293517e-12,7.100364067082646e-12,1.013341140548382e-11,5.428937336003801e-12,3.690992884313826e-12,8.332612220521937e-12,1.737737347057417e-12,1.0571007776417956e-12,2.1105693978009985e-12,4.246017811864765e-12,2.651279438627783e-12,6.3601914274451655e-12,1.532502597447381e-12,9.319415413529678e-13,2.5254913470438943e-12,4.464988283140076e-13,3.0944337640059184e-13,4.764925528654346e-13,5.038077609981674e-13,2.926410855448165e-13,4.924939146422146e-13
4,2.8000000000000003,1.464613327640793e-12,1.5902953885318104e-12,3.762172713009538e-12,8.308638534505882e-13,6.860046568831811e-13,1.4925111844890942e-12,5.179467919832316e-13,4.5256390828019796e-13,1.1329890719352486e-12,1.3021684961103876e-11,1.5459943034832957e-11,1.6188725699023923e-11,5.6324036814276585e-12,6.959232312556711e-12,9.828185250220024e-12,6.203688832791251e-12,9.631071872789714e-12,9.237080676859807e-12,2.6050646013660272e-11,8.080999449260996e-12,1.0500359333775523e-11,2.1931586275970604e-11,7.776383787743808e-12,9.845033830243723e-12,1.1843745636365648e-11,6.198372510175062e-12,1.0057528869539703e-11,6.08360694870594e-12,5.4259966695825965e-12,7.498302997922387e-12,4.366353710673669e-12,3.1371720278821174e-12,6.597717982890325e-12,1.4317736733023967e-12,9.041148488770949e-13,1.768606387601456e-12,3.1674621610912896e-12,2.1750420883977297e-12,4.8259428984746426e-12,1.2008144575599725e-12,7.935517361597028e-13,2.0116697054971466e-12,3.4769312115452997e-13,2.6644163511751234e-13,3.748524105152224e-13,4.001344500985937e-13,2.651451253727624e-13,3.9074327664151244e-13
5,3.2,9.631209814832189e-13,1.4416920595709984e-12,2.4049725034043994e-12,5.774002614531335e-13,5.247857024596166e-13,1.1380029074924472e-12,3.7072279007977474e-13,3.3173885945464073e-13,7.464251542460455e-13,9.626084574330984e-12,1.2272852592082926e-11,1.3425443256472718e-11,4.504710639147598e-12,5.271452649913307e-12,8.855205085292926e-12,4.658695551167651e-12,6.98617454861767e-12,6.586024400400824e-12,1.876347794290176e-11,5.90232368689601e-12,8.446461945485258e-12,1.51056736691602e-11,5.5591407975746585e-12,7.849177914485184e-12,9.290485984685013e-12,4.8980830822762464e-12,8.651396355920853e-12,4.701079236651247e-12,3.9987163166155556e-12,6.1463262863031395e-12,3.863027658709147e-12,2.8144209096691878e-12,5.921404057009991e-12,1.1627972986872602e-12,7.537931040339145e-13,1.5737267594716816e-12,2.436507675464473e-12,1.7881713437361609e-12,4.0808923451251994e-12,9.522532731464088e-13,6.532751600570137e-13,1.7272531970874675e-12,2.600650004053005e-13,2.0363584466599035e-13,3.090227134609097e-13,2.807162925488034e-13,2.0783687497812216e-13,3.0667827790505546e-13
6,3.6,7.278982315621744e-13,6.175572460320159e-13,1.9504856351354602e-12,4.743397529691778e-13,3.699302875405214e-13,1.034174044433867e-12,2.985275287150133e-13,2.4361206327831853e-13,6.585883581153744e-13,8.213455722685087e-12,1.0068831574173255e-11,1.3290229042786655e-11,3.975524158738838e-12,4.374682829571989e-12,9.364704470439016e-12,3.764617467465964e-12,5.3263334568878295e-12,5.752414806441463e-12,1.3975327914984012e-11,4.530016117650095e-12,7.363569161879002e-12,1.1744779280735082e-11,4.159059845560892e-12,6.788343108591059e-12,8.117095066470289e-12,4.221211762927862e-12,7.86764879113606e-12,3.8703437168236985e-12,3.1308927123226644e-12,5.3861103786437134e-12,3.6245757707438584e-12,2.6051793093554095e-12,5.626556275088777e-12,9.931688656400736e-13,6.794362004319225e-13,1.4700539302619025e-12,2.117314610137229e-12,1.5424601323853247e-12,3.727437990502123e-12,7.99666165470453e-13,5.920900879423402e-13,1.6209601444976427e-12,2.1843570200977963e-13,1.7106691290564574e-13,2.731137512122408e-13,2.2233644781136192e-13,1.6305068711472e-13,2.73940861686895e-13
7,4.0,6.0160295500363e-13,4.2993238834523736e-13,1.6486144572435077e-12,4.3132515181966746e-13,3.22385258394328e-13,9.83419129844905e-13,2.7930724634616605e-13,2.359516507342593e-13,6.189417895290792e-13,7.585216693683626e-12,8.692403891506745e-12,1.3717083180642788e-11,3.747629157865852e-12,3.951478039471106e-12,1.0299175755846931e-11,3.204831801614615e-12,4.492406672273566e-12,5.409437411709959e-12,1.0721534012171074e-11,3.7436431060672124e-12,6.5380322883886936e-12,9.092607525133387e-12,3.3797925010720086e-12,6.045071985192891e-12,7.050091341924779e-12,3.695299729719495e-12,7.1557142916360994e-12,3.2000362445393587e-12,2.541141505942491e-12,4.884026266209291e-12,3.602397995930871e-12,2.442752040328731e-12,5.2992982041163246e-12,9.139986500803762e-13,6.306372197459201e-13,1.413766210574079e-12,1.7973756948563915e-12,1.3208625615675937e-12,3.5546050351633908e-12,7.179701452589106e-13,5.525935314620273e-13,1.5677350893207588e-12,1.941255394455738e-13,1.5996601528355853e-13,2.495361138325196e-13,2.022306391228701e-13,1.4843538189979973e-13,2.49687278681964e-13
8,4.4,5.276574006913098e-13,4.2196629655804897e-13,1.449282036212536e-12,4.031326444774632e-13,3.0259292118886423e-13,9.31483835181634e-13,2.660480575313361e-13,2.2358899105296288e-13,5.962419113646505e-13,6.681568549856273e-12,7.2708063189216916e-12,1.363488233011236e-11,3.246313812559381e-12,3.3776875176129545e-12,1.0585412854721876e-11,2.8229287155092144e-12,4.039122862168825e-12,4.9529918281143234e-12,8.590783722348788e-12,3.2081125052106518e-12,5.949816110407101e-12,7.335528193426317e-12,3.0001478633007988e-12,5.492033420019655e-12,5.948258174232272e-12,3.160029572781187e-12,6.7047960452394686e-12,2.7442449182044387e-12,2.2260676255170887e-12,4.5190143985472066e-12,3.4324802180650337e-12,2.2871064029780205e-12,5.191553796203083e-12,8.559952189084343e-13,5.972131252705913e-13,1.404533846965113e-12,1.6051070346745394e-12,1.2120527677747208e-12,3.4386502922425418e-12,6.536078768988633e-13,5.26104853254204e-13,1.5380796326426022e-12,1.7270081783610437e-13,1.4159013783415195e-13,2.313443913237522e-13,1.7240940390768788e-13,1.353450118997919e-13,2.3411051837707967e-13
9,4.800000000000001,4.625533149906522e-13,3.9517076071646986e-13,1.3034442084470656e-12,3.643431967705585e-13,2.761357535157535e-13,8.742930924804947e-13,2.5253667389708895e-13,2.1057979477866895e-13,6.050418976803154e-13,5.530250492827928e-12,5.842406830215987e-12,1.2323071543876482e-11,2.765154060264071e-12,2.866188948883167e-12,9.71510911017854e-12,2.554080543043333e-12,3.5798687680786558e-12,4.3648794593757844e-12,7.0135276205071985e-12,2.6843992771470734e-12,5.676525963265692e-12,6.087854916473402e-12,2.6321878697099795e-12,5.2117324380220045e-12,5.285786179189258e-12,2.7924061139110393e-12,6.468648978978568e-12,2.587740250171383e-12,2.0242348108908765e-12,4.347608500555328e-12,3.226318827159381e-12,2.100811301929039e-12,5.270666695231193e-12,8.682236225091238e-13,5.695759716497844e-13,1.436262049356659e-12,1.5459532588677134e-12,1.1366910364001205e-12,3.3612562674118296e-12,6.475162639423514e-13,4.889271069883037e-13,1.5457327759020032e-12,1.6159380216538203e-13,1.3404956332864322e-13,2.26648324835799e-13,1.5318474627638513e-13,1.224417346320546e-13,2.279346458738962e-13
