,freqs,L1-L2_wake,L1-L2_REM,L1-L2_NREM,L2-L3_wake,L2-L3_REM,L2-L3_NREM,L3-L4_wake,L3-L4_REM,L3-L4_NREM,R1-R2_wake,R1-R2_REM,R1-R2_NREM,R2-R3_wake,R2-R3_REM,R2-R3_NREM,R3-R4_wake,R3-R4_REM,R3-R4_NREM,Fp1_wake,Fp1_REM,Fp1_NREM,Fp2_wake,Fp2_REM,Fp2_NREM,F7_wake,F7_REM,F7_NREM,F8_wake,F8_REM,F8_NREM,T7_wake,T7_REM,T7_NREM,P7_wake,P7_REM,P7_NREM,T8_wake,T8_REM,T8_NREM,P8_wake,P8_REM,P8_NREM,O1_wake,O1_REM,O1_NREM,O2_wake,O2_REM,O2_NREM
0,1.2000000000000002,2.1017023332090307e-11,2.980129982579667e-11,3.8803886793926335e-11,1.0084942932660998e-10,3.1044774662554494e-11,3.3476502581450676e-11,1.970291103517266e-11,5.989759976983995e-12,8.70447346226904e-12,9.802077693829354e-12,1.9017961053603128e-11,3.2550144954283537e-11,3.557760602841443e-11,7.324057320431159e-12,1.880706527993894e-11,2.3228736162087706e-11,6.197170432519366e-12,1.220817155330139e-11,6.61814424846582e-09,1.2757154103231915e-09,6.323834370452513e-09,1.3369961619359784e-08,5.953845093591077e-10,4.205261794643868e-09,9.372148203007092e-10,3.2841540260352443e-10,2.2342573618445594e-10,2.5814777173256716e-09,6.909171896410495e-10,3.150409269061163e-10,2.1678581449942281e-10,9.556319961293465e-11,2.9052576487078517e-10,1.230431622738493e-10,8.467182441022767e-11,1.543385205822932e-10,9.84324873678701e-11,3.9576162679837426e-11,9.171011478683278e-11,1.0551704728378095e-10,5.2270380484558335e-11,1.081796515554822e-10,2.035277098570935e-10,5.784775319225462e-10,1.1102416742888479e-10,2.047229922899716e-10,5.329994902121965e-11,1.2622638775845015e-10
1,1.6,1.8326652693611422e-11,1.1860175256933917e-11,2.063367033877566e-11,7.223975170391659e-11,1.4138738796449151e-11,1.691515740141793e-11,2.683974448808246e-11,3.402624370123818e-12,4.7461226790958574e-12,9.216636217871698e-12,1.2878886421618516e-11,1.9980305493476508e-11,1.8085489368683533e-11,6.012465545620099e-12,1.2605314770195903e-11,1.1145489459497355e-11,2.5506402004399767e-12,6.383142939356598e-12,4.354383569403649e-09,5.179721763154895e-10,5.676122239500388e-09,6.078202992763442e-09,1.7151832808661083e-10,4.247477194852817e-09,5.580091517970889e-10,1.2698648761658577e-10,9.595152409698164e-11,1.519569404204123e-09,2.379442284005891e-10,1.3372137514921232e-10,1.551286074073143e-10,5.3941502449768935e-11,1.3582925720120782e-10,6.477402987369808e-11,3.350934929111988e-11,7.161970084354945e-11,5.38824751507429e-11,1.9534021965126997e-11,4.765992518244552e-11,5.4844944977206127e-11,3.066113682039158e-11,5.541407352149275e-11,9.542976868063562e-11,3.4229523553942993e-10,5.391170981748297e-11,9.84755210484871e-11,2.8084781260969556e-11,6.117244010008794e-11
2,2.0,6.011162543872872e-12,4.968013029411278e-12,1.0501796100005786e-11,2.919879120042962e-11,5.5811760212772765e-12,4.146036324318839e-12,3.1415728818701627e-12,9.598500952005792e-13,9.959293386189502e-13,2.4207103145992582e-12,2.3555760226293707e-12,3.5752763720126e-12,4.478778803383109e-12,1.6180280981482662e-12,4.333533915131284e-12,2.2897713029521395e-12,1.3161682268567495e-12,3.124445017807933e-12,2.9162406058931714e-09,3.865107269451415e-10,2.8378774363691282e-09,3.4771679698951012e-09,9.961286542937772e-11,2.4032508078882758e-09,3.6434512919102223e-10,7.744348510063675e-11,5.627006994878518e-11,1.0578967552572806e-09,1.2036963548446515e-10,7.0507985891674e-11,1.1359436266710811e-10,3.436885306125878e-11,7.618496063581767e-11,4.063849108310186e-11,1.9697638575849326e-11,4.242533403614004e-11,4.1090677312216124e-11,1.3461880075378282e-11,2.851352087820809e-11,3.873384329857955e-11,2.1345039091536296e-11,3.9868830198686363e-11,4.154579763651116e-11,1.611752020410353e-10,3.287540056537511e-11,5.938386840271021e-11,1.9254333336449053e-11,3.7896214903697965e-11
3,2.4000000000000004,5.607648409431638e-12,4.2878819929962965e-12,1.0594860085585027e-11,2.1578570963491977e-11,4.880486617704282e-12,5.859447696651224e-12,1.697057699878894e-12,7.884535602035748e-13,1.3744034075924251e-12,2.016989943576588e-12,2.19677097495502e-12,4.2630983736650365e-12,2.5051818171337966e-12,1.341380583295089e-12,3.625455780271408e-12,1.0861852168036599e-12,1.0174822992604064e-12,2.3326223392032662e-12,2.2122320046080314e-09,2.635088473293227e-10,1.1536344014984183e-09,1.5034231026040846e-09,7.694636576266804e-11,9.255248901777142e-10,2.1112741527801314e-10,3.608368836586884e-11,3.408014878766853e-11,7.513235774183807e-10,9.162909803753832e-11,4.417815750242977e-11,1.0030995483985558e-10,3.2510999297831234e-11,5.1245168932863896e-11,2.7823019981126345e-11,1.5486878913453034e-11,2.9020486460374782e-11,3.1659957848846164e-11,1.0340078774412066e-11,1.893676584414632e-11,3.100023651950052e-11,1.6489615019298705e-11,2.9147204290637255e-11,2.4761414472750473e-11,7.034031159170458e-11,2.2858990010612424e-11,3.69318681614147e-11,1.4590369318147258e-11,2.5999996751606043e-11
4,2.8000000000000003,7.395573846571549e-12,5.057312875393557e-12,1.2924543033190817e-11,1.9450599430754722e-11,5.775756630018277e-12,7.284313789508914e-12,5.182441168493429e-12,1.2312379186115574e-12,1.8108071367425477e-12,2.6810422987315954e-12,3.4271886696518396e-12,5.929274144307452e-12,2.995060484265181e-12,1.8435683416993115e-12,3.59732165319617e-12,1.5616157763305083e-12,7.408358533159056e-13,2.0693780105999906e-12,2.382424658360696e-09,1.3293264224808763e-10,7.944727379566079e-10,1.78640654480941e-09,5.1416099352535225e-11,8.534714726384508e-10,1.2237088198652747e-10,2.7158843493699428e-11,2.400896527949192e-11,5.723629914674442e-10,6.283227978911606e-11,3.0261892992716075e-11,7.33268546737205e-11,2.5055120545088855e-11,3.7778244441254255e-11,2.2968179385658877e-11,1.2778691958181748e-11,2.1051059561996675e-11,2.49356403680306e-11,8.503088686125981e-12,1.4303763027430061e-11,2.3721631926669277e-11,1.365015857578099e-11,2.284574051207661e-11,1.9730164960930613e-11,3.663723449600044e-11,1.7346445508946275e-11,2.6548946115043505e-11,1.2385667144011739e-11,1.8527643443314973e-11
5,3.2,5.646623535817211e-12,3.2261328549045273e-12,8.960260075712745e-12,1.4922929692327612e-11,4.581122745913778e-12,4.471107728851548e-12,4.0118597890804995e-12,6.814717887892847e-13,6.397767843722704e-13,1.7190964370968706e-12,1.506968318113471e-12,2.1490499795310026e-12,2.226044721433503e-12,9.423000972967473e-13,1.7018340218804843e-12,1.1575917412138e-12,5.344647382296534e-13,1.1483570197853032e-12,2.0415891972227373e-09,2.374778916176012e-10,1.0767287158861537e-09,2.0470918915489447e-09,2.5194072072058376e-11,6.861941235551235e-10,7.427232280292498e-11,1.6668985695182007e-11,1.8057487689655206e-11,3.8081268441042125e-10,4.0510175181172873e-11,1.873043638151069e-11,6.348083670867091e-11,1.9716872189880516e-11,2.961021100576347e-11,1.851108550570668e-11,1.0591141292456585e-11,1.578078125572535e-11,2.1131657702346246e-11,7.126856772581395e-12,1.117268831442525e-11,2.0480161434790492e-11,1.118764563753755e-11,1.8222721880353414e-11,1.5724726012236557e-11,3.529209203120964e-11,1.3344273543766197e-11,1.9976193590713865e-11,9.469454535244797e-12,1.4167055477644817e-11
6,3.6,3.702987611179893e-12,1.4541010152111707e-12,7.455827206368411e-12,1.022256406238731e-11,2.9791417957482157e-12,3.81794384108557e-12,8.154673999845709e-13,2.5094452686847845e-13,3.11267662546701e-13,9.3937155009503e-13,5.414694533389746e-13,1.1645443706837258e-12,1.3862072148824066e-12,4.265273050129841e-13,1.2842875693415729e-12,4.26826230354837e-13,3.225456323830196e-13,8.809478750811114e-13,8.130112839909485e-10,9.262250421821756e-11,1.0616327934106284e-09,1.6799625329191065e-09,3.199941183234213e-11,6.382319535849957e-10,3.6456558512359497e-11,1.156339153734806e-11,1.3946339247361048e-11,3.11600982366124e-10,3.9310457473814415e-11,1.3921279960764896e-11,6.170078668754092e-11,1.8545118609962153e-11,2.5664025929000334e-11,1.691956987628906e-11,8.743778073422262e-12,1.2517599270108429e-11,1.8692132787832638e-11,6.037078478705326e-12,8.773695754657621e-12,1.707986189396523e-11,9.41599305058118e-12,1.3426141695802415e-11,1.3891413242617287e-11,4.16027537945025e-11,1.083759589871867e-11,1.6945220128177918e-11,7.626250143553842e-12,1.130613420374715e-11
7,4.0,3.3822195702749e-12,1.0970844137770077e-12,8.293031784575495e-12,7.513044757508081e-12,2.027525529201382e-12,3.5885877877100567e-12,6.399276991730322e-13,2.0959975704356542e-13,2.970341888104277e-13,9.186743576733065e-13,5.212652920700864e-13,1.133247472146728e-12,1.4629816403473415e-12,4.0034815050525125e-13,1.3923597367035678e-12,4.915069763083951e-13,2.81391809379468e-13,9.440741508868618e-13,9.562993040664053e-10,2.961203461609789e-11,8.990645016877227e-10,1.0205722667337447e-09,1.655979739483219e-11,3.952604923534879e-10,2.0164604527490017e-11,9.234300155798976e-12,1.1329721749051273e-11,3.6051195615758586e-10,2.8022505010958375e-11,1.1825966462896478e-11,5.260840511695952e-11,1.623351478426493e-11,2.5201032684963067e-11,1.4710132262671367e-11,7.30109162228933e-12,1.0217392008503568e-11,1.63975637642474e-11,4.9846723830225075e-12,6.859670960054245e-12,1.7230411058390243e-11,7.497113165934561e-12,9.815961871732077e-12,1.3675728567577092e-11,4.5196872464090226e-11,8.935667589111634e-12,1.5591403833319324e-11,7.516660247190925e-12,9.239374992643107e-12
8,4.4,3.1508665934005256e-12,8.420815849137443e-13,6.640874358783952e-12,4.794060062200846e-12,1.3906785696955368e-12,2.912718675924942e-12,6.821981063148145e-13,1.8529106081033564e-13,2.2482655792091218e-13,8.940645038927256e-13,4.56736691617794e-13,7.849851913535053e-13,1.208590182206704e-12,3.529998047283478e-13,1.2484629113484074e-12,3.8572701189897574e-13,2.4015124651732113e-13,7.271845742666277e-13,6.517678006750469e-10,3.3058904026923334e-11,5.968779941810888e-10,7.694520687490565e-10,2.6510911322878504e-11,4.3012316223665013e-10,2.6712370498900356e-11,7.248199499795676e-12,9.631305123399683e-12,2.6523821581009516e-10,2.2681254959592948e-11,8.789810638761003e-12,4.784609029233863e-11,1.2707598014986317e-11,1.9428453122541363e-11,1.2611502715504456e-11,6.017902922497637e-12,8.636627240776087e-12,1.3654796122036905e-11,3.978520756891598e-12,5.5836810778227455e-12,1.4470051738441672e-11,5.868620051652608e-12,7.943126960313255e-12,1.2303960875115038e-11,4.214923101013288e-11,7.497583508548072e-12,1.4131306297350371e-11,6.752562516569296e-12,7.621554042338809e-12
9,4.800000000000001,2.6369907165593865e-12,4.659799808297643e-13,7.866077707142787e-12,3.99901555369492e-12,8.395357647862579e-13,2.16820063448688e-12,4.2489915041406933e-13,1.1939950247406865e-13,1.3957742563015873e-13,7.493391840364841e-13,2.9311342593040856e-13,5.35101792845888e-13,1.2866600213464336e-12,2.519013670557528e-13,1.0145877610695623e-12,3.921045912247112e-13,1.7607600574582156e-13,5.458588699465079e-13,2.807924417579792e-10,1.7739746676090642e-11,4.2134097443258415e-10,1.025724899486726e-09,7.786213017172027e-12,3.415965087032343e-10,4.0095353454651676e-11,6.976145969018851e-12,8.489228569436043e-12,1.4794124601318613e-10,1.6362874044334387e-11,7.448341066383958e-12,4.363080353534419e-11,1.1380939057722695e-11,1.849173442250065e-11,1.0524001086582084e-11,5.01471803647922e-12,7.802287463792135e-12,1.1201368890166731e-11,3.27863759429284e-12,4.8867448630470505e-12,1.348517942440892e-11,4.90500020084161e-12,6.799045738865224e-12,1.0146657125806997e-11,3.135967884621706e-11,6.685844498772065e-12,1.2395756291589095e-11,5.360780999805007e-12,6.6822592091564824e-12
